,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BCM,4,2022,54.4,5.2,62.2,,0.099,0.033,530,2030,61,-0.9,1548,16286,,,,,,0.347,,,0.6,1.5,0.4,-0.125,1583,0.347,,0.064,0.9,0.3,9.9,0.5,2.9,9284,0.068,0.014,2498,0.7,-0.084,0.1,2.6,,-0.1,,,,,,,,,1.7,,-0.435,-0.037,
1,BCM,3,2022,50.8,5.3,35.1,,0.112,0.038,407,1687,102,2.8,1769,16910,,,,,,0.356,,,0.6,1.5,0.4,0.092,2800,0.298,0.173,0.09,0.8,0.3,5.5,0.4,2.8,9364,0.085,0.018,1992,0.9,-0.061,0.2,0.7,0.173,0.8,,,,,,,,,1.6,,0.077,0.008,
2,BCM,2,2022,41.0,4.0,36.7,,0.102,0.034,457,2276,135,3.5,1620,16775,,,,,,0.348,,,0.6,1.5,0.4,0.351,2601,0.496,0.397,0.477,0.9,0.3,5.9,0.4,2.9,9288,0.154,0.033,2598,0.8,-0.085,0.1,0.9,0.397,1.4,,,,,,,,,1.7,,0.117,0.049,
3,BCM,1,2022,60.7,4.6,36.2,,0.076,0.026,461,2249,97,2.1,1198,15989,,,,,,0.334,,,0.5,1.6,0.4,-0.025,2329,0.573,0.38,0.296,0.9,0.3,6.2,0.3,3.0,10776,0.229,0.054,2613,0.8,-0.015,0.1,0.9,0.38,0.9,,,,,,,,,1.8,,0.084,0.057,
4,BCM,4,2021,51.6,4.2,46.6,,0.081,0.026,464,2179,7431,3.0,1229,15133,,,,,,0.323,,,0.5,1.5,0.4,-0.278,2148,0.475,0.331,0.091,1.0,0.3,7.1,0.3,3.1,9579,0.177,0.033,-4788,0.8,-0.037,0.1,0.6,0.331,0.5,,,,,,,,,1.9,,0.183,0.027,
5,BCM,3,2021,26.0,3.0,52.4,,0.116,0.037,482,2600,107,1.1,1702,14738,,,,,,0.316,,,0.5,1.5,0.3,-0.234,1815,0.549,0.24,0.064,1.0,0.3,8.5,0.4,3.2,10115,0.173,0.034,2975,0.8,-0.039,0.1,0.9,0.24,0.3,,,,,,,,,2.0,,-0.143,-0.013,
6,BCM,2,2021,24.1,3.6,30.9,,0.153,0.049,347,2242,82,3.0,2221,14939,,,,,,0.319,,,0.5,1.4,0.3,0.093,2118,0.442,0.278,0.285,1.0,0.3,6.9,0.5,3.1,8824,0.202,0.062,2507,1.1,-0.079,0.2,0.8,0.278,1.2,,,,,,,,,1.9,,0.04,-0.05,
7,BCM,1,2021,27.8,3.6,26.4,,0.135,0.047,308,1796,95,2.3,2032,15718,,,,,,0.351,,,0.6,1.3,0.3,0.075,2036,0.415,0.255,0.326,0.8,0.3,6.7,0.6,2.8,6892,0.138,0.054,2009,1.2,-0.142,0.2,0.9,0.255,1.4,,,,,,,,,1.7,,0.013,0.045,
8,BCM,4,2020,21.4,2.7,35.0,,0.133,0.043,338,1916,75,4.8,1891,15048,,,,,,0.323,,,0.5,1.4,0.3,-0.04,2010,0.53,0.266,0.308,0.9,0.3,7.1,0.7,3.1,8135,0.107,0.031,2179,1.1,-0.105,0.2,0.8,0.266,1.5,,,,,,,,,1.9,,0.024,0.031,
9,BCM,3,2020,20.0,2.7,37.2,,0.144,0.045,345,1587,53,3.3,1971,14592,,,,,,0.324,,,0.5,1.3,0.3,0.048,1962,0.467,0.312,0.377,1.0,0.3,8.2,1.3,3.1,6686,0.125,0.033,1880,1.1,-0.111,0.2,0.8,0.312,1.4,,,,,,,,,1.9,,0.061,0.029,
10,BCM,2,2020,13.6,1.8,29.5,,0.141,0.044,304,1585,47,2.9,1880,14187,,,,,,0.331,,,0.6,1.2,0.2,-0.132,1850,0.258,0.154,0.119,0.9,0.3,8.7,1.9,3.0,4776,0.028,0.011,1842,1.2,-0.103,0.2,0.8,0.154,1.0,,,,,,,,,1.8,,-0.147,-0.017,
11,BCM,1,2020,7.4,1.1,18.9,,0.163,0.051,379,1804,40,2.2,2167,14429,,,,,,0.339,,,0.6,1.3,0.2,-0.113,2168,0.459,0.259,0.253,0.9,0.3,7.7,1.7,2.9,6412,0.02,0.012,2143,1.0,-0.087,0.2,0.9,0.259,1.1,,,,,,,,,1.7,,0.038,0.075,
12,BCM,4,2019,12.0,2.2,,,0.199,0.057,178,1671,91,5.0,2444,13418,,,,,,0.319,,,0.5,1.3,0.3,-0.003,2088,0.398,0.176,0.243,1.0,0.3,8.0,1.6,3.1,6153,0.027,,1758,2.1,-0.086,0.2,1.2,0.176,1.7,,,,,,,,,1.9,,-0.055,0.044,
13,BCM,3,2019,12.4,2.4,21.1,,0.201,0.052,277,3274,-182,2.3,2450,12850,,,,,,0.3,,,0.5,1.5,0.3,0.04,2209,0.452,0.248,0.353,1.2,0.4,8.8,0.8,3.3,9837,0.074,0.035,3734,1.3,0.197,0.1,1.1,0.248,1.6,,,,,,,,,2.1,,-0.003,0.033,
14,BCM,2,2019,10.2,1.9,21.6,,0.198,0.049,258,2589,-223,4.0,2357,12439,,,,,,0.286,,,0.4,1.5,0.4,0.044,2216,0.475,0.346,0.286,1.3,0.4,9.2,0.9,3.5,9513,0.183,0.082,3070,1.4,-0.134,0.1,1.2,0.346,1.0,,,,,,,,,2.2,,0.043,0.016,
