,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BDG,4,2022,3.4,1.5,3.5,,0.544,0.246,65,68,33,21.2,9085,20350.0,,,,,,0.472,,,1.0,2.0,1.4,0.55,15164,0.197,0.244,0.185,0.5,0.2,0.8,0.9,2.1,399,0.318,0.221,100,5.6,-0.081,2.1,0.8,0.244,1.0,,,,,,,,,1.0,,0.077,0.212,
1,BDG,3,2022,4.4,1.5,4.7,,0.397,0.176,57,73,30,12.3,5861,16784.0,,,,,,0.39,,,0.7,1.6,1.0,0.447,14073,0.186,0.113,0.107,0.7,0.3,1.1,1.6,2.6,284,0.281,0.21,100,6.4,-0.069,2.1,0.8,0.113,1.2,,,,,,,,,1.4,,0.29,0.148,
2,BDG,2,2022,6.4,1.8,7.0,,0.301,0.113,64,103,45,2.9,4051,14626.0,,,,,,0.355,,,0.6,1.5,0.8,-0.095,10906,0.148,0.048,0.044,0.8,0.3,2.0,1.5,2.8,255,0.087,0.055,123,5.7,-0.098,1.5,0.8,0.048,1.1,,,,,,,,,1.6,,-0.07,0.032,
3,BDG,1,2022,4.8,1.5,6.6,,0.343,0.138,70,82,32,70.1,4478,14175.0,,,,,,0.349,,,0.6,1.7,1.1,0.632,11729,0.207,0.121,0.128,1.0,0.4,1.7,1.0,2.9,296,0.185,0.116,121,5.2,-0.096,1.7,0.8,0.121,1.3,,,,,,,,,1.7,,0.288,0.085,
4,BDG,4,2021,7.9,1.7,5.5,,0.231,0.098,75,99,40,22.1,2743,13066.0,,,,,,0.423,,,0.7,1.6,0.9,-0.031,9109,0.151,0.036,0.029,0.6,0.3,1.4,,2.4,274,0.106,0.061,134,4.8,-0.184,1.7,0.7,0.036,1.1,,,,,,,,,1.4,,-0.02,0.028,
5,BDG,3,2021,14.7,3.3,5.1,,0.223,0.121,78,83,30,20.3,2832,12711.0,,,,,,0.537,,,1.2,2.0,0.9,-0.179,9290,0.172,0.088,0.059,0.2,0.1,0.5,,1.9,257,0.106,0.063,131,4.7,-0.166,2.0,0.7,0.088,0.9,,,,,,,,,0.9,,-0.172,,
6,BDG,2,2021,11.8,,5.5,,0.287,0.125,61,77,36,40.6,3449,,,,,,,,,,0.7,1.5,0.9,-0.002,11218,0.135,0.093,0.078,0.7,0.3,1.0,,,230,0.079,0.044,102,6.0,-0.2,1.9,0.8,0.093,1.1,,,,,,,,,1.5,,-0.035,,
7,BDG,1,2021,11.7,3.4,4.4,,0.285,0.149,68,77,37,54.2,3454,11925.0,,,,,,0.494,,,1.0,1.8,0.9,-0.037,11630,0.159,0.094,0.067,0.4,0.2,0.4,,2.0,220,0.029,0.017,109,5.4,-0.182,2.1,0.8,0.094,0.9,,,,,,,,,1.0,,-0.029,0.116,
8,BDG,4,2020,10.6,3.6,4.2,,0.32,0.145,60,71,36,55.2,3589,10685.0,,,,,,0.426,,,0.7,1.6,1.0,-0.107,11973,0.155,0.042,0.037,0.4,0.2,0.6,,2.4,200,0.278,0.127,95,6.1,-0.28,1.9,0.8,0.042,1.2,,,,,,,,,1.3,,-0.136,-0.159,
9,BDG,3,2020,6.3,2.0,3.2,,0.333,0.168,55,65,34,145.4,4020,12699.0,,,,,,0.548,,,1.2,1.9,1.2,0.061,13865,0.187,0.124,0.078,0.1,0.1,0.3,,1.8,231,0.051,0.032,86,6.7,-0.291,2.3,0.7,0.124,0.8,,,,,,,,,0.8,,0.189,0.08,
10,BDG,2,2020,6.7,2.2,3.1,,0.328,0.156,48,58,34,207.4,3790,11760.0,,,,,,0.485,,,0.9,1.7,1.1,-0.091,11658,0.148,0.135,0.113,0.2,0.1,0.6,,2.1,203,0.211,0.14,71,7.7,-0.214,2.3,0.8,0.135,1.1,,,,,,,,,1.1,,-0.014,-0.045,
11,BDG,1,2020,6.2,2.1,2.0,,0.344,0.193,47,51,28,76.1,4170,12308.0,,,,,,0.553,,,1.2,1.9,1.2,-0.511,11823,0.201,0.099,0.075,0.0,0.0,0.1,,1.8,218,0.15,0.138,70,7.8,-0.199,2.8,0.8,0.099,1.0,,,,,,,,,0.8,,0.047,-0.494,
12,BDG,4,2019,3.7,1.3,2.9,,0.359,0.168,39,49,30,148.5,8525,24330.0,,,,,,0.481,,,0.9,1.6,1.1,-0.224,11288,0.098,0.066,0.05,0.2,0.1,0.7,,2.1,191,0.19,0.159,58,9.3,-0.232,2.5,1.3,0.066,1.0,,,,,,,,,1.1,,-0.075,0.029,
13,BDG,3,2019,2.6,1.2,3.3,,0.514,0.206,48,63,29,13.3,10982,23649.0,,,,,,0.466,,,0.9,1.5,0.8,0.097,12199,0.148,0.04,0.048,0.2,0.1,0.9,,2.1,168,0.062,0.04,82,7.6,-0.248,2.2,1.4,0.04,1.6,,,,,,,,,1.1,,-0.061,0.009,
14,BDG,2,2019,2.9,1.2,3.3,,0.465,0.207,44,59,29,69.5,10014,23441.0,,,,,,0.465,,,0.9,1.5,0.8,-0.009,12986,0.146,0.108,0.108,0.4,0.2,0.8,,2.2,166,0.066,0.045,74,8.3,-0.304,2.4,1.2,0.108,1.2,,,,,,,,,1.2,,0.032,-0.052,
15,BDG,1,2019,2.6,1.1,2.9,,0.459,0.204,30,55,25,25.0,10108,24726.0,,,,,,0.574,,,1.3,1.8,0.9,-0.056,12582,0.182,0.09,0.075,0.1,0.1,0.8,,1.7,170,0.11,0.074,61,12.1,-0.651,2.4,1.4,0.09,1.2,,,,,,,,,0.7,,-0.047,0.065,
16,BDG,4,2018,2.5,1.1,3.9,,0.533,0.225,41,50,31,35.5,10702,23210.0,,,,,,0.455,,,0.8,1.4,0.9,0.312,13199,0.053,0.161,0.146,0.4,0.2,0.7,,2.2,148,0.278,0.178,60,8.9,-0.45,2.5,1.2,0.161,1.1,,,,,,,,,1.2,,0.199,0.218,
17,BDG,3,2018,3.5,1.5,,,0.456,0.154,42,62,26,15.3,8154,19061.0,,,,,,0.342,,,0.5,1.2,0.8,-0.152,11009,0.21,0.036,0.021,0.8,0.3,1.4,1095.2,2.9,99,0.036,,78,8.6,-0.376,2.5,1.4,0.036,0.8,,,,,,,,,1.9,,-0.053,-0.027,
18,BDG,2,2018,2.0,1.0,2.5,,0.562,0.207,36,54,27,22.1,9612,19598.0,,,,,,0.424,,,0.7,1.4,0.8,0.216,11624,0.103,0.107,0.11,0.5,0.2,1.2,,2.4,124,0.106,0.07,63,10.3,-0.379,2.8,1.3,0.107,1.3,,,,,,,,,1.4,,0.151,0.013,
19,BDG,1,2018,2.4,1.0,4.0,,0.453,0.162,29,51,21,89.9,7903,19347.0,,,,,,0.344,,,0.5,1.3,0.9,0.254,10099,0.237,0.11,0.091,0.9,0.3,1.6,,2.9,149,0.495,0.295,59,12.6,-0.096,2.6,1.3,0.11,1.0,,,,,,,,,1.9,,0.244,0.143,
20,BDG,4,2017,2.9,1.1,5.6,,0.387,0.147,33,47,25,27.0,6300,16927.0,,,,,,0.384,,,0.6,1.3,0.8,-0.066,8118,0.156,0.046,0.041,0.4,0.2,1.4,,2.6,96,0.059,0.027,54,11.1,-0.172,2.7,1.3,0.046,1.1,,,,,,,,,1.6,,-0.064,0.012,
