,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BED,4,2022,28.2,3.1,10.8,,0.107,0.085,75,85,38,,1416,13015,,,,,,0.793,,,3.8,2.8,1.3,-0.411,3598,0.301,0.153,0.04,0.0,0.0,0.0,,1.3,18,0.067,0.022,121,4.9,0.0,1.7,0.8,0.153,0.3,,,,,,,,,0.3,,-0.119,0.012,
1,BED,3,2022,16.5,3.1,9.5,,0.191,0.129,66,121,69,,2407,12858,,,,,,0.683,,,2.1,2.0,0.7,0.508,4082,0.283,0.133,0.108,0.0,0.0,0.0,,1.5,17,0.088,0.028,117,5.6,0.0,1.5,0.8,0.133,1.0,,,,,,,,,0.5,,0.34,0.1,
2,BED,2,2022,24.9,3.4,12.9,,0.135,0.079,69,172,144,,1595,11689,,,,,,0.559,,,1.3,1.5,0.6,-0.272,3046,0.201,0.072,,0.0,0.0,0.0,,1.8,13,0.194,0.055,96,5.3,0.0,1.1,,0.072,-0.3,,,,,,,,,0.8,,0.098,-0.157,
3,BED,1,2022,20.1,3.2,14.4,,0.157,0.119,92,124,74,,2192,13860,,,,,,0.773,,,3.4,2.6,1.0,0.227,2774,0.429,0.161,0.147,0.0,0.0,0.0,,1.3,19,0.112,0.037,141,4.0,0.0,1.3,0.8,0.161,1.1,,,,,,,,,0.3,,0.156,0.032,
4,BED,4,2021,24.6,3.3,16.6,,0.13,0.104,85,85,39,,1786,13437,,,,,,0.795,,,3.9,2.7,1.3,0.542,2400,0.391,0.285,0.302,0.0,0.0,0.0,,1.3,17,0.129,0.042,132,4.3,0.0,1.4,0.9,0.285,1.2,,,,,,,,,0.3,,0.237,0.093,
5,BED,3,2021,38.0,3.6,22.8,,0.09,0.06,71,113,78,,1158,12289,,,,,,0.662,,,2.0,1.7,0.7,-0.421,1940,0.249,0.083,0.075,0.0,0.0,0.0,,1.5,14,0.144,0.038,106,5.2,0.0,1.3,0.8,0.083,1.1,,,,,,,,,0.5,,-0.323,0.03,
6,BED,2,2021,12.5,2.1,15.8,,0.165,0.094,42,117,113,,2000,11932,,,,,,0.607,,,1.5,1.5,0.6,-0.025,2867,0.178,0.039,0.024,0.0,0.0,0.0,,1.6,12,0.064,0.017,46,8.6,0.0,1.6,0.8,0.039,0.8,,,,,,,,,0.6,,0.054,-0.149,
7,BED,1,2021,12.4,1.8,15.0,,0.146,0.111,80,108,66,,2051,14025,,,,,,0.736,,,2.8,2.2,1.0,-0.183,2720,0.383,0.006,,0.0,0.0,0.0,,1.4,18,0.057,0.019,123,4.5,0.0,1.4,,0.006,2.8,,,,,,,,,0.4,,-0.149,-0.003,
8,BED,4,2020,11.6,2.1,7.6,,0.181,0.146,77,72,35,,2510,14061,,,,,,0.804,,,4.1,2.8,1.6,0.006,3197,0.326,0.145,0.125,0.0,0.0,0.0,,1.2,17,0.106,0.057,114,4.7,0.0,1.5,0.8,0.145,1.1,,,,,,,,,0.2,,0.028,0.038,
9,BED,3,2020,11.6,2.1,9.6,,0.187,0.125,67,109,86,,2495,13541,,,,,,0.677,,,2.1,1.8,0.9,0.107,3110,0.217,0.094,0.086,0.0,0.0,0.0,,1.5,16,0.147,0.062,91,5.4,0.0,1.3,0.9,0.094,1.1,,,,,,,,,0.5,,0.042,0.097,
