,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BHC,1,2014,,,-6.6,,-3.212,-0.092,228,79,323,-0.9,-3000,-831,,,,,,-0.027,,,0.0,0.4,0.3,-0.023,-2274,0.099,-0.059,-0.109,-16.3,0.4,-6.1,1.9,-37.7,-69,-0.434,0.172,-15,1.6,0.0,0.6,1.3,-0.059,2.4,,,,,,,,,-38.7,,0.129,-3.871,
1,BHC,4,2013,,,-7.4,,-1.314,-0.089,241,98,354,-0.2,-3071,289,,,,,,0.009,,,0.0,0.5,0.3,1.024,-2014,0.096,-0.135,-0.142,46.7,0.4,-6.7,1.2,113.7,-60,1.789,0.471,-15,1.5,0.0,0.5,1.3,-0.135,1.4,,,,,,,,,112.7,,-3.813,-0.749,
2,BHC,3,2013,,,21.8,,-0.626,-0.044,246,108,390,-1.3,-1517,1154,,,,,,0.035,,,0.0,0.5,0.4,-0.087,716,0.103,-0.189,-0.284,12.0,0.4,19.3,1.2,28.4,-56,0.017,0.01,-36,1.5,0.0,0.5,1.3,-0.189,2.0,,,,,,,,,27.4,,-0.34,-0.417,
3,BHC,2,2013,,,13.9,,-0.501,-0.047,222,86,378,-1.3,-1662,1979,,,,,,0.062,,,0.1,0.5,0.4,-0.34,1085,0.09,-0.165,-0.205,6.8,0.4,13.1,1.2,16.2,-52,0.013,0.024,-70,1.6,0.0,0.6,1.6,-0.165,2.0,,,,,,,,,15.2,,-0.365,-0.267,
4,BHC,1,2013,,,8.9,,-0.563,-0.067,171,95,308,-0.1,-2517,2699,,,,,,0.08,,,0.1,0.6,0.4,-0.296,1708,0.196,-0.012,-0.13,5.2,0.4,8.6,1.3,12.5,-47,0.066,0.1,-41,2.1,0.0,0.8,1.0,-0.012,10.5,,,,,,,,,11.5,,0.604,-0.384,
5,BHC,4,2012,,,14.1,,-0.608,-0.094,179,82,265,3.6,-3577,4384,,,,,,0.122,,,0.1,0.7,0.5,-0.357,1065,0.229,0.306,0.111,3.1,0.4,13.4,1.2,8.2,-33,0.083,0.227,-3,2.0,0.0,0.7,1.5,0.306,0.5,,,,,,,,,7.2,,-1.846,0.187,
6,BHC,3,2012,,,-13.0,,-0.898,-0.145,151,83,223,-0.3,-5561,3693,,,,,,0.104,,,0.1,0.7,0.5,-0.056,-1258,0.122,-0.026,-0.138,3.7,0.4,-11.7,1.1,9.7,-36,0.083,0.134,10,2.4,0.0,0.9,1.0,-0.026,5.4,,,,,,,,,8.7,,-0.435,-0.208,
7,BHC,2,2012,,,-8.3,,-0.804,-0.141,189,85,224,0.1,-5891,4662,,,,,,0.118,,,0.1,0.7,0.5,0.194,-2225,0.136,0.004,-0.16,3.2,0.4,-6.9,1.3,8.5,-33,0.151,0.202,49,1.9,0.0,0.8,0.8,0.004,-28.4,,,,,,,,,7.5,,0.315,-0.253,
8,BHC,1,2012,,,-10.2,,-0.586,-0.113,174,106,205,-1.1,-4934,6238,,,,,,0.152,,,0.2,0.8,0.5,0.39,-1692,0.063,-0.135,-0.328,2.5,0.4,-9.2,1.3,6.6,-29,0.066,0.1,76,2.1,0.0,0.8,1.3,-0.135,3.3,,,,,,,,,5.6,,0.869,-0.156,
9,BHC,4,2011,,,-21.6,,-0.354,-0.079,149,96,208,-0.5,-3551,7391,,,,,,0.183,,,0.2,0.8,0.6,0.499,-905,0.127,-0.035,-0.11,2.0,0.4,-17.3,1.3,5.5,-22,0.242,0.406,37,2.5,0.0,0.9,1.1,-0.035,3.4,,,,,,,,,4.5,,-6.737,-0.149,
10,BHC,3,2011,,,131.4,,-0.221,-0.053,130,98,165,-1.8,-2369,8686,,,,,,0.212,,,0.3,0.9,0.6,22.752,158,0.069,-0.182,-0.206,1.8,0.4,102.5,1.1,4.7,-10,0.052,0.091,62,2.8,0.0,1.0,1.2,-0.182,1.3,,,,,,,,,3.7,,-0.95,-0.13,
11,BHC,2,2011,,,6.2,,-0.009,-0.002,115,72,133,0.5,-99,9985,,,,,,0.226,,,0.3,1.0,0.7,-1.107,3152,0.184,0.05,-0.053,1.6,0.4,3.6,1.1,4.4,-4,0.038,0.083,54,3.2,0.0,1.2,1.3,0.05,-1.4,,,,,,,,,3.4,,-0.38,-0.058,
12,BHC,1,2011,,,4.5,,0.085,0.021,109,68,124,0.2,931,10604,,,,,,0.227,,,0.3,1.0,0.7,-0.442,5086,0.131,0.007,-0.029,1.5,0.3,3.1,1.1,4.4,-1,0.085,0.122,54,3.3,-0.009,1.3,1.0,0.007,-4.2,,,,,,,,,3.4,,-0.106,-0.163,
13,BHC,4,2010,,,4.3,,0.14,0.037,61,74,67,0.9,1668,12676,,,,,,0.256,,,0.3,1.1,0.6,-0.486,5691,0.159,0.041,-0.007,1.3,0.3,4.0,1.2,3.9,7,0.075,0.107,67,6.0,-0.008,1.3,1.4,0.041,-0.2,,,,,,,,,2.9,,-0.205,-0.007,
14,BHC,3,2010,,,2.4,,0.29,0.076,86,74,64,2.9,3247,12766,,,,,,0.261,,,0.4,1.1,0.7,0.914,7158,0.297,0.116,0.061,1.3,0.3,3.0,0.7,3.8,15,0.084,0.092,96,4.3,-0.008,1.4,1.2,0.116,0.6,,,,,,,,,2.8,,0.42,0.082,
15,BHC,2,2010,,,7.0,,0.154,0.043,92,62,59,2.1,1697,11796,,,,,,0.26,,,0.4,1.1,0.7,1.033,5039,0.228,0.118,0.028,0.5,0.1,1.9,,3.8,10,0.055,0.033,95,4.0,-0.008,1.2,2.0,0.118,0.5,,,,,,,,,2.8,,0.117,0.036,
16,BHC,1,2010,,,13.0,,0.147,0.038,71,45,67,2.7,834,11384,,,,,,0.261,,,0.4,1.1,0.7,9.415,4510,0.21,0.066,0.038,1.4,0.4,3.5,0.6,3.8,8,0.023,0.019,48,5.2,0.0,1.8,1.0,0.066,0.6,,,,,,,,,2.8,,,0.02,
