,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BMC,4,2022,7.7,0.8,1.6,,0.1,0.088,321.0,196,1,,1721,17559,,,,,,0.91,,,10.1,8.8,6.1,-0.066,2499.0,0.196,0.065,0.119,0.0,0.0,0.0,,1.1,169,0.332,0.439,516.0,1.1,-0.156,0.8,0.8,0.065,2.4,,,,,,,,,0.1,,-0.168,0.026,
1,BMC,3,2022,9.2,1.0,1.6,,0.108,0.093,330.0,227,1,,1843,17110,,,,,,0.848,,,5.6,5.4,3.5,0.008,3005.0,0.366,0.199,0.165,0.0,0.0,0.0,,1.2,166,0.544,0.664,556.0,1.1,-0.168,0.7,0.8,0.199,1.1,,,,,,,,,0.2,,0.0,-0.039,
2,BMC,2,2022,7.0,0.7,1.4,,0.105,0.093,321.0,188,2,,1829,17804,,,,,,0.866,,,6.4,6.0,4.4,0.204,3005.0,0.226,0.123,0.128,0.0,0.0,0.0,,1.2,173,0.617,0.72,507.0,1.1,-0.125,0.8,0.8,0.123,1.3,,,,,,,,,0.2,,0.038,0.046,
3,BMC,1,2022,15.9,1.4,2.9,,0.091,0.074,349.0,272,2,,1519,17013,,,,,,0.885,,,7.7,6.8,3.9,0.08,2896.0,0.243,0.085,0.068,0.0,0.0,0.0,,1.1,160,0.414,0.456,619.0,1.0,-0.111,0.6,0.8,0.085,1.0,,,,,,,,,0.1,,0.045,0.013,
4,BMC,4,2021,16.8,1.4,4.7,,0.085,0.074,389.0,325,2,,1407,16792,,,,,,0.855,,,5.9,5.3,2.8,0.136,2772.0,0.32,0.2,0.166,0.0,0.0,0.0,,1.2,153,0.382,0.333,713.0,0.9,-0.101,0.6,0.9,0.2,0.9,,,,,,,,,0.2,,0.023,-0.021,
5,BMC,3,2021,23.5,1.7,5.1,,0.075,0.063,257.0,267,2,,1239,17154,,,,,,0.878,,,7.2,6.5,3.2,-0.034,2709.0,0.344,0.149,0.114,0.0,0.0,0.3,,1.1,157,0.356,0.305,522.0,1.4,-0.098,0.8,0.8,0.149,1.0,,,,,,,,,0.1,,-0.04,0.015,
6,BMC,2,2021,11.6,0.9,7.4,,0.079,0.067,234.0,223,1,,1282,16907,,,,,,0.903,,,9.3,8.0,4.2,0.177,2823.0,0.251,0.157,0.119,0.0,0.0,0.2,,1.1,154,0.368,0.23,456.0,1.6,-0.161,0.9,0.8,0.157,1.0,,,,,,,,,0.1,,0.125,0.029,
7,BMC,1,2021,15.3,1.0,2.9,,0.066,0.054,242.0,228,4,,1089,16426,,,,,,0.747,,,3.0,3.1,1.8,-0.094,2511.0,0.266,0.091,0.075,0.0,0.0,0.0,,1.3,145,0.459,0.513,466.0,1.5,-0.155,0.8,0.8,0.091,1.1,,,,,,,,,0.3,,-0.055,0.007,
8,BMC,4,2020,10.9,0.8,6.8,,0.074,0.066,212.0,188,3,41.9,1201,16317,,,,,,0.885,,,7.7,6.6,3.3,0.026,2657.0,0.243,0.071,0.046,0.0,0.0,0.0,,1.1,140,0.02,0.019,397.0,1.7,-0.172,1.0,0.7,0.071,1.0,,,,,,,,,0.1,,0.089,0.025,
9,BMC,3,2020,8.6,0.6,6.8,,0.074,0.062,281.0,334,3,26.0,1171,15915,,,,,,0.816,,,4.4,4.0,1.1,0.013,2439.0,0.249,0.118,0.089,0.1,0.1,0.3,,1.2,129,0.012,0.012,612.0,1.3,-0.142,0.7,0.8,0.118,1.0,,,,,,,,,0.2,,0.006,0.019,
