,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BMS,4,2022,-3.3,0.4,-2.3,,-0.127,-0.086,529.0,,7,,-1579,11663,,,,,,0.693,,,2.3,3.2,3.2,-2.955,-1865,,,,0.0,0.0,0.0,,1.4,700,0.107,0.239,,0.7,-1.067,0.5,,,1.0,,,,,,,,,0.4,,-2.112,-0.101,
1,BMS,3,2022,11.0,0.7,2.7,,0.065,0.042,466.0,,6,,807,12978,,,,,,0.683,,,2.2,3.1,3.1,-7.142,1678,0.283,0.229,0.17,0.0,0.0,0.0,,1.5,776,0.088,0.207,,0.8,-1.146,0.5,0.8,0.229,0.9,,,,,,,,,0.5,,1.731,0.02,
2,BMS,2,2022,-69.5,0.7,13.1,,-0.01,-0.008,512.0,,5,,-131,12727,,,,,,0.624,,,1.7,2.7,2.7,-1.032,614,,,,0.2,0.1,2.5,,1.6,767,0.206,0.372,,0.7,-1.281,0.5,,,1.0,,,,,,,,,0.6,,-0.907,-0.146,
3,BMS,1,2022,4.3,1.2,1.6,,0.324,0.241,459.0,,7,,4138,14895,,,,,,0.636,,,1.7,3.0,3.0,0.533,6615,0.685,0.662,0.512,0.0,0.0,0.0,,1.6,949,0.036,0.056,,0.8,-0.31,0.6,0.8,0.662,1.0,,,,,,,,,0.6,,0.456,0.125,
4,BMS,4,2021,8.2,1.7,2.7,,0.228,0.16,488.0,,4,,2699,13245,,,,,,0.666,,,2.0,3.3,3.3,-0.164,4544,0.666,0.625,0.375,0.0,0.0,0.0,,1.5,837,0.092,0.094,,0.7,-0.523,0.5,0.6,0.625,1.0,,,,,,,,,0.5,,-0.101,0.102,
5,BMS,3,2021,6.5,1.8,3.2,,0.311,0.203,393.0,,0,,3227,12019,,,,,,0.605,,,1.5,2.6,2.6,-0.076,5057,,,,0.0,0.0,0.0,,1.7,742,0.198,0.143,,0.9,-0.186,0.6,,,1.1,,,,,,,,,0.7,,-0.121,-0.052,
6,BMS,2,2021,3.4,0.9,3.2,,0.32,0.262,416.0,,0,,3493,12676,,,,,,0.895,,,8.5,14.2,14.2,1.455,5754,0.779,0.758,0.607,0.0,0.0,0.0,,1.1,799,0.246,0.173,,0.9,-0.228,0.7,0.8,0.758,1.0,,,,,,,,,0.1,,1.075,0.192,
7,BMS,1,2021,4.5,0.6,4.0,,0.144,0.14,444.0,,0,,1422,10638,,,,,,0.971,,,33.1,68.0,68.0,1.396,2774,0.203,0.172,0.115,0.0,0.0,0.0,,1.0,654,0.105,0.109,,0.8,-0.023,0.8,0.8,0.172,0.8,,,,,,,,,0.0,,0.824,0.02,
8,BMS,4,2020,6.9,0.4,4.2,,0.06,0.044,505.0,,0,,593,10428,,,,,,0.747,,,3.0,4.1,4.1,-1.996,1521,0.681,0.661,0.473,0.0,0.0,0.0,,1.3,638,0.591,0.955,,0.7,-0.02,0.5,0.7,0.661,1.0,,,,,,,,,0.3,,-3.02,0.19,
9,BMS,3,2020,-8.1,0.6,-7.5,,-0.066,-0.048,600.0,,0,,-596,8763,,,,,,0.734,,,2.8,3.7,3.7,-0.3,-753,,,,0.0,0.0,0.0,,1.4,515,0.146,0.215,,0.6,-0.018,0.4,,,1.1,,,,,,,,,0.4,,-0.352,-0.046,
10,BMS,2,2020,-3.2,0.3,-4.8,,-0.088,-0.065,748.0,,0,,-852,9186,,,,,,0.737,,,2.8,3.7,3.7,0.805,-1161,0.133,0.104,0.018,0.0,0.0,0.0,,1.4,548,0.233,0.319,,0.5,-0.016,0.4,0.2,0.104,0.9,,,,,,,,,0.4,,0.164,0.01,
11,BMS,1,2020,-4.7,0.2,-3.2,,-0.05,-0.042,874.0,,0,,-472,9095,,,,,,0.97,,,32.8,32.3,32.3,-1.467,-997,,,,0.0,0.0,0.0,,1.0,529,0.006,0.02,,0.4,0.0,0.3,,,1.1,,,,,,,,,0.0,,-2.074,-0.092,
12,BMS,4,2019,3.6,0.4,1.8,,0.103,0.074,,,0,,1011,10018,,,,,,0.71,,,2.5,3.4,3.4,0.612,929,0.27,0.231,0.253,0.0,0.0,0.0,,1.4,564,0.408,1.136,,,0.0,0.3,1.0,0.231,1.1,,,,,,,,,0.4,,2.425,-0.003,
13,BMS,3,2019,6.2,0.4,4.0,,0.064,0.047,,,0,,627,10052,,,,,,0.741,,,2.9,3.8,3.8,-0.608,271,-2.546,-2.738,-2.328,0.0,0.0,0.0,,1.4,562,0.211,0.69,,,-0.034,0.3,1.2,-2.738,1.1,,,,,,,,,0.4,,-0.834,-0.068,
