,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BPC,4,2022,45.0,0.5,14.6,,0.011,0.006,128,60,89,2.6,286,24691,,,,,,0.453,,,0.8,1.8,1.5,-0.537,1436.0,0.095,0.026,0.007,0.4,0.2,5.9,,2.2,91,0.028,0.054,98,2.9,-0.203,1.4,0.6,0.026,0.4,,,,,,,,,1.2,,0.063,0.005,
1,BPC,3,2022,17.4,0.4,13.1,,0.025,0.012,125,59,95,2.1,619,24562,,,,,,0.469,,,0.9,1.9,1.5,-0.098,1350.0,0.101,0.02,0.007,0.3,0.2,5.3,,2.1,91,0.009,0.023,90,2.9,-0.377,1.4,0.8,0.02,0.4,,,,,,,,,1.1,,0.054,0.004,
2,BPC,2,2022,13.9,0.4,12.7,,0.028,0.013,125,55,97,2.6,687,24464,,,,,,0.481,,,0.9,1.9,1.6,-0.297,1282.0,0.085,0.014,0.003,0.3,0.2,6.6,,2.1,90,0.014,0.043,83,2.9,-0.343,1.3,0.8,0.014,0.2,,,,,,,,,1.1,,-0.144,-0.037,
3,BPC,1,2022,12.6,0.5,12.6,,0.038,0.02,127,53,71,1.1,976,25401,,,,,,0.525,,,1.1,2.1,1.6,-0.012,1497.0,0.084,0.006,0.0,0.4,0.2,6.7,,1.9,93,0.054,0.122,108,2.9,-0.224,1.4,0.6,0.006,0.1,,,,,,,,,0.9,,-0.059,0.0,
4,BPC,4,2021,12.9,0.5,10.8,,0.039,0.019,129,54,65,4.1,988,25392,,,,,,0.527,,,1.1,2.1,1.6,0.378,1592.0,0.09,0.021,0.025,0.3,0.2,7.1,,1.9,93,0.03,0.059,117,2.8,-0.153,1.4,0.9,0.021,1.4,,,,,,,,,0.9,,-0.05,0.019,
5,BPC,3,2021,16.1,0.5,10.0,,0.028,0.015,127,56,59,2.5,717,24930,,,,,,0.498,,,1.0,2.0,1.5,-0.087,1675.0,0.089,0.016,0.012,0.2,0.1,5.5,,2.0,92,0.068,0.137,125,2.9,0.0,1.4,0.8,0.016,1.0,,,,,,,,,1.0,,-0.153,0.007,
6,BPC,2,2021,11.6,0.4,9.1,,0.031,0.015,128,60,76,3.6,785,24765,,,,,,0.452,,,0.8,1.8,1.5,-0.245,1977.0,0.097,0.024,0.017,0.3,0.2,6.3,,2.2,91,0.086,0.18,111,2.9,0.0,1.3,0.8,0.024,0.9,,,,,,,,,1.2,,-0.224,-0.034,
7,BPC,1,2021,11.0,0.4,7.9,,0.04,0.02,136,51,74,1.2,1040,25640,,,,,,0.498,,,1.0,2.0,1.6,-0.257,2549.0,0.12,0.012,0.001,0.4,0.2,5.2,,2.0,94,0.043,0.11,114,2.7,0.148,1.3,0.7,0.012,0.1,,,,,,,,,1.0,,-0.179,0.001,
8,BPC,4,2020,6.8,0.4,7.3,,0.054,0.025,137,45,63,2.8,1400,25620,,,,,,0.473,,,0.9,1.9,1.6,-0.248,3103.0,0.128,0.029,0.01,0.6,0.3,6.0,,2.1,93,0.109,0.255,120,2.7,-0.162,1.2,0.5,0.029,0.7,,,,,,,,,1.1,,-0.132,0.008,
9,BPC,3,2020,4.5,0.3,6.5,,0.074,0.035,132,46,52,2.1,1861,25429,,,,,,0.543,,,1.2,2.1,1.8,0.102,3576.0,0.143,0.038,0.018,0.5,0.3,5.0,,1.8,93,0.026,0.057,126,2.8,-0.16,1.2,0.8,0.038,0.6,,,,,,,,,0.8,,-0.082,0.002,
10,BPC,2,2020,5.8,0.4,6.9,,0.067,0.029,124,52,58,3.8,1688,25380,,,,,,0.489,,,1.0,1.9,1.6,0.1,3895.0,0.155,0.058,0.033,0.6,0.3,5.2,,2.0,92,0.02,0.046,117,3.0,-0.125,1.2,0.8,0.058,0.7,,,,,,,,,1.0,,0.044,-0.03,
11,BPC,1,2020,7.0,0.4,6.7,,0.059,0.027,123,39,59,2.7,1535,26162,,,,,,0.488,,,1.0,1.9,1.6,0.113,3730.0,0.139,0.049,0.025,0.6,0.3,4.8,,2.0,95,0.039,0.096,103,3.0,-0.311,1.3,0.8,0.049,0.6,,,,,,,,,1.0,,0.004,0.015,
