,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BSH,4,2022,6.3,1.2,4.5,,0.195,0.13,113,35,6,,3199,16388,,,,,,0.596,,,1.5,2.0,1.7,-0.134,4447,0.066,0.039,0.069,0.4,0.2,0.7,,1.7,206,0.036,0.03,141,3.2,-0.005,1.4,0.8,0.039,2.3,,,,,,,,,0.7,,-0.164,-0.028,
1,BSH,3,2022,7.3,1.6,4.3,,0.229,0.142,110,37,15,,3695,16854,,,,,,0.623,,,1.7,2.2,1.8,-0.079,5321,0.097,0.061,0.061,0.1,0.1,0.4,,1.6,213,0.144,0.105,132,3.3,-0.016,1.3,0.8,0.061,1.3,,,,,,,,,0.6,,0.002,0.033,
2,BSH,2,2022,5.9,1.5,5.9,,0.26,0.166,108,41,12,232.7,4011,16319,,,,,,0.65,,,1.9,2.3,1.9,0.148,5312,0.179,0.15,0.136,0.1,0.1,0.4,,1.5,198,0.025,0.014,137,3.4,-0.04,1.4,0.8,0.15,1.1,,,,,,,,,0.5,,0.057,-0.042,
3,BSH,1,2022,6.1,1.3,4.7,,0.22,0.157,112,46,14,,3495,17032,,,,,,0.731,,,2.7,2.8,2.2,0.157,5026,0.148,0.114,0.1,0.0,0.0,0.2,,1.4,199,0.308,0.185,144,3.3,-0.059,1.4,0.8,0.114,1.1,,,,,,,,,0.4,,0.067,0.037,
4,BSH,4,2021,6.8,1.3,4.0,,0.192,0.132,106,40,7,,3021,16429,,,,,,0.749,,,3.0,2.8,2.4,0.243,4709,0.176,0.136,0.123,0.0,0.0,0.3,,1.3,182,0.656,0.359,139,3.4,-0.056,1.4,0.8,0.136,1.2,,,,,,,,,0.3,,-0.023,0.067,
5,BSH,3,2021,8.0,1.3,6.0,,0.161,0.1,96,40,20,,2431,15391,,,,,,0.614,,,1.6,2.0,1.7,0.033,4818,0.171,0.138,0.124,0.1,0.1,0.4,,1.6,168,0.841,0.323,115,3.8,-0.079,1.3,0.8,0.138,1.1,,,,,,,,,0.6,,-0.129,0.059,
6,BSH,2,2021,7.6,1.2,2.6,,0.165,0.1,73,36,21,26.8,2354,14532,,,,,,0.626,,,1.7,2.0,1.7,0.286,5532,0.147,0.114,0.093,0.2,0.1,0.4,,1.6,149,0.755,0.487,88,5.0,-0.047,1.5,0.8,0.114,1.0,,,,,,,,,0.6,,0.041,-0.015,
7,BSH,1,2021,10.6,1.3,2.3,,0.129,0.097,70,45,10,,1831,14758,,,,,,0.698,,,2.3,2.3,1.8,0.42,5314,0.066,0.022,0.03,0.1,0.1,0.1,,1.4,150,0.632,0.466,104,5.2,-0.045,1.7,0.7,0.022,2.1,,,,,,,,,0.4,,0.01,-0.021,
8,BSH,4,2020,17.7,1.5,2.8,,0.086,0.056,75,44,8,33.1,1289,15072,,,,,,0.635,,,1.7,1.9,1.6,-0.227,5263,0.106,0.063,0.058,0.2,0.1,0.3,,1.6,145,0.799,0.548,111,4.9,-0.043,1.3,0.8,0.063,1.2,,,,,,,,,0.6,,-0.062,0.019,
9,BSH,3,2020,8.3,0.9,2.5,,0.115,0.067,55,45,12,-72.0,1668,14795,,,,,,0.623,,,1.7,1.8,1.4,-0.177,5613,0.124,0.09,0.079,0.2,0.1,0.6,,1.6,126,0.636,0.448,87,6.7,-0.005,1.3,0.8,0.09,1.1,,,,,,,,,0.6,,-0.084,0.054,
