,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BST,4,2022,7.1,1.0,2.5,,0.141,0.089,49,25,20.0,-7.5,1877,13542,,,,,,0.592,,,1.5,2.3,1.9,0.128,1820.0,0.277,,0.028,0.0,0.0,0.2,,1.7,14,0.289,0.295,54.0,7.5,0.0,4.4,0.8,,-10.2,,,,,,,,,0.7,,-0.028,0.001,
1,BST,3,2022,10.1,1.2,3.0,,0.125,0.062,53,31,46.0,,1664,13533,,,,,,0.582,,,1.4,2.3,1.7,0.388,1872.0,0.122,0.022,0.019,0.0,0.0,0.2,,1.7,14,0.665,0.629,38.0,6.9,0.0,3.2,0.8,0.022,1.1,,,,,,,,,0.7,,0.141,0.078,
2,BST,2,2022,10.6,1.0,10.7,,0.096,0.042,69,98,92.0,61.1,1198,12558,,,,,,0.447,,,0.8,1.7,0.7,-0.144,1641.0,0.115,0.014,0.011,0.0,0.0,0.2,,2.2,13,0.059,0.041,75.0,5.3,-0.079,2.1,0.8,0.014,1.0,,,,,,,,,1.2,,-0.112,0.021,
3,BST,1,2022,10.6,1.2,9.9,,0.115,0.087,65,41,19.0,,1401,12299,,,,,,0.747,,,2.9,3.7,2.0,0.015,1848.0,0.242,0.12,0.072,0.0,0.0,0.2,,1.3,12,0.064,0.042,87.0,5.6,0.0,3.9,0.8,0.12,0.8,,,,,,,,,0.3,,0.048,-0.057,
4,BST,4,2021,11.8,1.2,8.2,,0.107,0.077,69,37,19.0,1.0,1381,13040,,,,,,0.678,,,2.1,2.9,1.8,0.038,1764.0,0.242,0.0,0.024,0.0,0.0,0.2,,1.5,13,0.164,0.126,87.0,5.3,0.0,3.5,0.8,0.0,78.7,,,,,,,,,0.5,,-0.032,0.001,
5,BST,3,2021,10.5,1.1,7.7,,0.102,0.046,64,51,83.0,305.5,1330,13028,,,,,,0.425,,,0.7,1.7,1.3,-0.32,1821.0,0.122,0.033,0.019,0.0,0.0,0.2,,2.4,13,0.227,0.178,32.0,5.7,0.0,2.4,0.8,0.033,0.7,,,,,,,,,1.4,,-0.213,0.041,
6,BST,2,2021,8.4,1.3,5.6,,0.161,0.078,52,64,64.0,29.9,1956,12519,,,,,,0.433,,,0.8,1.7,1.0,0.223,2314.0,0.124,0.021,0.018,0.0,0.0,0.2,,2.3,13,0.049,0.039,52.0,7.0,0.0,3.1,0.8,0.021,1.1,,,,,,,,,1.3,,0.288,0.038,
7,BST,1,2021,10.0,1.3,9.2,,0.134,0.105,67,29,19.0,,1598,12057,,,,,,0.758,,,3.1,3.8,2.6,0.151,1796.0,0.25,0.104,0.072,0.0,0.0,0.2,,1.3,12,0.014,0.01,77.0,5.4,0.0,3.8,0.8,0.104,0.9,,,,,,,,,0.3,,0.167,-0.06,
8,BST,4,2020,9.0,1.0,11.3,,0.109,0.084,75,28,15.0,23.9,1389,12820,,,,,,0.772,,,3.4,4.1,3.0,0.022,1539.0,0.159,0.005,0.009,0.0,0.0,0.2,,1.3,13,0.293,0.218,88.0,4.9,0.0,3.4,0.8,0.005,2.4,,,,,,,,,0.3,,0.095,-0.011,
9,BST,3,2020,8.3,0.9,6.7,,0.105,0.057,82,62,64.0,462.5,1359,12963,,,,,,0.479,,,0.9,1.8,1.1,0.463,1406.0,0.147,0.039,0.032,0.0,0.0,0.2,,2.1,13,0.485,0.408,80.0,4.4,0.0,2.2,0.9,0.039,1.0,,,,,,,,,1.1,,0.599,0.096,
