,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BTS,4,2022,14.0,0.5,5.4,,0.038,0.017,-111,66,83,0.2,436,11507,,,,,,0.428,,,0.7,0.5,0.2,-0.328,2377.0,0.088,0.005,,0.7,0.3,3.2,29.2,2.3,-880,0.097,0.184,-129,,-0.048,1.0,,0.005,-0.4,,,,,,,,,1.3,,-0.092,-0.035,
1,BTS,3,2022,11.1,0.6,5.6,,0.056,0.024,-113,59,82,0.9,649,11919,,,,,,0.445,,,0.8,0.5,0.2,0.242,2618.0,0.07,0.014,0.01,0.6,0.3,3.2,25.8,2.2,-870,0.058,0.086,-135,,-0.037,1.0,0.8,0.014,0.9,,,,,,,,,1.2,,0.025,0.005,
2,BTS,2,2022,14.1,0.6,5.0,,0.045,0.02,-128,57,94,3.5,522,11854,,,,,,0.45,,,0.8,0.5,0.2,0.159,2555.0,0.133,0.054,0.037,0.6,0.3,3.2,72.9,2.2,-966,0.028,0.055,-164,,-0.018,0.9,0.8,0.054,0.9,,,,,,,,,1.2,,0.009,0.006,
3,BTS,1,2022,32.8,1.3,6.3,,0.039,0.017,-136,45,82,2.5,451,11782,,,,,,0.453,,,0.8,0.4,0.2,0.114,2533.0,0.114,0.041,0.024,0.7,0.3,3.7,74.5,2.2,-1044,0.053,0.074,-173,,-0.022,0.9,0.8,0.041,0.7,,,,,,,,,1.2,,0.001,0.012,
4,BTS,4,2021,27.1,0.9,8.1,,0.035,0.016,-139,52,83,2.9,404,11640,,,,,,0.47,,,0.9,0.4,0.1,-10.71,2530.0,0.128,0.04,0.029,0.6,0.3,3.2,60.2,2.1,-1020,0.081,0.081,-170,,-0.017,0.9,0.8,0.04,0.9,,,,,,,,,1.1,,0.151,0.018,
5,BTS,3,2021,-290.2,1.1,9.2,,-0.004,-0.002,-147,58,93,0.2,-41,11439,,,,,,0.43,,,0.8,0.4,0.2,-1.346,2198.0,0.075,0.006,,0.8,0.3,4.3,71.7,2.3,-1100,0.051,0.052,-183,,-0.033,0.9,,0.006,-2.1,,,,,,,,,1.3,,-0.096,-0.005,
6,BTS,2,2021,59.8,0.6,8.8,,0.01,0.004,-147,53,98,2.6,120,11501,,,,,,0.43,,,0.8,0.4,0.2,-0.163,2432.0,0.117,0.051,0.026,0.8,0.3,3.9,64.5,2.3,-1162,0.021,0.02,-192,,-0.032,0.9,0.8,0.051,0.6,,,,,,,,,1.3,,0.022,0.009,
7,BTS,1,2021,40.3,0.5,6.8,,0.013,0.005,-151,52,88,1.7,143,11403,,,,,,0.417,,,0.7,0.4,0.2,0.029,2379.0,0.112,0.042,0.018,0.9,0.4,4.5,68.6,2.4,-1216,0.054,0.105,-187,,-0.034,0.9,0.8,0.042,0.5,,,,,,,,,1.4,,-0.025,0.009,
8,BTS,4,2020,33.6,0.4,6.4,,0.012,0.005,-155,50,86,-0.7,139,11307,,,,,,0.428,,,0.7,0.3,0.1,-0.712,2440.0,0.066,,,0.8,0.3,4.1,55.2,2.3,-1252,0.081,0.146,-191,,-0.029,0.9,,,2.8,,,,,,,,,1.3,,-0.162,-0.019,
9,BTS,3,2020,9.3,0.4,4.7,,0.043,0.017,-151,55,90,1.7,485,11529,,,,,,0.407,,,0.7,0.4,0.2,0.016,2912.0,0.106,0.039,0.016,0.8,0.3,3.7,54.6,2.5,-1272,0.043,0.117,-185,,-0.036,0.9,1.0,0.039,0.4,,,,,,,,,1.5,,0.002,0.009,
