,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BTW,4,2022,7.1,1.1,2.3,,0.169,0.115,50,15,46,7.4,4191,26126,,,,,,0.638,,,1.8,1.5,1.4,0.206,8618,0.309,0.02,0.022,0.1,0.0,0.2,0.3,1.6,68,0.431,0.378,18,7.3,-0.254,1.4,0.8,0.02,1.4,,,,,,,,,0.6,,0.109,0.033,
1,BTW,3,2022,10.1,1.4,2.2,,0.142,0.099,60,9,38,57.9,3474,25303,,,,,,0.665,,,2.0,1.7,1.6,0.416,7773,0.389,0.165,0.133,0.1,0.1,0.3,0.3,1.5,71,0.47,0.441,31,6.1,-0.191,1.3,0.8,0.165,1.0,,,,,,,,,0.5,,0.211,0.076,
2,BTW,2,2022,13.0,1.4,4.2,,0.105,0.074,50,10,41,38.9,2453,23516,,,,,,0.678,,,2.1,1.6,1.5,0.053,6421,0.365,0.126,0.098,0.1,0.1,0.4,0.3,1.5,52,0.443,0.297,19,7.3,-0.13,1.2,0.8,0.126,1.0,,,,,,,,,0.5,,0.021,-0.029,
3,BTW,1,2022,13.3,1.3,4.2,,0.097,0.074,56,10,43,31.4,2329,24211,,,,,,0.759,,,3.1,2.1,2.0,-0.158,6289,0.334,0.108,0.085,0.1,0.1,0.4,0.2,1.3,62,0.311,0.236,23,6.5,-0.124,1.3,0.8,0.108,1.0,,,,,,,,,0.3,,-0.043,0.037,
4,BTW,4,2021,12.8,1.5,4.5,,0.121,0.089,51,13,37,-9.9,2766,23356,,,,,,0.737,,,2.8,2.0,1.8,-0.268,6571,0.34,,,0.1,0.1,0.4,0.2,1.4,61,0.351,0.248,28,7.1,-0.123,1.3,,,1.0,,,,,,,,,0.4,,-0.146,-0.018,
5,BTW,3,2021,8.4,1.3,3.7,,0.167,0.121,48,9,37,23.8,3778,23776,,,,,,0.737,,,2.8,2.1,2.0,-0.015,7692,0.324,0.096,0.082,0.1,0.1,0.3,0.2,1.4,68,0.258,0.192,21,7.5,-0.142,1.4,0.9,0.096,1.0,,,,,,,,,0.4,,-0.005,0.033,
6,BTW,2,2021,9.6,1.6,3.6,,0.176,0.123,36,10,35,28.4,3834,23010,,,,,,0.729,,,2.7,1.9,1.8,0.305,7735,0.341,0.126,0.091,0.1,0.1,0.4,0.2,1.4,54,0.336,0.234,11,10.2,-0.162,1.5,0.7,0.126,1.0,,,,,,,,,0.4,,0.161,-0.033,
7,BTW,1,2021,10.1,1.2,4.2,,0.128,0.096,41,8,35,35.2,2937,23787,,,,,,0.761,,,3.2,2.1,2.0,-0.233,6663,0.317,0.131,0.116,0.1,0.1,0.4,0.2,1.3,55,0.302,0.221,15,8.8,-0.142,1.5,0.9,0.131,1.0,,,,,,,,,0.3,,-0.121,0.059,
8,BTW,4,2020,6.9,1.2,3.9,,0.181,0.128,28,10,31,12.1,3831,22453,,,,,,0.737,,,2.8,1.9,1.8,0.237,7579,0.344,0.062,0.049,0.1,0.1,0.4,0.2,1.4,49,0.307,0.21,7,12.9,-0.086,1.6,0.7,0.062,1.1,,,,,,,,,0.4,,0.088,0.048,
9,BTW,3,2020,8.4,1.2,3.5,,0.15,0.104,25,9,33,16.1,3097,21416,,,,,,0.711,,,2.5,1.7,1.6,-0.21,6966,0.309,0.081,0.071,0.1,0.1,0.4,0.2,1.4,43,0.303,0.234,1,14.7,-0.095,1.7,0.9,0.081,1.0,,,,,,,,,0.4,,-0.119,0.04,
