,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BVB,4,2022,10.9,0.8,,,0.076,0.005,,,,,991,13627,0.023,0.072,0.028,0.523,0.054,0.063,0.098,0.681,0.1,,,0.307,,,,,,,,,15.8,,,,,,,,,,,0.252,0.062,0.687,0.643,1.015,0.677,0.018,0.329,14.8,0.004,,0.013,0.096
1,BVB,3,2022,15.5,0.9,,,0.058,0.004,,,,,758,13456,0.025,0.109,0.028,0.56,0.054,0.064,0.097,0.749,0.1,,,0.06,,,,,,,,,15.7,,,,,,,,,,,0.2,0.105,0.702,0.656,1.172,0.599,0.018,0.316,14.7,0.003,,0.002,0.134
2,BVB,2,2022,18.6,1.0,,,0.055,0.004,,,,,715,13431,0.022,0.128,0.027,0.549,0.05,0.06,0.097,0.514,0.1,,,-0.014,,,,,,,,,16.7,,,,,,,,,,,0.388,0.285,0.656,0.618,1.07,0.613,0.017,0.364,15.7,0.003,,0.032,0.144
3,BVB,1,2022,26.9,1.5,,,0.061,0.004,,,,,725,13019,0.023,0.109,0.024,0.579,0.051,0.062,0.096,0.64,0.1,,,0.07,,,,,,,,,16.3,,,,,,,,,,,0.288,0.296,0.679,0.638,1.058,0.641,0.015,0.341,15.3,0.004,,0.03,0.184
4,BVB,4,2021,34.5,1.9,,,0.058,0.004,,,,,678,12637,0.022,0.103,0.025,0.596,0.05,0.061,0.1,0.866,0.1,,,-0.307,,,,,,,,,16.5,,,,,,,,,,,0.107,-0.149,0.643,0.606,1.025,0.627,0.015,0.376,15.5,0.006,,-0.013,0.165
5,BVB,3,2021,21.3,1.6,,,0.084,0.006,,,,,979,12797,0.025,0.254,0.029,0.532,0.057,0.071,0.105,0.514,0.1,,,-0.057,,,,,,,,,14.0,,,,,,,,,,,0.388,0.085,0.729,0.681,1.056,0.69,0.02,0.295,13.0,0.004,,0.005,0.178
6,BVB,2,2021,22.4,1.8,,,0.09,0.006,,,,,1038,12737,0.024,0.172,0.028,0.447,0.057,0.07,0.105,0.486,0.1,,,0.562,,,,,,,,,14.2,,,,,,,,,,,0.411,0.297,0.715,0.666,1.112,0.643,0.019,0.304,13.2,0.004,,0.162,0.24
7,BVB,1,2021,20.5,1.2,,,0.063,0.004,,,,,664,10963,0.021,0.149,0.028,0.438,0.062,0.066,0.096,0.603,0.1,,,0.518,,,,,,,,,15.2,,,,,,,,,,,0.318,0.318,0.738,0.685,1.083,0.682,0.019,0.278,14.2,0.003,,0.035,0.204
8,BVB,4,2020,32.9,1.4,,,0.043,0.003,,,,,438,10597,0.019,0.254,0.028,0.514,0.058,0.064,0.098,0.619,0.1,,,-0.098,,,,,,,,,15.7,,,,,,,,,,,0.305,0.122,0.702,0.652,0.963,0.729,0.018,0.313,14.7,0.007,,0.013,0.609
9,BVB,3,2020,21.3,1.0,,,0.049,0.003,,,,,485,10461,0.017,0.185,0.03,0.479,0.063,0.07,0.101,0.592,0.1,,,0.442,,,,,,,,,14.2,,,,,,,,,,,0.326,0.178,0.757,0.698,1.01,0.749,0.021,0.262,13.2,0.005,,0.015,0.54
10,BVB,2,2020,,,,,0.034,0.002,,,,,336,10302,0.017,0.136,0.031,0.435,0.061,0.071,0.106,0.799,0.1,,,0.064,,,,,,,,,14.1,,,,,,,,,,,0.163,0.046,0.732,0.67,0.951,0.77,0.021,0.282,13.1,0.009,,0.004,0.432
11,BVB,1,2020,,,,,0.032,0.002,,,,,316,10258,0.018,0.263,0.029,0.451,0.059,0.071,0.108,0.517,0.1,,,0.368,,,,,,,,,14.0,,,,,,,,,,,0.383,0.091,0.718,0.659,0.919,0.782,0.019,0.295,13.0,0.012,,0.057,0.358
12,BVB,4,2019,,,,,0.024,0.002,,,,,231,9706,0.014,0.726,0.052,0.354,0.054,0.06,0.144,0.492,0.1,,,0.202,,,,,,,,,16.8,,,,,,,,,,,0.406,0.183,0.428,0.414,0.847,0.506,0.022,0.587,15.8,0.009,,0.02,-0.166
13,BVB,3,2019,,,,,0.02,0.001,,,,,192,9515,0.017,0.307,0.044,0.324,0.059,0.065,0.141,0.52,0.1,,,-0.022,,,,,,,,,15.4,,,,,,,,,,,0.39,0.019,0.483,0.461,0.958,0.504,0.02,0.526,14.4,0.01,,0.001,0.038
14,BVB,2,2017,,,,,0.014,0.001,,,,,123,9323,0.011,0.191,,,0.026,0.081,0.195,0.373,0.1,,,0.258,,,,,,,,,12.4,,,,,,,,,,,0.502,0.126,0.426,0.414,0.84,0.507,,0.606,11.4,0.005,,0.009,0.273
