,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BWS,4,2022,13.2,2.4,9.6,,0.185,0.168,85,59,41,341.8,2137,11670,,,,,,0.928,,,13.0,3.0,2.4,0.031,2915,0.728,0.202,0.199,0.0,0.0,0.0,1.1,1.1,152,0.05,0.021,103,4.3,-0.398,0.6,0.9,0.202,1.1,,,,,,,,,0.1,,0.05,0.031,
1,BWS,3,2022,14.7,2.7,10.1,,0.185,0.169,108,78,28,1202.8,2072,11319,,,,,,0.914,,,10.6,2.6,2.0,-0.022,2776,0.485,0.298,0.285,0.0,0.0,0.0,1.0,1.1,148,0.022,0.009,158,3.4,-0.409,0.6,0.9,0.298,1.1,,,,,,,,,0.1,,-0.112,-0.033,
2,BWS,2,2022,15.4,2.8,9.7,,0.19,0.167,135,89,35,-1886.4,2118,11703,,,,,,0.913,,,10.4,3.2,2.5,-0.049,3125,0.467,0.241,0.288,0.0,0.0,0.1,5.2,1.1,210,0.072,0.027,189,2.7,-0.557,0.5,0.9,0.241,1.3,,,,,,,,,0.1,,-0.034,0.035,
3,BWS,1,2022,14.9,2.9,10.0,,0.202,0.188,149,60,19,144.1,2227,11310,,,,,,0.93,,,13.4,3.7,2.8,0.02,3236,0.502,0.326,0.355,0.0,0.0,0.0,1.0,1.1,190,0.009,0.003,191,2.4,-0.624,0.6,0.9,0.326,1.2,,,,,,,,,0.1,,-0.026,-0.007,
4,BWS,4,2021,15.3,2.9,10.2,,0.198,0.177,112,50,29,,2183,11388,,,,,,0.881,,,7.4,2.3,1.9,-0.106,3322,0.413,0.175,0.186,0.0,0.0,0.0,1.0,1.1,167,0.059,0.02,133,3.3,-0.587,0.6,0.9,0.175,1.2,,,,,,,,,0.1,,-0.081,0.027,
5,BWS,3,2021,13.5,3.0,9.4,,0.228,0.21,128,76,14,907.6,2443,11086,,,,,,0.911,,,10.3,3.7,2.6,-0.048,3613,0.456,0.414,0.383,0.0,0.0,0.0,0.9,1.1,245,0.015,0.005,190,2.8,-0.577,0.6,0.9,0.414,1.0,,,,,,,,,0.1,,0.025,0.043,
6,BWS,2,2021,12.9,3.1,10.2,,0.245,0.215,153,78,25,,2567,10624,,,,,,0.842,,,5.3,2.5,1.9,0.0,3524,0.473,0.318,0.342,0.0,0.0,0.0,0.9,1.2,255,0.079,0.024,206,2.4,-0.428,0.6,0.9,0.318,1.2,,,,,,,,,0.2,,-0.006,-0.012,
7,BWS,1,2021,12.9,3.1,10.2,,0.251,0.233,144,48,10,,2568,10755,,,,,,0.928,,,12.9,5.7,5.0,-0.003,3546,0.524,0.369,0.333,0.0,0.0,0.0,0.8,1.1,324,0.027,0.008,182,2.5,-0.281,0.7,0.9,0.369,1.0,,,,,,,,,0.1,,0.019,0.008,
8,BWS,4,2020,12.4,3.0,10.9,,0.26,0.231,102,43,12,,2575,10669,,,,,,0.908,,,9.9,3.4,3.0,0.021,3478,0.507,0.323,0.308,0.0,0.0,0.0,0.8,1.1,219,0.007,0.002,133,3.6,-0.286,0.7,0.9,0.323,1.1,,,,,,,,,0.1,,0.026,0.035,
9,BWS,3,2020,12.8,3.1,11.1,,0.256,0.235,131,51,13,,2522,10309,,,,,,0.925,,,12.4,4.0,3.4,0.012,3390,0.493,0.345,0.389,0.0,0.0,0.0,0.8,1.1,210,0.015,0.004,168,2.8,-0.261,0.7,0.9,0.345,1.2,,,,,,,,,0.1,,-0.223,-0.006,
10,BWS,2,2020,11.9,2.9,10.0,,0.255,0.234,155,47,16,,2491,10368,,,,,,0.92,,,11.6,5.1,4.6,0.003,4365,0.464,0.333,0.344,0.0,0.0,0.0,0.8,1.1,311,0.033,0.01,186,2.3,-0.352,0.7,0.9,0.333,1.2,,,,,,,,,0.1,,0.01,0.069,
11,BWS,1,2020,10.9,2.8,9.1,,0.272,0.251,121,59,16,,2483,9696,,,,,,0.929,,,13.1,4.4,3.7,-0.01,4322,0.486,0.333,0.332,0.0,0.0,0.0,0.7,1.1,206,0.01,0.003,163,3.0,-0.498,0.7,0.9,0.333,1.1,,,,,,,,,0.1,,0.005,0.06,
12,BWS,4,2019,13.2,3.6,9.7,,0.294,0.243,12,50,22,,2507,9145,,,,,,0.868,,,6.6,2.3,2.0,-0.031,4301,0.475,0.29,0.283,0.0,0.0,0.1,0.7,1.2,159,0.035,0.009,40,31.7,-0.482,0.7,1.1,0.29,1.1,,,,,,,,,0.2,,0.046,-0.024,
13,BWS,3,2019,9.6,2.7,9.2,,0.301,0.27,15,67,14,,2586,9373,,,,,,0.907,,,9.8,4.4,3.7,-0.038,4113,0.502,0.371,0.39,0.0,0.0,0.0,0.7,1.1,273,0.098,0.03,68,24.8,-0.436,0.7,1.1,0.371,1.2,,,,,,,,,0.1,,-0.116,0.019,
14,BWS,2,2019,8.5,2.5,10.1,,0.314,0.285,16,62,12,,2689,9202,,,,,,0.92,,,11.4,4.8,4.1,0.033,4652,0.513,0.346,0.351,0.0,0.0,0.0,0.7,1.1,256,0.016,0.005,66,22.4,-0.432,0.7,1.1,0.346,1.1,,,,,,,,,0.1,,0.081,0.072,
15,BWS,1,2019,8.4,2.5,10.0,,0.325,0.286,23,101,55,,2604,8585,,,,,,0.915,,,10.8,4.5,3.5,0.067,4302,0.516,0.375,0.377,0.0,0.0,0.0,0.6,1.1,230,0.028,0.008,69,16.0,-0.809,0.8,1.1,0.375,1.1,,,,,,,,,0.1,,0.044,0.081,
16,BWS,4,2018,8.1,2.5,9.7,,0.326,0.263,23,57,18,,2439,7941,,,,,,0.785,,,3.7,1.9,1.6,0.07,4121,0.486,0.325,0.345,0.0,0.0,0.1,4.8,1.3,166,0.117,0.034,62,15.9,-0.751,0.7,1.0,0.325,1.1,,,,,,,,,0.3,,-0.076,0.017,
17,BWS,3,2018,8.3,2.4,8.4,,0.318,0.281,28,65,11,,2280,7810,,,,,,0.885,,,7.7,3.4,2.7,0.164,4459,0.536,0.405,0.461,0.0,0.0,0.0,0.6,1.1,203,0.038,0.013,81,13.1,-1.13,0.8,1.0,0.405,1.2,,,,,,,,,0.1,,0.184,-0.015,
18,BWS,2,2018,8.0,2.0,8.7,,0.28,0.248,29,60,13,240.4,1959,7930,,,,,,0.893,,,8.4,4.2,3.5,0.053,3767,0.523,0.368,0.335,0.0,0.0,0.0,0.6,1.1,258,0.024,0.01,76,12.6,-1.143,0.8,1.2,0.368,1.1,,,,,,,,,0.1,,0.036,0.064,
19,BWS,3,2017,,,,,0.226,0.191,45,60,26,,1340,6512,,,,,,0.877,,,7.1,4.6,4.1,0.09,3219,0.46,0.286,0.284,0.0,0.0,0.1,0.5,1.1,276,0.059,,79,8.1,-0.478,0.7,1.2,0.286,1.2,,,,,,,,,0.1,,-0.073,0.078,
