,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,C47,4,2022,14.3,0.5,11.8,,0.04,0.008,140,379,62,1.1,521,14543,,,,,,0.217,,,0.3,1.5,0.6,-0.56,2917,0.088,0.06,0.007,1.7,0.4,10.1,4.7,4.6,394,0.044,0.091,457,2.6,-0.012,0.5,0.6,0.06,0.2,,,,,,,,,3.4,,-0.065,0.005,
1,C47,3,2022,9.8,0.8,12.6,,0.093,0.02,108,414,78,1.2,1185,14476,,,,,,0.222,,,0.3,1.4,0.5,-0.13,3121,0.083,0.061,0.007,1.7,0.4,9.7,5.6,4.5,361,0.194,0.297,444,3.4,-0.056,0.4,0.8,0.061,0.1,,,,,,,,,3.3,,-0.136,0.004,
2,C47,2,2022,9.7,0.9,11.5,,0.108,0.024,82,526,89,1.8,1363,14412,,,,,,0.236,,,0.3,1.3,0.4,-0.124,3611,0.161,0.12,0.034,1.6,0.4,8.3,7.3,4.2,258,0.059,0.089,519,4.4,-0.016,0.4,0.8,0.12,0.4,,,,,,,,,3.0,,0.067,0.017,
3,C47,1,2022,14.8,1.6,12.9,,0.127,0.028,65,457,111,1.5,1555,14175,,,,,,0.242,,,0.3,1.3,0.5,-0.018,3385,0.273,0.198,0.048,1.6,0.4,8.8,6.8,4.1,246,0.123,0.14,410,5.7,-0.021,0.4,0.8,0.198,0.3,,,,,,,,,2.9,,-0.307,0.201,
4,C47,4,2021,15.6,2.1,12.0,,0.147,0.026,108,329,102,1.4,1585,11803,,,,,,0.205,,,0.3,1.3,0.5,0.432,4886,0.124,0.085,0.11,2.1,0.5,7.4,5.1,4.9,212,0.284,0.189,334,3.4,-0.024,0.5,0.8,0.085,1.7,,,,,,,,,3.6,,-0.014,0.067,
5,C47,3,2021,11.9,1.2,13.9,,0.107,0.019,72,315,107,2.2,1106,11067,,,,,,0.213,,,0.3,1.1,0.3,0.119,4956,0.263,0.213,0.052,2.2,0.5,7.9,4.8,4.7,69,0.201,0.105,280,5.1,-0.026,0.6,0.8,0.213,0.3,,,,,,,,,3.4,,-0.157,0.019,
6,C47,2,2021,10.0,0.9,9.2,,0.095,0.016,27,237,92,1.4,988,10860,,,,,,0.214,,,0.3,1.0,0.3,0.07,5877,0.1,0.067,0.044,2.2,0.5,6.8,4.8,4.7,9,0.055,0.057,172,13.3,0.04,0.8,0.8,0.067,0.8,,,,,,,,,3.3,,-0.141,0.045,
7,C47,1,2021,11.9,1.1,6.5,,0.094,0.015,22,239,80,1.8,924,10393,,,,,,0.191,,,0.3,1.0,0.3,0.349,6838,0.101,0.074,0.017,2.2,0.5,5.8,4.6,5.2,-10,0.191,0.3,181,16.5,-0.01,0.8,0.8,0.074,0.3,,,,,,,,,3.8,,-0.067,0.258,
8,C47,4,2020,13.0,1.1,7.4,,0.085,0.012,77,272,119,0.7,685,8262,,,,,,0.146,,,0.2,1.3,0.6,0.351,7329,0.078,0.042,0.029,2.2,0.4,5.7,9.1,6.8,310,0.057,0.073,230,4.7,-0.016,0.6,0.8,0.042,0.9,,,,,,,,,5.0,,0.464,0.017,
9,C47,3,2020,15.3,1.0,10.4,,0.063,0.008,51,254,91,3.0,507,8126,,,,,,0.143,,,0.2,1.3,0.5,0.159,5006,0.118,0.097,0.008,2.3,0.4,8.6,9.4,7.0,301,0.102,0.157,214,7.2,-0.014,0.7,0.8,0.097,0.1,,,,,,,,,5.1,,0.397,-0.035,
