,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,C92,1,2022,14.5,0.2,17.6,,0.016,0.003,88,389,173,1.0,179,11622,,,,,,0.188,,,0.2,1.2,0.6,-0.076,863.0,0.17,0.097,0.01,1.3,0.2,19.8,,5.3,40,0.246,0.923,305,4.2,0.122,0.5,1.0,0.097,0.1,,,,,,,,,4.3,,0.07,0.002,
1,C92,4,2021,43.7,0.7,18.2,,0.017,0.003,90,336,176,0.6,194,11596,,,,,,0.191,,,0.2,1.2,0.7,-0.328,807.0,0.042,0.022,0.004,1.4,0.3,21.1,,5.2,46,0.725,3.226,250,4.1,0.118,0.5,1.0,0.022,0.2,,,,,,,,,4.2,,-0.249,0.005,
2,C92,3,2021,20.4,0.5,23.3,,0.025,0.005,95,395,143,0.8,289,11541,,,,,,0.208,,,0.3,1.2,0.5,-0.066,1074.0,0.06,0.019,0.004,1.4,0.3,17.8,,4.8,47,0.002,0.003,347,3.9,0.0,0.5,1.0,0.019,0.2,,,,,,,,,3.8,,-0.285,0.002,
3,C92,2,2021,14.9,0.4,16.3,,0.027,0.005,84,373,113,0.5,309,11518,,,,,,0.201,,,0.3,1.2,0.5,-0.053,1502.0,0.047,0.018,0.007,1.5,0.3,13.5,,5.0,45,0.001,0.002,344,4.3,0.089,0.6,1.0,0.018,0.4,,,,,,,,,4.0,,-0.221,0.007,
4,C92,1,2021,18.3,0.5,12.1,,0.029,0.005,79,413,108,0.9,327,11442,,,,,,0.176,,,0.2,1.2,0.5,0.11,1928.0,0.1,0.055,0.011,1.7,0.3,11.4,,5.7,44,0.003,0.008,384,4.6,0.0,0.5,1.0,0.055,0.2,,,,,,,,,4.7,,-0.057,0.004,
5,C92,4,2020,12.2,0.3,12.4,,0.026,0.004,75,374,107,1.1,294,11402,,,,,,0.172,,,0.2,1.1,0.5,-0.312,2045.0,0.07,0.051,0.014,1.6,0.3,10.1,,5.8,43,0.175,0.332,341,4.9,0.0,0.6,1.0,0.051,0.3,,,,,,,,,4.8,,-0.133,0.013,
6,C92,3,2020,9.1,0.3,9.9,,0.039,0.007,67,358,97,1.1,428,11252,,,,,,0.171,,,0.2,1.1,0.5,9.562,2360.0,0.106,0.064,0.005,1.9,0.3,9.9,,5.8,41,0.208,0.572,328,5.5,-0.002,0.6,1.0,0.064,0.1,,,,,,,,,4.8,,0.212,0.004,
7,C92,2,2020,88.7,0.3,13.8,,0.004,0.001,83,419,110,1.1,40,11208,,,,,,0.178,,,0.2,1.1,0.5,-1.043,1947.0,0.085,0.053,0.008,2.1,0.4,11.5,,5.6,39,0.043,0.13,392,4.4,-0.002,0.5,1.0,0.053,0.1,,,,,,,,,4.6,,1.04,0.008,
8,C92,1,2020,-9.8,0.8,29.6,,-0.081,-0.016,126,586,136,1.1,-935,11115,,,,,,0.174,,,0.2,1.1,0.5,-0.001,954.0,0.101,0.061,0.001,2.2,0.4,22.6,,5.7,37,0.008,0.025,576,2.9,-0.019,0.4,1.0,0.061,0.0,,,,,,,,,4.7,,-0.099,-0.002,
9,C92,4,2019,-9.5,0.8,32.2,,-0.081,-0.015,400,747,169,1.4,-936,11135,,,,,,0.172,,,0.2,1.1,0.5,-0.286,1058.0,0.111,0.065,0.021,2.1,0.4,19.7,123.5,5.8,37,0.303,0.367,978,0.9,-0.019,0.3,1.0,0.065,0.3,,,,,,,,,4.8,,1.486,0.022,
10,C92,3,2019,-6.8,0.8,80.0,,-0.114,-0.022,578,1036,196,-0.2,-1312,10892,,,,,,0.168,,,0.2,1.1,0.5,0.425,426.0,0.027,-0.067,-0.399,2.3,0.4,48.8,65.2,5.9,34,0.006,0.007,1418,0.6,-0.016,0.2,1.0,-0.067,5.9,,,,,,,,,4.9,,-0.385,-0.031,
11,C92,2,2019,-8.9,0.7,43.3,,-0.079,-0.015,356,564,151,-0.7,-921,11236,,,,,,0.188,,,0.2,1.1,0.5,-14.04,692.0,-0.172,-0.245,-0.593,1.9,0.4,27.3,34.1,5.3,37,0.004,0.005,769,1.0,-0.015,0.3,1.0,-0.245,2.4,,,,,,,,,4.3,,-0.59,-0.073,
12,C92,1,2019,116.1,0.7,14.8,,0.006,0.001,241,360,145,1.0,70,12119,,,,,,0.22,,,0.3,1.2,0.5,-0.008,1690.0,0.795,0.551,0.014,1.5,0.3,10.9,22.9,4.5,40,0.141,0.209,456,1.5,-0.043,0.5,1.2,0.551,0.0,,,,,,,,,3.5,,0.151,0.001,
13,C92,4,2018,84.3,0.5,15.5,,0.006,0.001,272,337,145,0.5,71,12111,,,,,,0.213,,,0.3,1.1,0.6,0.087,1469.0,0.075,0.03,-0.011,1.5,0.3,12.5,16.1,4.7,34,0.251,0.371,465,1.3,-0.1,0.5,1.0,0.03,-0.4,,,,,,,,,3.7,,0.501,-0.008,
14,C92,3,2018,80.9,0.4,22.0,,0.005,0.001,221,293,153,1.3,65,12204,,,,,,0.218,,,0.3,1.2,0.6,-0.455,979.0,0.092,0.046,0.006,1.4,0.3,18.0,12.9,4.6,34,0.166,0.29,361,1.7,-0.095,0.6,1.3,0.046,0.2,,,,,,,,,3.6,,-0.077,0.004,
15,C92,2,2018,91.5,0.9,27.8,,0.01,0.002,213,266,148,1.2,120,12156,,,,,,0.204,,,0.3,1.1,0.6,-0.008,1060.0,0.082,0.06,0.01,1.4,0.3,17.1,15.3,4.9,30,0.364,0.713,331,1.7,-0.092,0.6,1.2,0.06,0.2,,,,,,,,,3.9,,0.063,0.008,
