,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CAG,4,2022,17.6,0.7,16.6,,0.042,0.04,341,22,5,,454,10847,,,,,,0.951,,,19.2,12.4,11.8,-0.304,435,0.146,,,0.0,0.0,0.0,,1.1,72,0.064,0.086,358,1.1,-0.047,0.5,,,-0.4,,,,,,,,,0.1,,-0.327,0.0,
1,CAG,3,2022,15.0,0.9,11.2,,0.061,0.058,333,18,5,,653,10848,,,,,,0.95,,,18.9,13.0,12.5,-0.123,647,0.192,0.023,0.054,0.0,0.0,0.0,,1.1,74,0.071,0.097,346,1.1,-0.005,0.5,0.8,0.023,2.9,,,,,,,,,0.1,,-0.159,0.006,
2,CAG,2,2022,14.9,1.0,10.9,,0.07,0.066,313,22,9,,745,10786,,,,,,0.94,,,15.7,10.1,9.7,0.306,769,0.28,0.152,0.124,0.0,0.0,0.0,,1.1,71,0.045,0.055,326,1.2,-0.609,0.5,0.8,0.152,1.1,,,,,,,,,0.1,,0.515,-0.014,
3,CAG,1,2022,37.5,2.0,22.4,,0.053,0.051,385,23,4,,571,10941,,,,,,0.96,,,23.9,16.8,16.0,0.485,507,0.28,0.137,0.132,0.0,0.0,0.0,,1.0,72,0.039,0.036,404,0.9,-0.005,0.4,0.8,0.137,1.2,,,,,,,,,0.0,,0.307,0.017,
4,CAG,4,2021,58.5,2.1,42.1,,0.036,0.034,437,23,2,,384,10757,,,,,,0.955,,,21.0,13.6,13.1,0.669,388,0.298,0.14,0.163,0.0,0.0,0.0,,1.0,68,0.117,0.074,458,0.8,-0.005,0.3,0.9,0.14,1.3,,,,,,,,,0.0,,0.802,0.019,
5,CAG,3,2021,116.5,2.5,86.5,,0.022,0.021,441,21,5,,230,10560,,,,,,0.95,,,19.2,11.7,11.4,0.537,215,0.273,0.121,0.125,0.0,0.0,0.0,,1.1,64,0.063,0.034,457,0.8,-0.051,0.3,0.8,0.121,1.3,,,,,,,,,0.1,,-0.178,0.015,
6,CAG,2,2021,110.2,1.6,87.7,,0.014,0.014,435,24,4,,149,10406,,,,,,0.945,,,17.3,10.0,9.6,-0.473,262,0.234,,0.047,0.0,0.0,0.0,,1.1,60,0.089,0.039,455,0.8,-0.051,0.3,0.8,,-19.8,,,,,,,,,0.1,,-0.4,-0.026,
7,CAG,1,2021,57.8,1.5,35.6,,0.027,0.026,411,22,4,,284,10686,,,,,,0.97,,,32.4,22.3,21.5,-0.144,437,0.17,,,0.0,0.0,0.0,,1.0,62,0.062,0.041,428,0.9,-0.05,0.3,,,0.0,,,,,,,,,0.0,,-0.182,0.0,
8,CAG,4,2020,250.0,7.8,30.5,,0.031,0.03,361,19,3,,332,10689,,,,,,0.961,,,24.5,12.5,12.1,0.273,534,0.233,,0.046,0.0,0.0,0.0,,1.0,60,0.07,0.044,377,1.0,-0.048,0.4,1.7,,-7.8,,,,,,,,,0.0,,-0.121,0.004,
9,CAG,3,2020,318.3,7.8,67.2,,0.025,0.024,337,19,6,,261,10645,,,,,,0.959,,,23.5,11.1,10.7,0.074,607,0.233,0.038,0.072,0.0,0.0,0.0,,1.0,56,0.047,0.012,350,1.1,-0.012,0.4,0.8,0.038,2.4,,,,,,,,,0.0,,0.001,0.007,
10,CAG,2,2020,341.1,7.8,140.1,,0.023,0.022,301,17,8,,243,10572,,,,,,0.945,,,17.0,7.5,7.3,-0.138,606,0.286,0.148,0.146,0.0,0.0,0.0,,1.1,52,0.093,0.011,311,1.2,-0.002,0.4,0.8,0.148,1.2,,,,,,,,,0.1,,-0.106,-0.011,
11,CAG,1,2020,294.0,7.8,125.3,,0.026,0.026,291,15,10,,282,10686,,,,,,0.968,,,30.6,14.8,14.2,-0.057,678,0.198,0.017,0.045,0.0,0.0,0.0,,1.0,56,0.086,0.011,296,1.3,-0.025,0.4,0.8,0.017,3.5,,,,,,,,,0.0,,-0.044,0.004,
12,CAG,4,2019,282.1,7.9,117.0,,0.028,0.027,71,16,7,34.8,299,10641,,,,,,0.962,,,25.4,11.6,11.1,-0.127,709,0.126,-0.074,-0.026,0.0,0.0,0.0,,1.0,53,0.285,0.035,80,5.2,-0.024,0.5,1.2,-0.074,0.4,,,,,,,,,0.0,,0.114,-0.003,
