,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CAP,4,2022,5.4,2.9,3.2,,0.708,0.485,61,78,13.0,,13913,25922,,,,,,0.787,,,3.7,3.9,1.9,0.029,20819.0,0.243,0.146,0.127,0.0,0.0,0.0,,1.3,161,0.406,0.141,126.0,6.0,-0.109,2.9,0.8,0.146,1.0,,,,,,,,,0.3,,0.01,0.048,
1,CAP,3,2022,6.2,3.4,4.0,,0.677,0.551,60,12,4.0,71173.1,13518,24725,,,,,,0.833,,,5.0,4.9,4.4,0.242,20607.0,0.286,0.206,0.182,0.0,0.0,0.0,,1.2,150,0.791,0.275,69.0,6.0,-0.071,3.4,0.9,0.206,1.0,,,,,,,,,0.2,,0.197,0.26,
2,CAP,2,2022,6.6,3.7,5.6,,0.694,0.394,44,99,7.0,47.9,10887,19630,,,,,,0.715,,,2.5,2.8,0.8,0.211,17220.0,0.271,0.193,0.165,0.1,0.0,0.3,,1.4,108,0.187,0.045,137.0,8.2,-0.139,2.8,0.9,0.193,1.0,,,,,,,,,0.4,,-0.1,0.226,
3,CAP,1,2022,6.7,3.7,7.3,,0.648,0.28,39,139,11.0,52.5,8993,16011,,,,,,0.439,,,0.8,1.5,0.3,0.111,19143.0,0.353,0.252,0.21,0.5,0.2,0.6,,2.3,79,0.204,0.037,168.0,9.2,-0.497,2.2,0.8,0.252,1.0,,,,,,,,,1.3,,0.107,0.197,
4,CAP,4,2021,6.9,4.1,,,0.693,0.335,27,59,12.0,11435.8,8098,13375,,,,,,0.546,,,1.2,1.6,0.6,0.011,17296.0,0.203,0.131,0.102,0.0,0.0,0.2,,1.8,55,0.408,,74.0,13.5,-0.544,3.0,0.8,0.131,1.0,,,,,,,,,0.8,,0.045,-0.121,
5,CAP,3,2021,6.2,3.2,4.4,,0.613,0.468,37,11,3.0,128.0,8011,15212,,,,,,0.782,,,3.6,3.0,2.6,0.225,16552.0,0.158,0.13,0.109,0.0,0.0,0.0,,1.3,67,0.661,0.172,44.0,9.8,-0.994,4.2,0.8,0.13,1.0,,,,,,,,,0.3,,0.206,0.297,
6,CAP,2,2021,5.7,3.2,6.5,,0.604,0.302,37,89,5.0,27.2,6542,11729,,,,,,0.421,,,0.7,1.3,0.3,0.081,13722.0,0.23,0.135,0.12,0.7,0.3,0.4,,2.4,42,0.209,0.045,122.0,9.8,-1.426,2.7,0.9,0.135,1.0,,,,,,,,,1.4,,0.118,0.0,
7,CAP,1,2021,6.3,3.3,6.0,,0.593,0.261,34,112,8.0,27.2,6049,11729,,,,,,0.421,,,0.7,1.3,0.3,0.2,12268.0,0.23,0.135,0.119,0.7,0.3,0.6,,2.4,42,0.209,0.056,138.0,10.6,-0.94,2.5,0.9,0.135,1.0,,,,,,,,,1.4,,0.179,0.174,
8,CAP,4,2020,4.6,2.3,9.4,,0.562,0.25,28,53,15.0,242.2,5040,9988,,,,,,0.417,,,0.7,1.3,0.7,0.314,10405.0,0.18,0.122,0.107,0.5,0.2,0.4,,2.4,29,0.828,0.11,67.0,12.9,-0.928,2.7,0.9,0.122,1.0,,,,,,,,,1.4,,0.276,-0.087,
9,CAP,3,2020,5.1,1.8,4.6,,0.372,0.275,47,17,5.0,2139.2,3834,10934,,,,,,0.739,,,2.8,2.5,2.1,-0.166,8152.0,0.202,0.115,0.093,0.0,0.0,0.0,,1.4,46,0.461,0.168,59.0,7.8,-0.98,3.4,0.8,0.115,1.0,,,,,,,,,0.4,,-0.222,0.1,
10,CAP,2,2020,3.8,1.8,,,0.515,0.25,36,78,6.0,328.6,4595,9940,,,,,,0.642,,,1.8,2.2,1.2,0.197,10475.0,0.189,0.118,0.101,0.0,0.0,0.5,,1.6,53,0.268,,109.0,10.1,-0.266,3.2,0.9,0.118,1.0,,,,,,,,,0.6,,0.106,0.144,
11,CAP,1,2020,4.0,1.8,3.7,,0.405,0.185,39,108,16.0,,3839,8690,,,,,,0.47,,,0.9,1.5,0.5,-0.284,9469.0,0.18,0.076,0.066,0.2,0.1,0.8,,2.1,42,0.203,0.082,132.0,9.3,-0.244,2.8,0.9,0.076,1.0,,,,,,,,,1.1,,0.021,-0.272,
12,CAP,4,2019,4.7,2.1,3.9,,0.403,0.227,11,51,12.0,,5362,11939,,,,,,0.486,,,0.9,1.5,0.9,0.268,9274.0,0.159,0.071,0.063,0.1,0.0,0.2,,2.1,36,0.597,0.212,50.0,32.8,-0.339,3.8,1.2,0.071,1.1,,,,,,,,,1.1,,0.145,-0.177,
13,CAP,3,2019,5.7,1.7,2.7,,0.292,0.223,6,16,4.0,71.3,4229,14510,,,,,,0.741,,,2.9,2.9,2.2,1.206,8100.0,0.155,0.113,0.083,0.0,0.0,0.0,,1.3,50,0.665,0.312,19.0,57.3,-0.343,4.5,1.2,0.113,0.9,,,,,,,,,0.3,,0.628,0.222,
14,CAP,2,2019,14.7,2.4,8.3,,0.138,0.07,11,91,4.0,4.6,1917,11877,,,,,,0.372,,,0.6,1.4,0.2,-0.638,4976.0,0.161,0.068,0.043,0.8,0.3,1.1,,2.7,38,0.133,0.054,98.0,32.5,-0.233,2.4,1.2,0.068,0.8,,,,,,,,,1.7,,-0.444,-0.228,
15,CAP,1,2019,5.6,1.9,5.3,,0.353,0.178,7,127,11.0,11.9,5289,15394,,,,,,0.445,,,0.8,1.5,0.1,-0.194,8944.0,0.121,0.048,0.034,0.7,0.3,0.9,,2.2,55,0.043,0.02,123.0,50.2,-0.288,2.5,1.3,0.048,0.9,,,,,,,,,1.2,,-0.148,0.051,
16,CAP,4,2018,4.1,1.8,3.1,,0.489,0.289,7,81,13.0,19.7,6563,14643,,,,,,0.648,,,1.8,2.3,0.6,0.089,10502.0,0.128,0.012,0.011,0.2,0.1,0.3,,1.5,53,0.162,0.064,75.0,49.0,-0.216,3.3,1.5,0.012,1.3,,,,,,,,,0.5,,-0.078,0.011,
17,CAP,3,2018,4.9,2.0,2.7,,0.446,0.342,8,18,3.0,,6026,14487,,,,,,0.79,,,3.8,3.6,2.7,-0.123,11396.0,0.125,0.025,0.024,0.0,0.0,0.0,,1.3,51,0.525,0.214,23.0,44.4,-0.541,4.1,1.4,0.025,1.3,,,,,,,,,0.3,,-0.085,-0.094,
18,CAP,2,2018,3.2,1.4,2.6,,0.502,0.322,8,40,4.0,129.7,6869,15982,,,,,,0.7,,,2.3,2.6,1.7,1.174,12453.0,0.23,0.18,0.156,0.0,0.0,0.0,,1.4,57,0.589,0.328,44.0,44.7,-0.507,3.3,1.1,0.18,1.0,,,,,,,,,0.4,,0.541,0.099,
19,CAP,1,2018,6.4,1.4,5.9,,0.219,0.141,8,101,6.0,17.9,3159,14549,,,,,,0.583,,,1.4,1.9,0.2,0.312,8079.0,0.186,0.124,0.101,0.3,0.2,0.3,,1.7,48,0.03,0.011,102.0,46.4,-0.442,2.6,1.2,0.124,0.9,,,,,,,,,0.7,,0.223,0.195,
20,CAP,4,2017,8.8,1.7,5.9,,0.189,0.112,8,91,14.0,146.4,2407,12179,,,,,,0.535,,,1.1,1.6,0.3,-0.508,6608.0,0.188,0.083,-0.03,0.3,0.2,0.4,,1.9,36,0.173,0.066,86.0,45.0,-0.365,2.4,-2.2,0.083,0.8,,,,,,,,,0.9,,-0.197,-0.03,
