,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CAV,4,2022,8.0,1.7,5.5,,0.212,0.068,23,116,40,6.7,6683,31860,,,,,,0.389,,,0.6,1.3,0.3,-0.031,16657,0.116,0.084,0.043,1.0,0.4,2.4,7.3,2.6,721,0.037,0.022,99,15.9,-0.088,2.0,0.9,0.084,0.6,,,,,,,,,1.6,,0.05,0.003,
1,CAV,3,2022,7.6,1.6,5.9,,0.223,0.064,22,125,35,5.0,6898,31772,,,,,,0.348,,,0.5,1.2,0.3,-0.008,15858,0.088,0.059,0.013,1.3,0.4,3.1,7.8,2.9,720,0.038,0.022,111,16.9,-0.052,1.9,0.6,0.059,0.4,,,,,,,,,1.9,,0.085,0.019,
2,CAV,2,2022,7.7,1.7,6.7,,0.23,0.064,23,127,33,9.3,6954,31171,,,,,,0.29,,,0.4,1.2,0.3,0.068,14613,0.11,0.075,0.042,1.5,0.4,3.4,8.8,3.4,699,0.039,0.023,117,16.2,-0.078,1.7,0.8,0.075,0.7,,,,,,,,,2.4,,0.065,-0.054,
3,CAV,1,2022,8.2,1.6,7.1,,0.212,0.058,24,120,47,6.7,6514,32942,,,,,,0.312,,,0.5,1.2,0.3,0.115,13719,0.094,0.062,0.035,1.3,0.4,3.5,7.0,3.2,814,0.062,0.037,97,15.2,-0.102,1.7,0.8,0.062,0.7,,,,,,,,,2.2,,0.099,0.053,
4,CAV,4,2021,9.2,1.7,9.6,,0.189,0.054,24,109,49,8.0,5840,31293,,,,,,0.271,,,0.4,1.2,0.3,0.079,12488,0.106,0.074,0.042,1.5,0.4,3.1,7.3,3.7,705,0.036,0.018,84,15.0,-0.092,1.7,0.8,0.074,0.7,,,,,,,,,2.7,,0.017,0.043,
5,CAV,3,2021,10.3,1.9,9.4,,0.181,0.05,20,100,31,2.9,5415,29990,,,,,,0.242,,,0.3,1.1,0.3,-0.146,12279,0.084,0.046,0.021,1.9,0.5,3.9,8.3,4.1,657,0.028,0.014,89,17.8,-0.145,1.9,0.8,0.046,0.6,,,,,,,,,3.1,,-0.09,0.022,
6,CAV,2,2021,8.4,1.8,8.6,,0.221,0.065,17,73,20,6.9,6340,29334,,,,,,0.271,,,0.4,1.2,0.4,-0.008,13495,0.101,0.061,0.036,1.8,0.5,3.4,7.3,3.7,641,0.034,0.017,69,21.9,-0.149,2.3,0.8,0.061,0.7,,,,,,,,,2.7,,0.013,0.027,
7,CAV,1,2021,9.1,2.0,8.0,,0.221,0.062,19,73,31,5.2,6392,28565,,,,,,0.238,,,0.3,1.1,0.5,-0.066,13324,0.072,0.041,0.023,1.9,0.4,3.6,7.0,4.2,601,0.068,0.035,61,19.1,-0.218,2.1,0.8,0.041,0.7,,,,,,,,,3.2,,-0.04,-0.066,
8,CAV,4,2020,8.9,2.0,7.1,,0.234,0.08,22,50,36,9.1,6844,30589,,,,,,0.307,,,0.4,1.2,0.7,0.02,13882,0.063,0.04,0.024,1.0,0.3,2.1,3.3,3.3,688,0.054,0.026,36,16.9,-0.239,2.4,0.8,0.04,0.7,,,,,,,,,2.3,,0.023,0.03,
9,CAV,3,2020,9.3,2.1,7.6,,0.24,0.083,22,56,25,5.7,6712,29712,,,,,,0.318,,,0.5,1.2,0.7,-0.136,13567,0.084,0.052,0.031,1.3,0.4,2.4,4.2,3.1,666,0.077,0.034,52,16.4,-0.396,2.1,0.8,0.052,0.8,,,,,,,,,2.1,,-0.071,0.056,
10,CAV,2,2020,7.4,2.0,7.4,,0.287,0.102,24,62,28,5.7,7772,28130,,,,,,0.324,,,0.5,1.2,0.7,-0.046,14598,0.115,0.076,0.048,1.4,0.4,2.1,4.6,3.1,541,0.035,0.014,58,15.5,-0.614,2.1,0.8,0.076,0.8,,,,,,,,,2.1,,0.0,-0.038,
