,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CCL,4,2022,4.9,0.4,7.4,,0.092,0.043,407,264,80,2.4,1053,11980,,,,,,0.468,,,0.9,2.1,1.6,-0.182,1820,0.119,0.092,0.055,0.7,0.3,4.0,1.1,2.1,575,0.013,0.03,591,0.9,-0.608,0.4,0.9,0.092,0.7,,,,,,,,,1.1,,-0.156,0.015,
1,CCL,3,2022,6.1,0.7,6.2,,0.11,0.053,403,242,68,3.2,1288,11805,,,,,,0.464,,,0.9,2.3,1.8,0.225,2158,0.341,0.239,0.151,0.6,0.3,3.3,1.0,2.2,687,0.012,0.029,577,0.9,-0.013,0.4,0.8,0.239,0.8,,,,,,,,,1.1,,0.108,0.029,
2,CCL,2,2022,8.5,0.8,7.4,,0.092,0.045,360,205,63,5.6,1051,11469,,,,,,0.491,,,1.0,2.4,1.8,-0.034,1948,0.34,0.26,0.171,0.6,0.3,3.7,1.3,2.0,657,0.023,0.043,502,1.0,-0.008,0.5,0.8,0.26,0.8,,,,,,,,,1.0,,-0.014,0.036,
3,CCL,1,2022,12.9,1.3,8.4,,0.099,0.048,247,159,38,1.2,1088,11071,,,,,,0.489,,,1.0,2.1,1.6,-0.257,1975,0.193,0.109,0.033,0.5,0.2,3.2,2.4,2.0,571,0.013,0.015,368,1.5,-0.216,0.7,0.7,0.109,0.4,,,,,,,,,1.0,,-0.216,0.003,
4,CCL,4,2021,10.6,1.4,7.2,,0.136,0.066,191,125,35,4.7,1466,11033,,,,,,0.471,,,0.9,2.1,1.5,-0.09,2519,0.166,0.139,0.093,0.5,0.2,2.5,2.2,2.1,576,0.023,0.024,281,1.9,-0.194,0.8,0.8,0.139,0.9,,,,,,,,,1.1,,-0.074,-0.045,
5,CCL,3,2021,7.3,1.0,7.7,,0.144,0.072,175,122,27,2.2,1612,11548,,,,,,0.5,,,1.0,2.2,1.6,-0.029,2720,0.121,0.085,0.041,0.5,0.3,2.4,2.2,2.0,589,0.038,0.033,271,2.1,-0.193,0.8,0.8,0.085,0.6,,,,,,,,,1.0,,0.001,0.011,
6,CCL,2,2021,6.7,1.0,8.6,,0.15,0.076,165,116,31,5.7,1660,11422,,,,,,0.492,,,1.0,2.1,1.6,0.218,2717,0.226,0.125,0.086,0.5,0.3,2.2,1.9,2.0,581,0.035,0.027,250,2.2,-0.677,0.9,0.8,0.125,0.9,,,,,,,,,1.0,,0.199,0.04,
7,CCL,1,2021,8.8,1.1,8.1,,0.127,0.064,165,121,23,5.1,1363,10980,,,,,,0.483,,,0.9,2.0,1.4,0.033,2265,0.214,0.132,0.089,0.5,0.3,2.7,1.9,2.1,498,0.023,0.024,262,2.2,-0.567,0.8,0.8,0.132,0.8,,,,,,,,,1.1,,0.038,0.035,
8,CCL,4,2020,6.2,0.8,9.1,,0.127,0.068,145,108,20,5.9,1319,10607,,,,,,0.5,,,1.0,2.0,1.4,0.548,2183,0.217,0.158,0.11,0.5,0.3,2.4,2.3,2.0,445,0.033,0.029,234,2.5,-0.559,0.9,0.8,0.158,0.9,,,,,,,,,1.0,,0.478,-0.02,
9,CCL,3,2020,7.5,0.6,11.1,,0.081,0.045,138,111,16,3.8,852,10819,,,,,,0.499,,,1.0,1.8,1.3,-0.041,1477,0.082,0.07,0.046,0.5,0.3,3.4,2.0,2.0,377,0.023,0.028,233,2.7,-0.369,0.8,0.8,0.07,0.8,,,,,,,,,1.0,,-0.041,0.016,
