,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CCT,4,2022,383.9,1.4,24.3,,0.004,0.003,157,3,12,2.4,35,9327,,,,,,0.752,,,3.0,4.0,4.0,-0.267,604,0.192,0.038,0.022,0.2,0.1,3.1,0.2,1.3,60,0.072,0.05,148,2.3,-0.011,0.4,0.7,0.038,0.8,,,,,,,,,0.3,,-0.001,0.003,
1,CCT,3,2022,204.2,1.1,21.5,,0.005,0.004,157,4,10,3.1,47,9299,,,,,,0.731,,,2.7,2.8,2.8,8.766,604,0.249,0.05,0.038,0.2,0.1,3.2,0.3,1.4,55,0.114,0.089,151,2.3,-0.034,0.3,1.0,0.05,0.8,,,,,,,,,0.4,,0.079,0.005,
2,CCT,2,2022,2645.4,1.4,22.4,,0.001,0.0,159,4,15,-2.2,4,9252,,,,,,0.728,,,2.7,2.6,2.5,-0.93,560,0.169,,,0.2,0.1,3.4,0.4,1.4,49,0.087,0.073,148,2.3,-0.033,0.3,,,0.8,,,,,,,,,0.4,,-0.141,-0.004,
3,CCT,1,2022,247.9,1.9,22.2,,0.008,0.006,170,5,11,0.7,70,9292,,,,,,0.733,,,2.7,3.7,3.6,-0.239,652,0.233,0.018,0.0,0.2,0.1,3.3,0.1,1.4,56,0.098,0.07,165,2.1,-0.04,0.3,0.6,0.018,0.0,,,,,,,,,0.4,,-0.054,0.0,
4,CCT,4,2021,106.8,1.1,26.7,,0.01,0.007,157,4,10,2.0,92,9291,,,,,,0.725,,,2.6,3.0,2.9,0.507,689,0.271,0.043,0.037,0.2,0.2,3.2,0.2,1.4,52,0.105,0.059,152,2.3,-0.037,0.3,1.0,0.043,0.9,,,,,,,,,0.4,,0.052,0.004,
5,CCT,3,2021,162.6,1.1,30.3,,0.007,0.005,156,4,9,0.8,61,9251,,,,,,0.705,,,2.4,2.4,2.4,-0.095,655,0.242,0.024,0.005,0.2,0.2,3.5,0.2,1.4,52,0.106,0.054,152,2.3,-0.013,0.3,1.0,0.024,0.2,,,,,,,,,0.4,,-0.01,0.0,
6,CCT,2,2021,147.1,1.1,18.9,,0.007,0.005,140,3,10,1.7,67,9247,,,,,,0.709,,,2.4,2.4,2.4,0.15,662,0.241,0.031,0.019,0.2,0.1,3.4,0.1,1.4,49,0.086,0.073,133,2.6,-0.014,0.3,1.0,0.031,0.6,,,,,,,,,0.4,,-0.023,0.003,
7,CCT,1,2021,169.1,1.1,17.7,,0.006,0.005,171,4,8,1.7,59,9221,,,,,,0.719,,,2.6,3.5,3.5,0.244,677,0.238,0.043,0.023,0.2,0.2,3.7,0.1,1.4,54,0.071,0.066,167,2.1,-0.008,0.3,1.0,0.043,0.5,,,,,,,,,0.4,,0.007,0.002,
8,CCT,4,2020,210.5,1.1,18.1,,0.005,0.004,183,5,4,0.1,47,9199,,,,,,0.723,,,2.6,4.6,4.5,-0.63,673,0.257,0.002,0.009,0.3,0.2,1.8,0.1,1.4,53,0.048,0.044,183,2.0,-0.025,0.3,1.0,0.002,3.6,,,,,,,,,0.4,,0.839,0.001,
9,CCT,3,2020,77.9,1.1,33.3,,0.014,0.01,135,4,9,0.5,128,9190,,,,,,0.705,,,2.4,3.0,3.0,0.041,366,0.223,0.014,0.011,0.3,0.2,3.4,0.1,1.4,50,0.067,0.062,130,2.7,-0.022,0.3,1.0,0.014,0.8,,,,,,,,,0.4,,0.016,0.001,
10,CCT,2,2020,77.1,1.0,34.0,,0.013,0.009,113,3,10,1.5,123,9179,,,,,,0.699,,,2.3,2.6,2.6,0.025,360,0.251,0.042,0.017,0.3,0.2,6.4,0.2,1.4,45,0.071,0.066,105,3.2,-0.019,0.3,1.0,0.042,0.4,,,,,,,,,0.4,,0.095,0.002,
11,CCT,1,2020,79.0,1.0,36.6,,0.013,0.009,114,3,8,1.2,120,9162,,,,,,0.7,,,2.3,4.1,4.1,-0.04,329,0.219,0.036,0.011,0.3,0.2,7.2,0.0,1.4,52,0.048,0.046,109,3.2,-0.017,0.3,1.0,0.036,0.3,,,,,,,,,0.4,,0.059,-0.024,
12,CCT,4,2019,79.9,1.1,,,0.013,0.009,90,4,11,,125,9383,,,,,,0.709,,,2.4,5.6,5.6,0.419,310,0.129,-0.285,0.086,0.0,0.0,3.3,,1.4,60,0.058,,83,4.1,0.0,0.3,1.0,-0.285,-0.3,,,,,,,,,0.4,,-0.431,0.01,
13,CCT,3,2019,113.3,1.1,18.3,,0.01,0.007,92,5,17,,88,9293,,,,,,0.689,,,2.2,1.8,1.8,-0.077,545,0.191,0.007,0.006,0.0,0.0,1.9,,1.5,34,0.042,0.039,80,4.0,-0.013,0.3,1.0,0.007,0.9,,,,,,,,,0.5,,0.013,0.001,
14,CCT,2,2019,104.6,1.1,22.4,,0.01,0.007,90,3,10,,95,9288,,,,,,0.69,,,2.2,1.5,1.5,0.158,538,0.21,0.011,0.012,0.2,0.1,3.8,0.1,1.4,25,0.034,0.032,83,4.1,-0.039,0.3,1.0,0.011,1.1,,,,,,,,,0.4,,-0.026,0.002,
15,CCT,1,2019,121.2,1.1,21.9,,0.009,0.006,91,4,10,,82,9274,,,,,,0.688,,,2.2,1.4,1.4,21.475,553,0.206,0.012,0.017,0.2,0.1,3.7,0.1,1.5,20,0.034,0.031,85,4.0,-0.056,0.3,1.0,0.012,1.4,,,,,,,,,0.5,,0.019,0.002,
