,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CEO,4,2022,18.9,1.6,11.0,,0.089,0.039,115,231,44,10.7,1081,12686,,,,,,0.462,,,1.1,1.5,0.9,-0.107,2501,0.36,0.203,0.126,0.3,0.2,2.3,1.8,2.2,1235,0.11,0.078,303,3.2,-0.077,0.4,0.7,0.203,0.9,,,,,,,,,0.9,,0.109,0.062,
1,CEO,3,2022,17.9,1.8,13.2,,0.106,0.042,103,373,54,2.6,1210,11950,,,,,,0.392,,,0.8,1.3,0.8,0.249,2255,0.405,0.242,0.083,0.5,0.2,3.1,1.1,2.6,802,0.09,0.054,423,3.5,-0.132,0.2,0.4,0.242,0.8,,,,,,,,,1.2,,0.227,0.009,
2,CEO,2,2022,27.1,2.2,11.5,,0.085,0.034,99,291,75,2.8,969,11845,,,,,,0.406,,,0.9,1.2,0.9,0.699,1838,0.337,0.207,0.063,0.5,0.2,3.9,1.1,2.5,625,0.073,0.073,316,3.7,-0.105,0.2,0.3,0.207,0.9,,,,,,,,,1.1,,0.478,0.005,
3,CEO,1,2022,112.2,5.4,32.8,,0.05,0.021,145,271,134,2.2,570,11792,,,,,,0.429,,,1.0,1.2,0.9,0.576,1243,0.323,0.236,0.12,0.5,0.2,5.8,0.9,2.3,415,0.061,0.026,283,2.5,-0.123,0.1,0.7,0.236,0.7,,,,,,,,,1.0,,0.347,0.011,
4,CEO,4,2021,195.9,6.1,54.6,,0.032,0.013,157,296,166,0.9,361,11660,,,,,,0.426,,,1.0,1.2,0.9,-1.597,923,0.234,0.079,0.448,0.5,0.2,7.8,0.9,2.3,372,0.087,0.029,286,2.3,-0.127,0.1,0.8,0.079,7.4,,,,,,,,,1.0,,3.533,0.079,
5,CEO,3,2021,-17.0,1.0,343.7,,-0.055,-0.021,135,303,157,-0.8,-606,10801,,,,,,0.396,,,0.9,1.0,0.7,0.474,204,0.11,,,0.6,0.3,40.5,0.6,2.5,72,0.018,0.004,281,2.7,-0.089,0.1,,,1.8,,,,,,,,,1.2,,-0.611,-0.012,
6,CEO,2,2021,-24.1,0.9,40.0,,-0.037,-0.014,125,286,173,-2.4,-411,10937,,,,,,0.398,,,0.9,1.0,0.7,0.132,523,,,,0.6,0.3,16.8,0.6,2.5,101,0.026,0.028,238,2.9,-0.263,0.2,,,1.3,,,,,,,,,1.2,,0.145,-0.027,
7,CEO,1,2021,-33.3,1.1,38.8,,-0.032,-0.012,165,317,198,-0.5,-363,11235,,,,,,0.401,,,0.9,1.2,0.9,0.393,457,0.116,,,0.6,0.3,18.8,0.3,2.5,423,0.033,0.051,283,2.2,-0.307,0.2,,,1.5,,,,,,,,,1.1,,-0.324,-0.007,
8,CEO,4,2020,-47.9,1.1,30.6,,-0.023,-0.009,174,319,274,2.2,-260,11309,,,,,,0.391,,,0.9,1.2,0.9,-1.932,676,0.226,0.079,,0.6,0.3,12.3,0.4,2.6,403,0.066,0.088,218,2.1,-0.428,0.2,,0.079,0.9,,,,,,,,,1.2,,-0.569,-0.009,
9,CEO,3,2020,26.1,0.6,12.4,,0.025,0.009,206,296,242,1.5,280,11416,,,,,,0.389,,,0.9,1.3,1.0,-0.244,1566,0.44,0.177,0.06,0.6,0.3,5.3,0.5,2.6,703,0.048,0.074,260,1.8,-0.579,0.3,0.5,0.177,0.7,,,,,,,,,1.1,,-0.241,0.005,
