,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CID,1,2016,-33.9,1.9,,,-0.052,-0.016,109,165,1.0,,-268,4895,,,,,,0.278,,,0.4,0.9,0.8,-0.575,-347.0,0.473,0.085,0.085,0.0,0.0,0.0,,3.6,-1,0.332,,272.0,3.4,0.0,0.2,1.0,0.085,1.0,,,,,,,,,2.6,,-0.494,-0.012,
1,CID,4,2015,-7.1,0.9,-4.3,,-0.104,-0.036,172,189,13.0,,-632,4957,,,,,,0.285,,,0.4,0.9,0.8,-0.495,-686.0,0.461,0.03,0.075,0.0,0.0,0.0,,3.5,-1,0.275,0.267,347.0,2.1,0.0,0.2,1.0,0.03,2.5,,,,,,,,,2.5,,-0.441,-0.006,
2,CID,3,2015,-3.8,0.9,-0.5,,-0.196,-0.066,142,140,7.0,,-1251,4989,,,,,,0.273,,,0.4,0.9,0.8,-0.217,-1228.0,0.337,-0.003,0.011,0.0,0.0,0.0,,3.7,-1,0.814,0.852,275.0,2.6,0.0,0.2,1.3,-0.003,-5.5,,,,,,,,,2.7,,-0.202,0.002,
3,CID,2,2015,-2.9,0.9,-0.7,,-0.244,-0.09,169,160,79.0,,-1598,4977,,,,,,0.311,,,0.5,0.9,0.8,-0.644,-1539.0,-0.097,-0.967,-0.837,0.0,0.0,0.0,,3.2,-1,0.733,0.733,250.0,2.2,0.0,0.2,1.0,-0.967,0.9,,,,,,,,,2.2,,-0.607,-0.084,
4,CID,1,2015,-1.0,0.8,-0.1,,-0.532,-0.217,80,186,9.0,,-4495,5431,,,,,,0.344,,,0.5,1.0,0.8,-0.013,-3918.0,-0.322,-1.307,-1.172,0.0,0.0,0.0,,2.9,0,0.773,0.862,257.0,4.6,0.0,0.3,1.0,-1.307,0.9,,,,,,,,,1.9,,-0.016,-0.249,
5,CID,4,2014,,,-0.1,,-0.477,-0.203,112,186,35.0,,-4554,7232,,,,,,0.41,,,0.7,1.2,1.1,-0.259,-3983.0,0.05,-0.4,-0.358,0.0,0.0,0.0,,2.4,2,0.519,0.771,262.0,3.3,0.0,0.3,1.0,-0.4,0.9,,,,,,,,,1.4,,-0.089,-0.07,
6,CID,3,2014,,,-0.1,,-0.565,-0.247,168,215,55.0,,-6149,7777,,,,,,0.397,,,0.7,1.2,1.1,0.058,-4372.0,0.298,-0.672,-0.616,0.0,0.0,0.0,,2.5,2,0.549,0.937,328.0,2.2,0.0,0.2,1.0,-0.672,0.9,,,,,,,,,1.5,,0.068,-0.041,
7,CID,2,2014,,,-1.4,,-0.512,-0.237,162,207,169.0,,-5813,8112,,,,,,0.413,,,0.7,1.1,1.0,1.314,-4094.0,-0.615,-0.897,-0.912,0.0,0.0,0.0,,2.4,1,0.472,0.337,201.0,2.2,0.0,0.2,1.0,-0.897,1.0,,,,,,,,,1.4,,1.586,-0.292,
8,CID,1,2014,,,-5.5,,-0.192,-0.091,632,1571,15.0,,-2511,11463,,,,,,0.447,,,0.8,1.3,0.8,0.159,-1583.0,0.306,-0.703,-0.613,0.0,0.0,0.0,,2.2,4,0.392,0.292,2189.0,0.6,0.0,0.0,1.0,-0.703,0.9,,,,,,,,,1.2,,0.087,-0.033,
9,CID,4,2013,,,-3.8,,-0.161,-0.073,656,1348,27.0,,-2167,11860,,,,,,0.436,,,0.8,1.4,0.8,-6.379,-1456.0,-4.84,-11.778,-23.895,0.0,0.0,0.0,,2.3,5,0.446,0.434,1977.0,0.6,0.0,0.0,1.0,-11.778,2.1,,,,,,,,,1.3,,1.966,-0.153,
10,CID,3,2013,,,3.2,,0.028,0.012,97,242,14.0,,403,14000,,,,,,0.463,,,0.9,1.5,1.0,-0.004,-491.0,0.476,-0.058,0.003,0.0,0.0,0.0,,2.2,7,0.413,1.47,325.0,3.8,0.0,0.3,1.3,-0.058,-0.1,,,,,,,,,1.2,,-0.022,-0.04,
11,CID,2,2013,,,-0.5,,0.028,0.012,97,231,14.0,,404,14583,,,,,,0.496,,,1.0,1.5,1.0,-0.557,-502.0,-1.408,2.011,0.271,0.0,0.0,0.0,,2.0,6,0.313,0.81,314.0,3.8,0.0,0.3,0.1,2.011,0.0,,,,,,,,,1.0,,0.15,-0.006,
12,CID,1,2013,,,1.8,,0.062,0.026,82,63,578.0,,913,14677,,,,,,0.499,,,1.0,1.6,1.6,0.009,-437.0,0.354,-0.303,0.014,0.0,0.0,-0.6,,2.0,7,0.365,0.813,-433.0,4.4,0.0,0.3,1.3,-0.303,-0.1,,,,,,,,,1.0,,0.623,-0.028,
13,CID,4,2012,,,-0.4,,0.06,0.025,103,41,30.0,,905,15096,,,,,,0.47,,,0.9,1.5,1.5,-0.084,-269.0,0.052,0.009,0.052,0.0,0.0,0.0,,2.1,7,0.499,0.984,114.0,3.5,0.0,0.3,1.3,0.009,7.7,,,,,,,,,1.1,,3.01,0.027,
14,CID,3,2012,,,14.0,,0.066,0.033,323,573,85.0,,988,14703,,,,,,0.384,,,0.6,1.3,1.1,-0.001,-67.0,0.518,-0.076,0.005,0.0,0.0,0.0,,2.6,7,0.52,1.167,811.0,1.1,0.0,0.1,1.2,-0.076,-0.1,,,,,,,,,1.6,,1.931,-0.005,
15,CID,2,2012,,,-137.9,,0.066,0.031,335,541,100.0,,989,14783,,,,,,0.369,,,0.6,1.3,1.2,0.717,-23.0,0.283,-0.461,0.718,0.0,0.0,0.0,,2.7,7,0.336,0.659,776.0,1.1,0.0,0.1,1.3,-0.461,-2.1,,,,,,,,,1.7,,-1.083,-0.009,
16,CID,1,2012,,,9.8,,0.038,0.018,246,330,1077.0,,576,14911,,,,,,0.376,,,0.6,1.3,1.2,-0.164,276.0,0.264,-0.025,0.001,0.0,0.0,0.9,,2.7,6,0.297,0.592,-501.0,1.5,0.0,0.2,1.3,-0.025,-0.1,,,,,,,,,1.7,,-0.329,-0.01,
17,CID,4,2011,,,-23.2,,0.045,0.021,425,351,76.0,21.6,689,15065,,,,,,0.369,,,0.6,1.2,1.1,0.306,412.0,0.779,0.348,0.588,0.0,0.0,0.0,,2.7,5,1.249,2.442,699.0,0.9,0.0,0.1,1.2,0.348,2.0,,,,,,,,,1.7,,-0.208,-0.002,
18,CID,3,2011,,,11.4,,0.035,0.022,124,94,30.0,,527,15096,,,,,,0.679,,,2.1,2.0,1.5,-0.063,520.0,0.438,-0.005,0.008,0.0,0.0,0.0,,1.5,5,0.025,0.046,188.0,2.9,0.0,0.5,1.3,-0.005,-1.9,,,,,,,,,0.5,,-0.05,0.0,
