,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CIG,4,2022,-18.8,3.4,-227.1,,-0.149,-0.008,-278,462,1282,0.2,-185,1014,,,,,,0.043,,,0.3,0.6,0.5,-4.377,-59.0,0.097,0.051,,1.1,0.2,-97.2,1.0,23.4,-195,0.006,0.009,-1098,,0.0,0.1,,0.051,-0.3,,,,,,,,,3.7,,-7.348,-0.148,
1,CIG,3,2022,132.7,6.1,1483.6,,0.045,0.002,-277,823,1088,-17.9,54,1189,,,,,,0.052,,,0.3,0.7,0.4,-0.879,9.0,0.056,,0.074,1.1,0.3,616.9,1.0,19.4,-152,0.003,0.004,-542,,0.0,0.1,1.0,,-0.8,,,,,,,,,3.4,,-0.979,0.011,
2,CIG,2,2022,13.5,5.2,32.5,,0.448,0.02,106,1253,1637,-4.3,454,1176,,,,,,0.052,,,0.3,1.0,0.8,-0.318,438.0,,,,1.1,0.3,13.1,621.1,19.2,-26,0.002,0.003,-277,3.4,0.0,0.1,,,1.0,,,,,,,,,3.3,,-0.332,-0.162,
3,CIG,1,2022,23.9,11.4,25.8,,0.586,0.03,-383,2167,2338,30.3,666,1403,,,,,,0.061,,,0.3,0.7,0.4,0.052,656.0,0.408,0.297,0.072,1.1,0.3,8.7,1.0,16.5,-153,0.008,0.006,-554,,0.0,0.1,0.5,0.297,0.5,,,,,,,,,3.2,,0.452,-0.055,
4,CIG,4,2021,21.6,9.2,46.9,,0.505,0.029,815,4075,7552,25.4,634,1485,,,,,,0.066,,,0.3,1.2,0.9,-2.385,452.0,0.277,0.213,0.33,1.0,0.3,12.6,1.0,15.2,68,0.016,0.007,-2662,0.4,0.0,0.0,1.0,0.213,1.6,,,,,,,,,3.1,,-1.655,0.166,
5,CIG,3,2021,-15.5,5.6,-27.4,,-0.288,-0.02,2860,1790,-16055,69.1,-457,1273,,,,,,0.057,,,0.3,1.1,0.9,-0.492,-689.0,1.806,1.628,1.767,1.1,0.2,-8.2,0.9,17.6,62,0.015,0.009,20705,0.1,0.0,0.0,1.0,1.628,1.1,,,,,,,,,3.2,,-0.391,0.492,
6,CIG,2,2021,-6.8,7.1,-15.2,,-0.647,-0.04,9941,1406,9403,-9.7,-900,853,,,,,,0.039,,,0.3,1.1,0.9,-0.833,-1133.0,,,,1.1,0.3,-5.0,0.9,25.6,59,0.017,0.011,1944,0.0,0.0,0.0,,,0.2,,,,,,,,,3.4,,-0.798,-0.021,
7,CIG,1,2021,-1.3,8.0,-2.9,,-1.476,-0.214,2616,458,-594,-9.4,-5405,871,,,,,,0.04,,,0.3,1.1,0.9,0.002,-5606.0,0.093,,0.116,1.1,0.3,-1.0,0.9,25.1,59,0.015,0.011,3667,0.1,0.0,0.0,1.0,,0.0,,,,,,,,,3.4,,-0.002,-0.149,
8,CIG,4,2020,-0.4,1.9,-3.3,,-1.447,-0.214,2642,459,-663,-164.2,-5396,1024,,,,,,0.047,,,0.3,1.1,0.9,0.203,-5618.0,,,,1.1,0.3,-1.0,0.9,21.4,64,0.015,0.009,3763,0.1,0.0,0.0,,,0.9,,,,,,,,,3.3,,0.208,-0.462,
9,CIG,3,2020,-0.4,0.9,-2.9,,-1.076,-0.175,2758,557,-690,-7.8,-4485,1905,,,,,,0.083,,,0.4,1.2,0.9,0.008,-4651.0,0.028,,,0.9,0.2,-1.2,0.9,12.0,86,0.014,0.022,4005,0.1,-0.004,0.0,,,0.4,,,,,,,,,2.8,,0.008,-0.013,
