,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CJC,4,2022,65.7,2.8,35.0,,0.044,0.011,38,107,46.0,1.0,456,10562,,,,,,0.195,,,0.2,1.2,0.7,-0.601,1357.0,0.069,0.015,0.004,2.2,0.4,13.5,,5.1,27,0.461,0.162,99.0,9.5,-0.131,1.4,1.0,0.015,0.3,,,,,,,,,4.1,,-0.322,0.009,
1,CJC,3,2022,26.2,2.9,23.8,,0.116,0.029,42,130,33.0,1.2,1144,10470,,,,,,0.21,,,0.3,1.2,0.5,0.027,2000.0,0.157,0.049,0.014,2.0,0.4,8.6,,4.8,26,0.346,0.121,139.0,8.7,-0.159,1.3,1.0,0.049,0.3,,,,,,,,,3.8,,0.024,0.008,
2,CJC,2,2022,19.7,2.1,23.5,,0.113,0.029,43,79,52.0,1.7,1114,10388,,,,,,0.213,,,0.3,1.2,0.8,-3.103,1953.0,0.059,0.018,0.008,2.0,0.4,8.8,,4.7,25,0.49,0.17,69.0,8.5,-0.173,1.3,1.0,0.018,0.4,,,,,,,,,3.7,,4.654,0.018,
3,CJC,1,2022,-26.2,1.4,103.8,,-0.051,-0.015,74,167,80.0,1.4,-530,10203,,,,,,0.26,,,0.4,1.2,0.6,-0.141,345.0,0.08,0.033,0.01,1.4,0.4,43.1,,3.9,24,0.248,0.104,162.0,4.9,-0.235,0.9,1.0,0.033,0.3,,,,,,,,,2.9,,0.181,0.01,
4,CJC,4,2021,-23.5,1.4,103.4,,-0.059,-0.018,95,153,66.0,3.9,-617,10105,,,,,,0.317,,,0.5,1.3,0.8,-0.506,293.0,0.15,0.076,0.062,1.4,0.4,54.9,,3.2,24,0.219,0.126,182.0,3.8,-0.132,0.7,1.0,0.076,0.8,,,,,,,,,2.2,,-2.851,0.084,
5,CJC,3,2021,-12.9,1.7,-154.8,,-0.125,-0.037,72,150,55.0,1.1,-1248,9325,,,,,,0.321,,,0.5,1.3,0.8,0.042,-158.0,0.248,0.07,0.014,1.4,0.5,-103.7,,3.1,22,0.079,0.062,168.0,5.0,-0.048,0.9,1.0,0.07,0.2,,,,,,,,,2.1,,-4.202,0.006,
6,CJC,2,2021,-18.4,2.4,588.1,,-0.121,-0.031,59,114,74.0,-4.2,-1198,9273,,,,,,0.332,,,0.5,1.3,0.9,-3.219,49.0,,,,1.5,0.5,400.1,,3.0,21,0.063,0.036,99.0,6.2,-0.023,0.9,,,1.2,,,,,,,,,2.0,,-0.976,-0.136,
7,CJC,1,2021,39.6,2.0,17.6,,0.052,0.013,45,108,52.0,1.0,540,10733,,,,,,0.358,,,0.6,1.4,0.9,-0.181,2094.0,0.232,0.102,0.004,1.5,0.5,11.0,,2.8,27,0.051,0.025,101.0,8.1,-0.009,1.2,1.0,0.102,0.0,,,,,,,,,1.8,,-0.195,0.001,
8,CJC,4,2020,27.6,1.7,15.6,,0.063,0.014,34,89,58.0,1.4,659,10722,,,,,,0.301,,,0.4,1.3,1.0,-1.111,2601.0,0.071,0.028,0.008,1.7,0.5,11.2,,3.3,26,0.107,0.052,65.0,10.8,-0.008,1.3,1.0,0.028,0.3,,,,,,,,,2.3,,-1.781,0.014,
9,CJC,3,2020,-3.2,1.8,-11.7,,-0.438,-0.095,35,133,38.0,1.0,-5937,10573,,,,,,0.272,,,0.4,1.2,0.8,-0.226,-3331.0,0.134,0.054,0.012,1.8,0.5,-10.7,,3.7,24,0.072,0.038,130.0,10.4,-0.072,1.4,1.0,0.054,0.2,,,,,,,,,2.7,,-0.215,0.01,
10,CJC,2,2020,-2.1,1.5,-10.1,,-0.536,-0.115,40,102,49.0,1.5,-7669,10472,,,,,,0.209,,,0.3,1.1,0.8,-0.015,-4245.0,0.09,0.045,0.014,2.5,0.5,-8.4,,4.8,23,0.488,0.232,93.0,9.2,-0.074,1.3,1.0,0.045,0.3,,,,,,,,,3.8,,0.012,0.027,
11,CJC,1,2020,-2.2,1.7,-10.4,,-0.552,-0.144,37,83,26.0,1.1,-7784,10193,,,,,,0.193,,,0.2,1.1,0.7,-0.004,-4196.0,0.105,0.05,0.008,3.0,0.6,-6.4,,5.2,21,0.221,0.143,94.0,10.0,-0.172,1.6,1.0,0.05,0.2,,,,,,,,,4.2,,-0.256,0.013,
12,CJC,4,2019,-2.7,2.1,-11.5,,-0.559,-0.124,142,77,27.0,-5.3,-7818,10063,,,,,,0.163,,,0.2,1.1,0.7,10.397,-5639.0,-0.093,-0.117,-0.138,4.0,0.6,-6.4,,6.1,19,0.165,0.097,191.0,2.6,-0.187,1.2,1.0,-0.117,1.2,,,,,,,,,5.1,,29.884,-0.391,
13,CJC,3,2019,-30.6,1.3,-356.6,,-0.041,-0.009,131,279,22.0,-0.9,-686,16510,,,,,,0.192,,,0.2,1.2,0.4,-1.708,-183.0,0.046,-0.233,-0.502,3.2,0.6,-235.3,,5.2,45,0.247,0.238,388.0,2.8,-0.137,0.7,1.0,-0.233,2.2,,,,,,,,,4.2,,-1.836,-0.09,
14,CJC,2,2019,21.7,1.2,288.7,,0.053,0.014,199,180,27.0,1.1,968,18140,,,,,,0.218,,,0.3,1.2,0.6,6.112,219.0,0.094,0.04,0.007,2.5,0.5,176.5,,4.6,50,0.189,0.163,352.0,1.8,-0.129,0.7,0.9,0.04,0.2,,,,,,,,,3.6,,-1.719,0.008,
15,CJC,1,2019,154.2,1.2,-132.5,,0.007,0.003,209,182,29.0,-2.5,136,18004,,,,,,0.326,,,0.5,1.3,0.7,1.695,-304.0,0.052,-0.79,0.079,1.3,0.4,-81.2,,3.1,50,0.221,0.189,362.0,1.7,-0.039,0.6,1.2,-0.79,-0.1,,,,,,,,,2.1,,-1.496,0.004,
16,CJC,4,2018,455.1,1.3,80.3,,0.003,0.001,286,100,43.0,0.5,50,17932,,,,,,0.28,,,0.4,1.4,1.0,-0.892,613.0,0.054,0.001,0.03,1.8,0.5,52.2,1.7,3.6,50,0.519,0.443,343.0,1.3,-0.624,0.6,1.0,0.001,28.9,,,,,,,,,2.6,,-0.806,0.04,
17,CJC,3,2018,43.3,1.2,20.7,,0.032,0.009,174,178,33.0,-0.1,466,17246,,,,,,0.281,,,0.4,1.4,0.8,-0.104,3151.0,0.225,-0.016,0.007,2.0,0.6,12.0,1.8,3.6,50,0.327,0.272,319.0,2.1,-0.827,0.8,1.0,-0.016,-0.4,,,,,,,,,2.6,,-0.243,-0.056,
