,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CLH,4,2022,6.0,1.7,2.0,,0.275,0.179,21,11,23,393.9,4669,16938,,,,,,0.637,,,1.8,1.6,1.4,-0.101,9827,0.144,0.086,0.069,0.0,0.0,0.1,0.5,1.6,69,0.504,0.305,9,17.5,-0.051,2.6,0.8,0.086,1.0,,,,,,,,,0.6,,-0.107,0.006,
1,CLH,3,2022,6.3,1.9,1.9,,0.315,0.192,15,14,19,321.8,5193,16833,,,,,,0.583,,,1.4,1.5,1.2,0.028,11000,0.165,0.081,0.067,0.0,0.0,0.1,0.5,1.7,63,0.532,0.31,11,23.6,-0.04,2.5,0.8,0.081,1.0,,,,,,,,,0.7,,-0.006,0.07,
2,CLH,2,2022,6.2,2.0,2.2,,0.326,0.194,8,16,18,450.7,5050,15738,,,,,,0.574,,,1.3,1.3,1.1,0.064,11065,0.173,0.101,0.083,0.0,0.0,0.1,0.5,1.7,41,0.473,0.236,6,47.7,-0.032,2.5,0.8,0.101,1.0,,,,,,,,,0.7,,0.084,-0.114,
3,CLH,1,2022,7.5,2.0,2.7,,0.279,0.179,11,15,22,237.7,4745,17765,,,,,,0.649,,,1.8,1.4,1.2,0.045,10210,0.122,0.065,0.053,0.0,0.0,0.2,0.0,1.5,47,0.307,0.168,4,33.0,-0.03,2.4,0.8,0.065,1.0,,,,,,,,,0.5,,0.008,0.046,
4,CLH,4,2021,5.4,1.4,3.1,,0.281,0.179,2,11,18,353.7,4540,16991,,,,,,0.663,,,2.0,1.2,1.1,0.143,10128,0.187,0.121,0.097,0.0,0.0,0.2,0.0,1.5,24,0.426,0.217,-5,146.1,-0.046,2.4,0.8,0.121,1.0,,,,,,,,,0.5,,0.078,0.051,
5,CLH,3,2021,6.0,1.5,2.7,,0.254,0.153,-5,16,21,86.0,3974,16163,,,,,,0.64,,,1.8,1.1,0.8,0.056,9394,0.149,0.087,0.068,0.1,0.0,0.2,0.0,1.6,6,0.16,0.094,-10,,-0.062,2.3,0.8,0.087,1.0,,,,,,,,,0.6,,-0.047,0.063,
6,CLH,2,2021,5.1,1.3,3.2,,0.255,0.147,-12,17,16,45.7,3764,15211,,,,,,0.617,,,1.6,0.9,0.6,0.068,9853,0.156,0.098,0.076,0.1,0.1,0.3,0.0,1.6,-8,0.158,0.082,-10,,-0.094,2.3,0.8,0.098,1.0,,,,,,,,,0.6,,0.036,-0.067,
7,CLH,1,2021,5.2,1.1,2.5,,0.225,0.134,-14,15,20,16.7,3526,16310,,,,,,0.639,,,1.8,1.0,0.7,0.023,9508,0.111,0.06,0.045,0.2,0.1,0.4,0.0,1.6,-1,0.098,0.078,-19,,-0.087,2.3,0.8,0.06,0.9,,,,,,,,,0.6,,0.007,0.061,
8,CLH,4,2020,5.1,1.1,2.9,,0.23,0.136,-24,10,16,28.9,3446,15366,,,,,,0.614,,,1.6,0.8,0.6,-0.085,9437,0.164,0.091,0.07,0.2,0.1,0.4,0.1,1.6,-14,0.184,0.122,-30,,-0.069,2.3,0.8,0.091,1.0,,,,,,,,,0.6,,0.026,0.017,
9,CLH,3,2020,3.5,0.9,2.6,,0.265,0.137,-26,14,25,17.9,3767,15104,,,,,,0.569,,,1.3,0.8,0.5,0.102,9196,0.13,0.071,0.053,0.2,0.1,0.6,0.5,1.8,-26,0.098,0.074,-37,,-0.077,2.1,0.8,0.071,0.9,,,,,,,,,0.8,,-0.033,0.052,
10,CLH,2,2020,3.1,0.7,2.4,,0.25,0.12,-33,18,17,16.9,3418,14362,,,,,,0.541,,,1.2,0.7,0.4,0.076,9510,0.138,0.086,0.064,0.2,0.1,0.8,0.6,1.8,-38,0.043,0.037,-31,,-0.038,2.0,0.8,0.086,0.9,,,,,,,,,0.8,,0.017,-0.046,
11,CLH,1,2020,3.7,0.8,2.7,,0.222,0.108,-38,14,20,6.7,3176,15051,,,,,,0.553,,,1.2,0.6,0.4,-0.005,9350,0.115,0.06,0.039,0.3,0.2,1.0,2.7,1.8,-53,0.028,0.026,-44,,-0.036,2.0,0.8,0.06,0.8,,,,,,,,,0.8,,-0.015,0.034,
12,CLH,4,2019,3.4,0.8,2.5,,0.226,0.117,12,8,21,18.2,3190,14562,,,,,,0.565,,,1.3,0.4,0.3,0.047,9497,0.207,0.127,0.095,0.3,0.1,0.7,7.0,1.8,-81,0.101,0.105,0,29.4,-0.034,2.1,1.3,0.127,0.9,,,,,,,,,0.8,,-0.125,0.091,
