,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CLW,4,2022,12.5,1.5,5.3,,0.128,0.062,18,8,30,4.6,2319,18800,,,,,,0.482,,,0.9,1.5,1.3,-0.117,5885,0.112,0.023,0.026,0.4,0.2,1.0,0.2,2.1,88,0.114,0.074,-4,20.6,-0.339,2.6,0.8,0.023,1.4,,,,,,,,,1.1,,-0.059,0.113,
1,CLW,3,2022,14.1,2.2,3.9,,0.158,0.068,8,4,41,17.4,2626,16890,,,,,,0.423,,,0.7,1.2,1.1,0.641,6253,0.136,0.058,0.046,0.4,0.2,0.8,0.2,2.4,34,0.213,0.163,-29,44.1,-0.335,2.4,0.8,0.058,1.0,,,,,,,,,1.4,,0.248,0.073,
2,CLW,2,2022,22.2,2.3,7.3,,0.1,0.044,2,4,33,13.6,1600,15737,,,,,,0.433,,,0.8,1.1,1.0,0.356,5011,0.116,0.04,0.038,0.3,0.1,0.9,0.3,2.3,11,0.194,0.087,-27,187.2,-0.18,2.4,0.9,0.04,1.1,,,,,,,,,1.3,,0.123,-0.071,
3,CLW,1,2022,29.4,2.1,7.0,,0.068,0.035,8,4,32,-6.3,1180,16940,,,,,,0.499,,,1.0,1.2,1.1,-0.449,4461,0.05,,,0.3,0.1,1.0,0.4,2.0,30,0.123,0.073,-20,48.1,-0.147,2.6,,,0.9,,,,,,,,,1.0,,-0.221,-0.025,
4,CLW,4,2021,13.5,1.7,6.9,,0.124,0.059,6,5,39,14.5,2141,17376,,,,,,0.492,,,1.0,1.2,1.1,0.248,5725,0.128,0.047,0.045,0.3,0.1,0.7,0.2,2.0,34,0.351,0.17,-29,62.6,-0.147,2.4,0.8,0.047,1.2,,,,,,,,,1.0,,0.061,0.059,
5,CLW,3,2021,15.5,1.6,5.8,,0.105,0.044,1,5,43,1.7,1716,16405,,,,,,0.435,,,0.8,1.1,1.0,-0.21,5394,0.075,0.006,0.006,0.3,0.1,0.7,0.2,2.3,20,0.032,0.019,-38,391.5,-0.146,2.3,0.8,0.006,1.3,,,,,,,,,1.3,,-0.102,0.008,
6,CLW,2,2021,13.3,1.8,5.6,,0.135,0.059,-2,6,36,5.4,2172,16279,,,,,,0.451,,,0.8,1.0,0.9,0.077,6009,0.089,0.017,0.021,0.2,0.1,0.6,0.3,2.2,1,0.04,0.021,-32,,-0.155,2.5,0.8,0.017,1.6,,,,,,,,,1.2,,0.007,-0.089,
7,CLW,1,2021,15.4,1.7,6.0,,0.115,0.058,3,5,35,9.7,2016,17865,,,,,,0.518,,,1.1,1.1,1.0,-0.012,5967,0.096,0.031,0.024,0.2,0.1,0.6,0.4,1.9,17,0.023,0.013,-27,144.1,-0.171,2.6,0.8,0.031,0.9,,,,,,,,,0.9,,0.013,0.037,
8,CLW,4,2020,11.6,1.4,5.0,,0.12,0.057,-3,6,38,9.6,2040,17221,,,,,,0.455,,,0.8,1.0,0.9,1.553,5888,0.092,0.028,0.024,0.2,0.1,0.6,0.2,2.2,3,0.118,0.064,-35,,-0.165,2.5,0.7,0.028,1.3,,,,,,,,,1.2,,0.296,0.05,
9,CLW,3,2020,29.0,1.4,5.4,,0.047,0.021,-3,5,44,11.5,799,16406,,,,,,0.409,,,0.7,0.9,0.9,-0.412,4543,0.094,0.031,0.025,0.2,0.1,0.7,0.2,2.4,-14,0.356,0.214,-43,,-0.12,2.4,0.8,0.031,1.0,,,,,,,,,1.4,,-0.131,0.037,
10,CLW,2,2020,15.2,1.3,4.5,,0.085,0.039,-6,6,34,5.6,1359,15825,,,,,,0.426,,,0.7,0.9,0.9,-0.297,5227,0.061,0.016,0.016,0.2,0.1,0.6,0.3,2.3,-14,0.239,0.158,-34,,-0.133,2.5,0.8,0.016,1.3,,,,,,,,,1.3,,-0.132,-0.082,
11,CLW,1,2020,12.4,1.4,4.6,,0.114,0.059,-4,5,34,11.9,1932,17238,,,,,,0.499,,,1.0,1.0,0.9,0.146,6026,0.11,0.031,0.024,0.2,0.1,0.5,0.3,2.0,-1,0.141,0.089,-33,,-0.128,2.6,0.8,0.031,1.0,,,,,,,,,1.0,,0.039,0.034,
