,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CLX,4,2022,6.1,0.7,8.9,,0.122,0.084,60,5,5,17.8,2084,17877,,,,,,0.71,,,2.4,2.9,2.8,-0.072,1429,0.258,0.11,0.298,0.0,0.0,0.4,0.3,1.4,87,0.013,0.018,60,6.1,-0.176,0.3,0.9,0.11,3.0,,,,,,,,,0.4,,-0.045,0.008,
1,CLX,3,2022,6.8,0.9,8.8,,0.135,0.09,41,5,3,23.5,2247,17740,,,,,,0.707,,,2.4,3.3,3.2,0.115,1496,0.223,0.132,0.296,0.0,0.0,0.4,0.3,1.4,112,0.026,0.035,43,8.8,-0.033,0.3,0.9,0.132,2.5,,,,,,,,,0.4,,0.07,0.031,
2,CLX,2,2022,8.4,1.0,8.5,,0.124,0.082,38,8,2,22.6,2016,17213,,,,,,0.7,,,2.3,3.3,3.2,0.035,1398,0.232,0.122,0.269,0.0,0.0,0.4,0.3,1.4,102,0.019,0.028,44,9.5,0.022,0.2,0.9,0.122,2.4,,,,,,,,,0.4,,0.001,0.028,
3,CLX,1,2022,15.8,1.8,13.6,,0.123,0.079,-9,9,3,23.3,1948,16750,,,,,,0.678,,,2.1,1.5,1.5,0.018,1397,0.249,0.163,0.357,0.0,0.0,0.4,0.3,1.5,49,0.005,0.005,-2,,-0.005,0.2,0.9,0.163,2.4,,,,,,,,,0.5,,-0.018,0.03,
4,CLX,4,2021,13.9,1.6,17.8,,0.125,0.078,54,9,4,20.5,1913,16270,,,,,,0.661,,,1.9,3.1,2.9,0.107,1423,0.31,0.159,0.415,0.0,0.0,0.4,0.3,1.5,108,0.015,0.009,59,6.7,0.0,0.2,0.9,0.159,2.9,,,,,,,,,0.5,,-0.318,0.039,
5,CLX,3,2021,12.8,1.4,13.8,,0.116,0.07,-13,6,3,10.9,1729,15664,,,,,,0.636,,,1.7,1.1,1.1,-0.116,2088,0.297,0.139,0.3,0.0,0.0,0.3,0.3,1.6,22,0.036,0.02,-10,,-0.135,0.2,0.9,0.139,2.4,,,,,,,,,0.6,,-0.054,0.019,
6,CLX,2,2021,9.1,1.2,13.7,,0.136,0.085,22,7,4,18.2,1957,15369,,,,,,0.628,,,1.7,1.0,1.0,0.001,2208,0.311,0.169,0.323,0.0,0.0,0.2,0.3,1.6,7,0.039,0.02,24,17.0,-0.431,0.3,0.9,0.169,2.2,,,,,,,,,0.6,,0.023,0.034,
7,CLX,1,2021,10.8,1.4,7.5,,0.139,0.084,-12,7,5,23.0,1954,14858,,,,,,0.599,,,1.5,0.7,0.7,0.066,2159,0.305,0.21,0.392,0.0,0.0,0.2,3.9,1.7,-72,0.074,0.066,-10,,-0.384,0.3,0.9,0.21,2.1,,,,,,,,,0.7,,0.005,0.029,
8,CLX,4,2020,9.6,1.2,8.2,,0.133,0.079,22,7,20,16.2,1832,14440,,,,,,0.584,,,1.4,1.1,1.1,0.001,2149,0.244,0.114,0.224,0.0,0.0,0.2,0.2,1.7,28,0.071,0.057,8,17.0,-0.675,0.2,0.9,0.114,2.3,,,,,,,,,0.7,,0.518,0.026,
9,CLX,3,2020,7.1,0.9,11.7,,0.136,0.08,6,8,5,32.4,1829,14073,,,,,,0.567,,,1.3,0.8,0.7,0.196,1415,0.33,0.195,0.397,0.0,0.0,0.3,0.2,1.8,-57,0.06,0.05,9,59.9,-0.836,0.2,0.9,0.195,2.3,,,,,,,,,0.8,,0.102,0.043,
