,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CMD,4,2022,6.1,0.8,6.3,,0.132,0.097,64,0,1,9.2,2759,21368,,,,,,0.699,,,2.3,2.6,2.6,0.053,2392,0.104,0.04,0.04,0.3,0.2,1.6,,1.4,158,0.091,0.116,63,5.7,-0.098,3.2,0.8,0.04,1.3,,,,,,,,,0.4,,0.065,0.033,
1,CMD,1,2022,14.2,1.2,,,0.085,0.063,157,2,4,17.1,1829,21296,,,,,,0.807,,,4.2,4.8,4.8,-0.046,1568,0.127,0.06,0.05,0.2,0.1,2.7,,1.2,206,0.28,,156,2.3,0.0,1.5,0.8,0.06,1.0,,,,,,,,,0.2,,-0.106,0.04,
2,CMD,1,2021,3.8,1.1,6.4,,0.33,0.201,44,1,2,8.4,6513,21707,,,,,,0.682,,,2.1,2.9,2.9,-0.013,3222,0.132,0.065,0.048,0.4,0.2,2.4,,1.5,209,0.036,0.038,43,8.3,2.373,3.3,0.8,0.065,0.9,,,,,,,,,0.5,,-0.024,0.045,
3,CMD,4,2020,2.1,0.7,7.0,,0.34,0.173,42,1,2,2.8,6599,20780,,,,,,0.542,,,1.2,2.0,2.0,1.087,3301,0.09,0.024,0.137,0.6,0.3,3.1,,1.8,197,0.156,0.119,40,8.6,2.354,2.9,0.8,0.024,7.3,,,,,,,,,0.8,,-0.066,0.146,
4,CMD,3,2020,3.6,0.6,7.5,,0.178,0.084,22,1,1,4.9,3161,18136,,,,,,0.482,,,0.9,1.3,1.3,-0.003,3535,0.089,0.037,0.028,0.9,0.4,3.5,,2.1,75,0.14,0.118,22,16.2,-0.367,2.9,0.8,0.037,0.9,,,,,,,,,1.1,,0.024,0.047,
5,CMD,2,2020,2.6,0.5,6.2,,0.182,0.088,21,1,2,4.7,3171,17320,,,,,,0.485,,,0.9,1.3,1.3,0.075,3452,0.111,0.039,0.026,0.9,0.4,3.4,,2.1,65,0.053,0.065,20,17.1,-0.125,3.0,0.8,0.039,0.9,,,,,,,,,1.1,,0.302,-0.023,
6,CMD,3,2019,3.9,0.6,,,0.152,0.071,106,2,3,3.8,2785,18609,,,,,,0.465,,,0.9,1.3,1.3,-0.059,2022,0.104,0.035,0.029,1.0,0.4,6.0,,2.2,78,0.108,,105,3.4,0.235,2.1,1.2,0.035,1.0,,,,,,,,,1.2,,-0.038,-0.006,
7,CMD,3,2018,,,,,0.217,0.103,65,1,2,4.0,3919,18151,,,,,,0.472,,,0.9,1.3,1.3,-0.002,3164,0.095,0.036,0.032,0.9,0.4,3.7,,2.1,65,0.04,,65,5.6,0.0,3.4,1.2,0.036,1.1,,,,,,,,,1.1,,0.003,0.003,
8,CMD,2,2018,,,,,0.218,0.1,65,2,2,3.7,3929,18095,,,,,,0.455,,,0.8,1.3,1.3,-0.061,3155,0.088,0.029,0.025,1.0,0.4,4.0,,2.2,63,0.055,,64,5.6,-0.01,3.4,1.2,0.029,1.1,,,,,,,,,1.2,,-0.043,0.037,
9,CMD,3,2017,,,,,0.174,0.09,66,1,2,4.1,3290,18043,,,,,,0.476,,,0.9,1.3,1.3,0.003,2655,0.104,0.032,0.029,0.9,0.4,3.8,,2.1,60,0.105,,64,5.5,-0.015,2.9,1.2,0.032,1.1,,,,,,,,,1.1,,0.024,0.004,
