,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CMS,4,2022,75.7,0.6,-40.0,,0.009,0.005,501,97,89,0.0,80,10111,,,,,,0.521,,,1.7,2.5,2.3,-0.894,-218,0.046,,0.051,0.1,0.1,-6.8,8.4,1.9,257,0.122,0.243,509,0.7,-0.004,0.4,1.5,,-47.3,,,,,,,,,0.6,,-0.407,0.015,
1,CMS,3,2022,14.6,1.1,-26.6,,0.09,0.044,525,169,124,-3.4,758,9961,,,,,,0.53,,,1.8,2.6,2.4,0.059,-367,0.058,,,0.1,0.1,-4.2,7.7,1.9,254,0.208,0.359,571,0.7,-0.004,0.3,,,1.1,,,,,,,,,0.6,,-0.321,0.466,
2,CMS,2,2022,13.7,1.4,-33.3,,0.104,0.047,383,139,88,-2.0,716,6793,,,,,,0.45,,,1.4,2.3,2.1,0.49,-541,0.111,,,0.2,0.1,-4.4,26.0,2.2,188,0.166,0.155,433,1.0,-0.009,0.4,,,0.0,,,,,,,,,0.7,,0.166,-0.022,
3,CMS,1,2022,60.7,4.2,-66.5,,0.068,0.033,331,115,69,,480,6944,,,,,,0.5,,,1.9,2.8,2.5,0.003,-464,0.171,0.008,0.003,0.2,0.2,-4.2,20.4,2.0,192,0.056,0.03,377,1.1,-0.008,0.5,,0.008,-0.1,,,,,,,,,0.5,,-0.304,0.01,
4,CMS,4,2021,65.7,4.6,-34.1,,0.068,0.027,280,128,55,,479,6878,,,,,,0.461,,,1.5,2.4,2.0,-2.31,-666,0.017,,0.391,0.1,0.1,-4.5,,2.2,182,0.066,0.044,353,1.3,0.0,0.4,0.9,,-7.5,,,,,,,,,0.7,,-0.103,0.002,
5,CMS,3,2021,-12.3,0.7,-46.3,,-0.053,-0.021,219,158,68,5.8,-365,6866,,,,,,0.442,,,1.4,2.0,1.5,-0.124,-743,,,,0.1,0.1,-4.6,,2.3,144,0.121,0.051,308,1.7,0.0,0.4,,,0.9,,,,,,,,,0.7,,-0.368,0.395,
6,CMS,2,2021,-10.5,0.9,-13.0,,-0.058,-0.022,210,163,74,-2.9,-417,4922,,,,,,0.316,,,1.1,2.0,1.5,1.213,-1175,0.039,,,0.2,0.1,-3.1,,3.2,151,0.045,0.042,299,1.7,0.0,0.4,,,3.5,,,,,,,,,0.9,,0.14,-0.318,
7,CMS,1,2021,-22.2,0.6,-4.1,,-0.026,-0.01,175,163,83,,-188,7221,,,,,,0.472,,,1.5,2.1,1.5,0.075,-1031,,,0.003,0.0,0.0,-3.3,,2.1,152,0.251,0.856,255,2.1,0.0,0.4,1.0,,0.0,,,,,,,,,0.7,,0.327,-0.01,
8,CMS,4,2020,-17.1,0.4,-13.9,,-0.024,-0.008,99,134,63,-4.1,-175,7294,,,,,,0.354,,,1.2,1.6,1.2,-0.008,-777,0.053,,,0.3,0.1,-7.9,0.2,2.8,106,0.268,1.056,170,3.7,0.0,0.5,,,1.1,,,,,,,,,0.8,,0.184,0.044,
9,CMS,3,2020,-18.1,0.5,-15.4,,-0.025,-0.008,70,97,43,-4.6,-177,6989,,,,,,0.348,,,0.8,1.4,1.0,5.427,-656,,,,0.4,0.2,-9.9,0.1,2.9,69,0.122,0.458,125,5.2,0.0,0.6,,,0.5,,,,,,,,,1.3,,-11.075,-0.049,
10,CMS,2,2020,-87.1,0.3,156.6,,-0.004,-0.001,62,98,55,0.2,-27,7351,,,,,,0.339,,,0.7,1.3,0.9,-1.189,65,0.093,0.012,,0.4,0.2,99.1,0.2,3.0,59,0.07,0.358,106,5.9,0.014,0.6,,0.012,-1.6,,,,,,,,,1.3,,-0.778,0.026,
11,CMS,1,2020,17.1,0.3,40.1,,0.02,0.006,68,107,47,8.2,146,7167,,,,,,0.31,,,0.7,1.2,0.8,-0.323,294,0.08,0.011,0.004,0.4,0.2,21.3,0.3,3.2,48,0.047,0.187,127,5.4,-0.139,0.6,0.7,0.011,0.5,,,,,,,,,1.5,,-0.48,-0.338,
12,CMS,4,2019,13.9,0.3,20.7,,0.019,0.006,107,129,62,,215,10825,,,,,,0.293,,,0.6,1.2,0.8,-0.268,565,0.06,-0.031,-0.005,0.6,0.2,12.8,0.7,3.4,48,0.043,0.248,174,3.4,-0.155,0.5,2.5,-0.031,0.4,,,,,,,,,1.7,,-0.145,-0.002,
13,CMS,3,2019,11.5,0.3,18.6,,0.027,0.009,136,115,57,,294,10848,,,,,,0.297,,,0.6,1.2,0.9,-0.012,660,0.175,0.019,-0.003,0.5,0.2,10.2,0.4,3.4,54,0.09,0.415,193,2.7,-0.153,0.5,-2.0,0.019,0.3,,,,,,,,,1.6,,0.155,-0.002,
14,CMS,2,2019,15.8,0.4,22.2,,0.027,0.009,137,128,72,1.8,298,10867,,,,,,0.297,,,0.6,1.2,0.9,4.282,571,0.118,0.045,0.037,0.5,0.2,10.8,0.3,3.4,58,0.059,0.255,192,2.7,-0.169,0.5,1.2,0.045,1.0,,,,,,,,,1.6,,-0.117,-0.043,
15,CMS,1,2019,81.3,0.4,18.3,,0.005,0.002,123,132,52,4.0,56,11351,,,,,,0.309,,,0.6,1.3,1.0,-0.308,647,0.121,0.013,0.008,0.4,0.2,8.5,0.1,3.2,93,0.086,0.343,203,3.0,-0.027,0.5,2.5,0.013,1.5,,,,,,,,,1.6,,0.651,-0.005,
16,CMS,4,2018,66.2,0.5,34.8,,0.007,0.003,126,111,81,-1.0,81,11409,,,,,,0.315,,,0.7,1.4,1.1,-1.742,392,0.109,-0.014,0.015,0.4,0.2,10.7,0.1,3.2,95,0.318,0.917,156,2.9,-0.003,0.5,1.8,-0.014,-2.0,,,,,,,,,1.5,,-0.361,0.005,
17,CMS,3,2018,-32.8,0.3,18.2,,-0.009,-0.004,107,120,71,0.1,-109,11353,,,,,,0.404,,,1.0,1.2,0.9,0.304,614,0.072,0.001,-0.002,0.4,0.2,5.3,23.5,2.5,52,0.017,0.045,155,3.4,-0.003,0.7,-0.5,0.001,1.1,,,,,,,,,1.0,,0.015,0.0,
18,CMS,2,2018,-36.3,0.3,14.9,,-0.008,-0.003,99,154,88,2.8,-84,11349,,,,,,0.432,,,1.2,1.5,0.9,0.043,605,0.128,0.065,-0.002,0.3,0.2,4.2,3.5,2.3,89,0.012,0.055,165,3.7,-0.001,0.7,-2.4,0.065,0.1,,,,,,,,,0.8,,0.822,0.003,
19,CMS,1,2018,-44.6,0.3,20.3,,-0.007,-0.003,111,164,93,,-80,11319,,,,,,0.442,,,1.2,1.3,0.8,1.126,332,0.114,0.028,0.017,0.3,0.2,9.5,13.7,2.3,56,0.055,0.256,182,3.3,-0.197,0.6,1.3,0.028,0.8,,,,,,,,,0.9,,-0.203,0.035,
20,CMS,4,2017,-113.7,0.4,9.0,,-0.003,-0.002,66,108,77,,-37,10933,,,,,,0.459,,,1.3,1.3,0.9,-1.099,417,0.22,0.038,-0.03,0.1,0.1,4.6,6.5,2.2,51,0.071,0.238,97,5.5,-0.273,1.0,-0.4,0.038,0.3,,,,,,,,,0.8,,-0.352,-0.111,
21,CMS,3,2017,11.5,0.4,6.8,,0.033,0.016,40,104,49,,384,12302,,,,,,0.536,,,1.2,1.2,0.7,1.94,643,0.079,-0.001,0.003,0.0,0.0,2.2,2.7,1.9,41,0.066,0.177,95,9.1,-0.447,1.2,3.7,-0.001,-14.7,,,,,,,,,0.9,,0.604,0.113,
22,CMS,2,2017,37.9,0.4,10.4,,0.011,0.005,37,120,61,1.9,130,11054,,,,,,0.499,,,1.2,1.6,0.8,-0.304,401,0.118,0.018,-0.002,0.0,0.0,2.9,,2.0,96,0.07,0.175,97,9.8,-0.412,1.2,-2.8,0.018,0.3,,,,,,,,,0.8,,-0.089,-0.009,
23,CMS,1,2017,30.7,0.5,10.6,,0.016,0.008,45,85,30,,187,11151,,,,,,0.41,,,0.8,1.4,0.8,0.676,440,0.048,0.015,0.008,0.1,0.1,4.5,,2.4,95,0.195,0.454,100,8.2,-0.179,1.2,1.6,0.015,0.9,,,,,,,,,1.2,,0.151,0.008,
24,CMS,4,2016,38.6,0.4,15.0,,0.01,0.005,54,141,42,,112,11062,,,,,,0.44,,,0.9,1.5,0.7,-0.124,382,0.192,0.044,0.032,0.2,0.1,5.7,,2.3,106,0.155,0.328,153,6.8,-0.023,0.9,1.6,0.044,1.1,,,,,,,,,1.1,,-0.144,0.016,
25,CMS,3,2016,38.0,0.4,12.8,,0.011,0.006,62,179,37,,127,10889,,,,,,0.417,,,0.8,1.4,0.6,-0.684,447,0.113,-0.056,-0.054,0.2,0.1,5.6,,2.4,89,0.124,0.297,205,5.9,-1.916,0.7,1.2,-0.056,1.2,,,,,,,,,1.2,,-0.643,-0.094,
26,CMS,2,2016,15.2,0.5,5.5,,0.043,0.019,39,177,42,1.6,404,12014,,,,,,0.436,,,0.9,1.5,0.8,-0.384,1251,0.107,0.038,0.016,0.2,0.1,2.5,,2.3,114,0.149,0.391,174,9.4,-1.901,0.8,2.0,0.038,0.8,,,,,,,,,1.1,,-0.296,0.005,
27,CMS,1,2016,10.7,0.6,5.9,,0.07,0.039,33,80,30,2.2,656,11960,,,,,,0.634,,,1.8,2.2,1.6,-0.395,1778,0.08,0.022,0.004,0.2,0.1,1.5,110.8,1.6,119,0.384,0.672,82,11.2,-3.448,1.2,1.5,0.022,0.3,,,,,,,,,0.6,,-0.288,0.002,
28,CMS,4,2015,7.4,0.7,3.7,,0.119,0.061,45,88,35,,1084,11942,,,,,,0.594,,,1.5,2.0,1.4,-0.059,2495,0.221,0.083,0.054,0.2,0.1,1.3,127.3,1.7,125,0.292,0.453,98,8.1,-3.35,1.1,1.4,0.083,0.9,,,,,,,,,0.7,,-0.052,0.026,
29,CMS,3,2015,6.9,0.7,3.5,,0.132,0.063,47,97,30,2.1,1153,11641,,,,,,0.58,,,1.4,2.2,1.6,-0.163,2632,0.148,0.016,0.008,0.2,0.1,1.2,17.4,1.7,146,0.335,0.494,113,7.8,-0.109,1.2,1.5,0.016,0.7,,,,,,,,,0.7,,-0.352,0.672,
