,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CMV,4,2022,7.5,0.7,16.0,,0.098,0.05,11,19,7,-0.8,1311,13374,,,,,,0.498,,,1.1,1.6,0.7,-0.207,977,0.043,,0.002,0.5,0.3,7.0,,2.0,141,0.21,0.294,24,32.3,-0.025,9.4,0.6,,-1.7,,,,,,,,,0.9,,-0.308,0.009,
1,CMV,3,2022,6.3,0.8,11.0,,0.126,0.064,11,19,7,-1.5,1653,13257,,,,,,0.477,,,1.0,1.5,0.6,-0.087,1412,0.035,,0.001,0.6,0.3,3.7,,2.1,139,0.205,0.287,23,33.2,-0.024,9.6,0.6,,-0.7,,,,,,,,,1.0,,-0.176,0.006,
2,CMV,2,2022,6.6,0.9,8.4,,0.14,0.064,12,23,8,4.4,1810,13183,,,,,,0.48,,,1.0,1.6,0.6,0.1,1713,0.04,0.006,0.009,0.5,0.2,4.3,,2.1,141,0.189,0.264,27,31.6,-0.013,8.1,0.8,0.006,1.8,,,,,,,,,1.0,,0.152,-0.055,
3,CMV,1,2022,10.0,1.2,11.0,,0.121,0.056,13,25,8,4.8,1646,13944,,,,,,0.556,,,1.4,1.8,0.6,0.086,1486,0.038,0.008,0.009,0.4,0.2,6.5,,1.8,153,0.153,0.174,30,28.0,-0.039,7.4,0.8,0.008,1.6,,,,,,,,,0.7,,-0.103,0.041,
4,CMV,4,2021,8.7,1.0,12.1,,0.127,0.051,10,27,10,3.2,1516,13392,,,,,,0.514,,,1.1,1.6,0.6,0.102,1657,0.04,0.005,0.008,0.4,0.2,7.2,,1.9,139,0.126,0.11,27,35.1,-0.039,7.2,0.8,0.005,1.9,,,,,,,,,0.9,,0.115,0.034,
5,CMV,3,2021,10.0,1.1,12.6,,0.119,0.049,10,26,11,1.4,1375,12946,,,,,,0.55,,,1.3,1.7,0.6,-0.069,1486,0.04,0.003,0.005,0.2,0.1,6.5,,1.8,130,0.141,0.127,25,37.2,-0.034,7.6,0.8,0.003,2.5,,,,,,,,,0.8,,-0.114,0.018,
6,CMV,2,2021,10.2,1.2,15.9,,0.131,0.047,9,30,13,0.9,1478,12711,,,,,,0.435,,,0.8,1.4,0.5,0.051,1677,0.03,0.003,0.008,0.6,0.3,7.8,,2.3,124,0.148,0.126,26,41.2,-0.036,6.9,0.7,0.003,3.5,,,,,,,,,1.2,,-0.002,-0.036,
7,CMV,1,2021,11.1,1.2,16.3,,0.124,0.042,9,29,13,2.0,1406,13185,,,,,,0.385,,,0.7,1.4,0.6,0.442,1682,0.053,0.007,0.008,1.0,0.4,8.9,,2.6,133,0.368,0.372,24,41.2,-0.011,6.7,0.8,0.007,1.6,,,,,,,,,1.5,,0.002,0.261,
8,CMV,4,2020,10.7,1.0,24.6,,0.097,0.026,6,31,15,0.8,975,10457,,,,,,0.313,,,0.5,1.2,0.4,0.003,1678,0.048,0.003,0.005,1.3,0.4,13.6,,3.2,82,0.211,0.159,22,59.0,-0.011,6.3,0.8,0.003,2.3,,,,,,,,,2.1,,0.047,0.03,
9,CMV,3,2020,10.0,1.0,28.5,,0.097,0.029,6,29,12,1.2,972,10156,,,,,,0.316,,,0.5,1.2,0.4,0.195,1603,0.053,0.005,0.006,1.3,0.4,13.3,,3.2,77,0.124,0.075,23,60.5,-0.04,7.2,0.8,0.005,1.5,,,,,,,,,2.0,,0.251,0.034,
