,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CMX,4,2022,12.5,0.8,11.6,,0.064,0.027,90,133,29,1.2,708,11428,,,,,,0.399,,,0.9,1.5,0.8,-0.14,1897,0.098,0.033,0.009,0.8,0.4,5.2,21.9,2.5,691,0.019,0.03,193,4.1,-0.067,1.1,0.6,0.033,0.5,,,,,,,,,1.1,,-0.238,0.006,
1,CMX,3,2022,13.8,1.0,10.5,,0.09,0.035,81,144,36,4.8,824,11364,,,,,,0.398,,,0.9,1.6,0.8,0.059,2487,0.123,0.071,0.032,0.7,0.4,4.1,6.2,2.5,823,0.037,0.056,189,4.5,0.0,1.2,0.7,0.071,0.7,,,,,,,,,1.1,,-0.177,0.033,
2,CMX,2,2022,19.8,1.4,11.7,,0.105,0.036,64,126,33,4.0,777,11003,,,,,,0.392,,,0.9,1.5,0.8,0.051,3021,0.128,0.071,0.023,0.8,0.4,4.8,7.5,2.5,750,0.025,0.038,157,5.7,-0.029,1.2,0.6,0.071,0.5,,,,,,,,,1.1,,0.232,0.019,
3,CMX,1,2022,28.9,2.0,16.9,,0.103,0.036,48,177,41,2.9,740,10800,,,,,,0.427,,,1.1,1.6,0.4,0.169,2453,0.169,0.079,0.041,0.6,0.3,5.1,2.5,2.3,618,0.012,0.011,184,7.6,-0.001,1.2,0.7,0.079,0.8,,,,,,,,,0.9,,0.093,0.017,
4,CMX,4,2021,27.5,1.6,19.0,,0.088,0.033,60,141,35,3.2,633,10622,,,,,,0.446,,,1.2,1.9,0.8,0.057,2245,0.125,0.058,0.024,0.6,0.3,5.3,2.3,2.2,734,0.021,0.015,166,6.0,-0.001,1.1,0.6,0.058,0.6,,,,,,,,,0.9,,-0.177,0.527,
5,CMX,3,2021,20.6,1.8,19.3,,0.113,0.035,54,186,61,4.5,599,6955,,,,,,0.367,,,0.9,1.6,0.5,0.161,2728,0.144,0.073,0.04,0.7,0.3,5.0,3.8,2.7,484,0.015,0.009,179,6.8,-0.002,1.0,0.7,0.073,0.8,,,,,,,,,1.1,,-0.316,0.848,
6,CMX,2,2021,23.3,3.2,15.5,,0.149,0.034,21,145,76,2.4,515,3763,,,,,,0.241,,,0.6,1.2,0.6,0.252,3991,0.091,0.042,0.024,1.2,0.4,5.6,4.6,4.2,176,0.004,0.003,90,17.2,0.06,1.1,0.7,0.042,0.9,,,,,,,,,1.7,,0.014,0.046,
7,CMX,1,2021,29.9,3.4,11.5,,0.124,0.026,12,231,92,2.4,412,3598,,,,,,0.227,,,0.5,1.0,0.2,-0.143,3936,0.225,0.114,0.039,1.2,0.4,6.1,39.2,4.4,30,0.027,0.037,151,29.2,0.0,0.8,0.7,0.114,0.5,,,,,,,,,1.8,,-0.249,-0.053,
8,CMX,4,2020,29.6,3.8,10.3,,0.152,0.033,-8,179,85,3.1,480,3798,,,,,,0.254,,,0.6,1.0,0.3,-0.504,5241,0.187,0.106,0.049,1.1,0.4,5.8,16.0,3.9,-10,0.011,0.015,86,,0.0,1.0,0.7,0.106,0.7,,,,,,,,,1.6,,0.084,0.04,
9,CMX,3,2020,13.4,3.6,11.9,,0.349,0.069,-3,180,92,3.0,968,3653,,,,,,0.235,,,0.6,1.0,0.4,-0.057,4837,0.114,0.069,0.032,1.1,0.4,5.8,14.7,4.3,27,0.062,0.072,85,,0.0,0.9,0.7,0.069,0.7,,,,,,,,,1.8,,-0.167,0.158,
