,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CPI,4,2022,14.8,-3.9,10.0,,-0.249,0.128,-3,7,77,,168,-646,,,,,,-0.505,,,-0.3,0.9,0.8,0.009,230,0.171,0.031,0.041,0.0,0.0,0.0,,-2.0,-2,-0.23,0.06,-73,,-0.329,1.3,0.8,0.031,1.7,,,,,,,,,-3.0,,-0.017,-0.028,
1,CPI,3,2022,20.4,-5.1,9.5,,-0.241,0.116,-11,14,105,,167,-664,,,,,,-0.455,,,-0.3,0.9,0.8,-0.114,234,0.179,0.213,0.171,0.0,0.0,0.0,,-2.2,-2,-0.304,0.084,-102,,-0.336,1.2,0.8,0.213,1.0,,,,,,,,,-3.2,,0.46,-0.096,
2,CPI,2,2022,22.8,-5.9,19.0,,-0.243,0.148,-32,3,100,,188,-734,,,,,,-0.564,,,-0.4,0.7,0.7,0.212,160,0.221,0.095,0.076,0.0,0.0,0.1,,-1.8,-4,-0.245,0.056,-128,,-0.206,1.3,0.8,0.095,1.0,,,,,,,,,-2.8,,0.418,-0.04,
3,CPI,1,2022,38.5,-7.8,32.6,,-0.197,0.118,-34,2,120,,155,-765,,,,,,-0.591,,,-0.4,0.7,0.7,0.855,113,0.218,0.125,0.116,0.0,0.0,0.2,,-1.7,-5,-0.154,0.031,-152,,-0.095,1.1,0.9,0.125,1.0,,,,,,,,,-2.7,,2.842,0.081,
4,CPI,4,2021,60.5,-7.2,177.9,,-0.112,0.063,-7,3,120,131.5,84,-707,,,,,,-0.523,,,-0.3,1.1,1.0,0.185,29,0.152,0.04,0.038,0.0,0.0,0.0,,-1.9,1,-0.091,0.012,-124,,-0.667,1.0,0.9,0.04,1.0,,,,,,,,,-2.9,,0.834,-0.023,
5,CPI,3,2021,87.4,-8.6,394.1,,-0.093,0.05,-25,3,162,38.5,70,-724,,,,,,-0.512,,,-0.3,0.9,0.9,-6.114,16,0.108,0.035,0.241,0.0,0.0,0.5,0.3,-2.0,-2,-0.281,0.031,-183,,-0.605,0.8,1.0,0.035,7.0,,,,,,,,,-3.0,,0.357,-0.112,
6,CPI,2,2021,-230.7,-3.9,639.8,,0.017,-0.01,-46,4,167,-19.2,-13,-816,,,,,,-0.653,,,-0.4,0.7,0.7,-11.392,12,0.078,,,0.0,0.0,0.7,0.3,-1.5,-6,-0.079,0.009,-209,,-0.547,0.9,,,0.1,,,,,,,,,-2.5,,-0.678,0.003,
7,CPI,1,2021,2547.8,-4.2,89.8,,-0.002,0.001,-35,1,189,-94.3,1,-813,,,,,,-0.609,,,-0.4,0.7,0.7,-0.917,37,0.049,,,-0.1,0.0,0.6,1.4,-1.6,-6,-0.058,0.014,-223,,-0.498,0.8,,,0.7,,,,,,,,,-2.6,,-0.294,0.026,
8,CPI,4,2020,93.0,-1.9,60.5,,-0.02,0.011,-20,1,174,,16,-793,,,,,,-0.605,,,-0.4,0.9,0.8,-0.301,52,0.123,0.017,0.015,0.0,0.0,0.0,,-1.7,-3,-0.056,0.014,-193,,0.0,0.9,0.8,0.017,1.1,,,,,,,,,-2.7,,-0.141,-0.005,
9,CPI,3,2020,43.3,-1.3,30.5,,-0.029,0.016,-24,1,169,,23,-797,,,,,,-0.554,,,-0.4,0.8,0.8,1.399,61,0.125,0.021,0.02,0.0,0.0,0.3,,-1.8,-4,-0.066,0.028,-192,,-0.103,0.9,0.9,0.021,1.1,,,,,,,,,-2.8,,0.264,-0.009,
10,CPI,2,2020,104.0,-1.2,19.3,,-0.012,0.006,-21,2,155,39.6,9,-804,,,,,,-0.564,,,-0.4,0.8,0.8,-1.33,48,0.138,0.045,0.042,0.0,0.0,0.0,,-1.8,-4,-0.094,0.075,-174,,-0.143,1.0,0.9,0.045,1.0,,,,,,,,,-2.8,,4.262,-0.016,
11,CPI,1,2020,-37.8,-1.3,104.5,,0.036,-0.018,-10,1,172,-37.1,-29,-816,,,,,,-0.535,,,-0.3,0.9,0.9,0.09,9,0.074,,,0.0,0.0,1.4,,-1.9,-3,-0.06,0.049,-182,,-0.364,0.9,,,0.4,,,,,,,,,-2.9,,-0.141,0.009,
