,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CRC,4,2022,5.8,0.4,7.0,,0.073,0.041,100,68,13,1.8,870,12347,,,,,,0.572,,,1.4,1.6,1.4,0.004,1970,0.11,0.092,0.047,0.7,0.4,4.2,1.5,1.7,109,0.078,0.194,155,3.6,-0.091,0.7,1.0,0.092,0.5,,,,,,,,,0.7,,-0.317,0.01,
1,CRC,3,2022,7.0,0.5,6.7,,0.094,0.048,77,87,9,2.9,866,12229,,,,,,0.554,,,1.3,1.6,1.2,0.347,2887,0.095,0.083,0.053,0.7,0.4,3.6,1.4,1.8,112,0.037,0.079,155,4.7,-1.259,0.7,0.9,0.083,0.7,,,,,,,,,0.8,,0.154,0.019,
2,CRC,2,2022,10.2,0.5,7.6,,0.071,0.034,102,89,21,2.5,643,12005,,,,,,0.542,,,1.2,1.6,1.2,0.291,2501,0.126,0.108,0.063,0.7,0.4,4.4,1.3,1.8,108,0.03,0.069,171,3.6,-1.225,0.5,0.9,0.108,0.6,,,,,,,,,0.8,,0.233,0.019,
3,CRC,1,2022,21.5,0.9,10.2,,0.056,0.025,125,105,117,3.5,498,11784,,,,,,0.552,,,1.3,1.7,1.3,0.878,2028,0.131,0.121,0.082,0.7,0.4,3.9,1.0,1.8,107,0.05,0.08,113,2.9,-1.123,0.5,0.9,0.121,0.7,,,,,,,,,0.8,,0.272,0.023,
4,CRC,4,2021,43.0,1.0,14.1,,0.03,0.013,70,156,218,2.6,265,11521,,,,,,0.548,,,1.2,1.9,1.2,0.015,1594,0.154,0.121,0.075,0.7,0.4,4.7,0.6,1.8,122,0.048,0.053,8,5.2,-1.471,0.6,0.9,0.121,0.7,,,,,,,,,0.8,,0.019,0.832,
5,CRC,3,2021,42.6,1.8,21.8,,0.043,0.018,17,52,23,2.1,261,6288,,,,,,0.439,,,0.8,1.3,0.8,-0.079,1565,0.17,0.155,0.001,1.1,0.5,6.3,2.6,2.3,53,0.065,0.038,46,21.7,0.262,1.5,0.0,0.155,0.7,,,,,,,,,1.3,,0.09,0.011,
6,CRC,2,2021,31.3,1.4,26.1,,0.047,0.02,34,39,9,1.0,283,6221,,,,,,0.395,,,0.7,1.2,1.0,0.255,1436,0.041,0.026,0.021,1.2,0.5,8.8,2.8,2.5,54,0.087,0.045,63,10.9,-1.005,1.7,1.0,0.026,0.8,,,,,,,,,1.5,,0.179,0.024,
7,CRC,1,2021,49.6,1.8,10.4,,0.038,0.014,51,60,49,4.4,226,6073,,,,,,0.323,,,0.5,1.3,1.0,0.296,1218,0.046,0.036,0.012,0.5,0.2,7.3,,3.1,96,0.307,0.382,62,7.2,-1.196,1.3,0.4,0.036,0.8,,,,,,,,,2.1,,0.265,0.005,
8,CRC,4,2020,52.7,1.5,16.0,,0.029,0.01,33,103,80,8.6,174,6041,,,,,,0.294,,,0.4,1.0,0.6,0.073,963,0.026,0.014,0.01,0.5,0.2,8.9,,3.4,17,0.226,0.275,56,10.9,-0.563,1.1,0.8,0.014,0.9,,,,,,,,,2.4,,-0.078,0.02,
9,CRC,3,2020,69.3,1.9,13.2,,0.028,0.012,40,114,46,1.2,162,5922,,,,,,0.397,,,0.7,1.0,0.7,-0.181,1044,0.032,0.023,0.007,0.5,0.2,8.0,,2.5,9,0.078,0.11,108,9.2,-3.698,1.0,0.8,0.023,0.4,,,,,,,,,1.5,,0.307,0.021,
