,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CRE,4,2022,15.5,0.5,14.3,,0.044,0.028,308,65,19,-2.6,423,12054,,,,,,0.729,,,2.7,3.3,3.0,-0.487,1026,,,,0.2,0.1,4.0,1.2,1.4,3674,0.019,0.035,354,1.2,-0.142,0.5,,,0.9,,,,,,,,,0.4,,-0.744,0.54,
1,CRE,3,2022,17.6,1.9,10.1,,0.129,0.062,142,80,17,1.9,825,7829,,,,,,0.528,,,1.1,1.9,1.8,-0.118,4009,0.237,0.101,0.037,0.5,0.3,3.5,1.1,1.9,2110,0.046,0.04,205,2.6,-0.139,0.7,0.6,0.101,0.6,,,,,,,,,0.9,,-0.084,0.008,
2,CRE,2,2022,13.8,1.7,12.1,,0.148,0.071,152,98,25,2.7,936,7766,,,,,,0.513,,,1.1,1.9,1.7,-0.096,4376,0.425,0.172,0.13,0.6,0.3,3.3,1.2,1.9,2188,0.034,0.021,225,2.4,-0.143,0.7,0.8,0.172,1.0,,,,,,,,,0.9,,-0.112,0.013,
3,CRE,1,2022,22.5,3.0,9.8,,0.169,0.08,127,45,9,5.6,1035,7669,,,,,,0.508,,,1.0,1.8,1.6,0.049,4925,0.236,0.1,0.075,0.6,0.3,2.5,1.1,2.0,1894,0.021,0.014,163,2.9,-0.144,0.9,0.8,0.1,0.9,,,,,,,,,1.0,,0.001,0.043,
4,CRE,4,2021,24.5,3.3,12.1,,0.169,0.09,97,23,12,3.5,987,7349,,,,,,0.542,,,1.2,2.2,1.9,0.052,4919,0.305,0.153,0.119,0.5,0.3,1.8,0.8,1.8,2221,0.036,0.02,108,3.8,-0.147,1.1,0.8,0.153,1.0,,,,,,,,,0.8,,-0.327,0.47,
5,CRE,3,2021,19.4,3.6,14.7,,0.202,0.103,72,47,9,3.2,938,5001,,,,,,0.422,,,0.7,1.6,1.1,0.057,7304,0.242,0.158,0.094,0.9,0.4,1.8,1.3,2.4,1316,0.045,0.015,111,5.0,-0.152,1.3,0.8,0.158,0.7,,,,,,,,,1.3,,0.107,0.033,
6,CRE,2,2021,16.8,3.1,14.7,,0.197,0.105,87,58,7,3.4,887,4841,,,,,,0.435,,,0.8,1.8,1.1,0.096,6600,0.182,0.117,0.077,0.9,0.4,1.8,1.2,2.3,1554,0.048,0.017,138,4.2,-0.174,1.3,0.8,0.117,0.8,,,,,,,,,1.3,,0.147,0.05,
7,CRE,1,2021,13.2,2.3,10.9,,0.188,0.098,126,45,10,20.7,809,4609,,,,,,0.428,,,0.8,2.0,1.7,0.271,5757,0.128,0.077,0.06,0.8,0.3,1.7,0.8,2.3,1956,0.132,0.07,161,2.9,-0.134,1.0,0.8,0.077,1.0,,,,,,,,,1.3,,0.156,0.061,
8,CRE,4,2020,15.1,2.2,8.5,,0.153,0.09,150,28,41,262.9,637,4345,,,,,,0.518,,,1.1,1.5,1.5,-0.033,4980,0.253,0.149,0.132,0.4,0.2,1.1,0.8,1.9,762,0.125,0.077,137,2.4,-0.201,0.6,0.9,0.149,1.0,,,,,,,,,0.9,,-0.054,0.01,
9,CRE,3,2020,9.5,1.5,6.0,,0.165,0.108,151,41,38,16.2,658,4302,,,,,,0.672,,,2.3,1.9,1.8,-0.095,5263,0.231,0.125,0.092,0.1,0.0,0.3,,1.5,798,0.079,0.066,155,2.4,-0.257,0.7,0.7,0.125,1.1,,,,,,,,,0.4,,-0.096,0.028,
