,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CSC,4,2022,3.0,1.3,2.3,,0.558,0.116,171,478,105,7.5,10349,23224,,,,,,0.247,,,0.5,1.6,0.5,-0.093,19131,0.189,0.102,0.048,0.5,0.2,1.0,2.2,4.0,879,0.333,0.333,544,2.1,-0.082,0.8,0.5,0.102,0.9,,,,,,,,,2.0,,-0.075,0.014,
1,CSC,3,2022,5.4,2.7,2.5,,0.645,0.144,189,360,68,145.6,11404,22911,,,,,,0.287,,,0.6,2.0,0.7,0.478,20682,0.38,0.286,0.159,0.5,0.2,0.9,0.6,3.5,971,0.38,0.303,481,1.9,-0.082,1.0,0.5,0.286,1.0,,,,,,,,,1.6,,0.396,0.212,
2,CSC,2,2022,7.2,2.9,4.2,,0.498,0.103,249,383,63,142.6,7717,18910,,,,,,0.211,,,0.4,1.6,0.6,1.137,14814,0.418,0.317,0.19,0.8,0.2,1.5,1.2,4.8,833,0.644,0.357,569,1.5,-0.078,0.7,0.6,0.317,1.0,,,,,,,,,2.6,,1.119,0.202,
3,CSC,1,2022,28.3,6.5,14.0,,0.259,0.05,241,507,47,48.8,3610,15730,,,,,,0.169,,,0.3,1.4,0.5,0.86,6990,0.339,0.246,0.147,1.3,0.3,4.0,1.7,5.9,693,0.646,0.177,701,1.5,-0.086,0.5,0.6,0.246,1.0,,,,,,,,,3.8,,0.842,0.132,
4,CSC,4,2021,57.9,8.1,28.3,,0.147,0.03,336,571,52,-11.7,1940,13900,,,,,,0.166,,,0.2,1.6,0.6,-0.165,3795,0.255,0.14,0.088,1.4,0.3,6.3,1.6,6.0,742,0.488,0.108,855,1.1,-0.03,0.4,0.6,0.14,1.0,,,,,,,,,4.1,,3.068,0.119,
5,CSC,3,2021,27.7,5.2,137.5,,0.204,0.04,819,1074,49,2.0,2324,12424,,,,,,0.159,,,0.2,2.2,0.8,0.132,933,0.13,0.084,0.059,1.4,0.3,20.4,0.6,6.3,1041,0.321,0.051,1843,0.4,-0.019,0.2,0.8,0.084,0.9,,,,,,,,,4.3,,0.795,0.026,
6,CSC,2,2021,25.7,4.3,320.4,,0.183,0.042,1076,896,103,2.7,2052,12111,,,,,,0.2,,,0.3,4.3,2.3,0.151,520,0.215,0.063,0.032,1.3,0.3,35.3,0.2,5.0,1124,0.315,0.037,1869,0.3,-0.01,0.2,0.6,0.063,0.8,,,,,,,,,3.2,,-513.201,-0.005,
7,CSC,1,2021,16.3,2.4,-85008.1,,0.156,0.041,525,487,90,2.5,1783,12173,,,,,,0.242,,,0.4,1.8,1.1,0.074,-1,0.094,0.038,0.019,1.7,0.5,-21117.9,1.8,4.1,541,0.35,0.103,921,0.7,-0.048,0.2,0.7,0.038,0.7,,,,,,,,,2.5,,-0.992,-0.029,
8,CSC,4,2020,13.6,1.8,-425.2,,0.143,0.04,861,629,110,-2.6,1660,12535,,,,,,0.279,,,0.5,2.2,1.3,-9.465,-132,0.05,,1.843,1.1,0.4,-114.3,1.0,3.6,582,0.63,0.29,1380,0.4,-0.047,0.2,0.5,,-28.4,,,,,,,,,1.9,,-1.759,0.207,
9,CSC,3,2020,-97.1,1.8,232.4,,-0.019,-0.006,361,313,91,1.3,-196,10382,,,,,,0.282,,,0.5,1.7,1.0,-0.138,174,0.091,0.027,0.016,1.0,0.3,59.4,2.2,3.5,364,0.174,0.103,584,1.0,-2.981,0.3,1.1,0.027,0.5,,,,,,,,,1.9,,-0.1,0.003,
10,CSC,2,2020,-86.7,1.9,191.6,,-0.022,-0.007,306,286,103,-3.5,-227,10353,,,,,,0.275,,,0.5,1.6,0.9,3.094,193,,,,1.0,0.3,50.5,3.4,3.6,326,0.172,0.117,489,1.2,-3.639,0.4,,,0.7,,,,,,,,,2.1,,-0.804,-0.033,
11,CSC,1,2020,-330.6,1.7,37.0,,-0.005,-0.002,128,81,151,0.0,-55,10707,,,,,,0.298,,,0.5,1.2,1.0,-1.378,984,0.203,,,0.8,0.3,8.8,3.0,3.4,76,0.146,0.101,58,2.8,-4.951,0.5,,,16.3,,,,,,,,,1.8,,0.403,-0.108,
12,CSC,4,2019,195.8,2.4,42.0,,0.012,0.004,261,60,182,2.3,146,11997,,,,,,0.278,,,0.5,1.4,1.2,-0.693,701,0.076,0.022,0.001,0.6,0.2,9.2,1.0,3.6,176,0.289,0.194,139,1.4,-4.836,0.5,6.9,0.022,0.4,,,,,,,,,2.1,,-0.371,0.004,
13,CSC,3,2019,31.4,1.3,44.4,,0.039,0.015,148,68,95,0.9,478,11950,,,,,,0.365,,,0.7,1.6,1.4,-0.077,1114,0.086,0.022,0.003,0.4,0.2,5.3,2.3,2.7,213,0.108,0.054,121,2.5,-1.934,0.7,4.0,0.022,0.6,,,,,,,,,1.4,,0.172,0.0,
14,CSC,2,2019,30.0,1.3,32.2,,0.042,0.017,138,62,92,4.7,518,11948,,,,,,0.384,,,0.8,1.6,1.3,-0.875,951,0.104,0.066,-0.003,0.3,0.1,5.8,3.3,2.6,197,0.137,0.115,108,2.6,-1.427,0.8,-2.8,0.066,0.1,,,,,,,,,1.3,,-2.109,-0.043,
15,CSC,1,2019,3.4,1.1,-28.6,,0.381,0.145,121,69,79,-3.5,4148,12488,,,,,,0.39,,,0.8,1.6,1.4,-0.252,-857,0.015,-0.136,0.079,0.3,0.1,-5.9,4.0,2.6,225,0.279,0.271,111,3.0,-0.094,0.8,0.8,-0.136,-0.5,,,,,,,,,1.2,,0.144,-0.032,
16,CSC,4,2018,2.7,1.2,-24.5,,0.538,0.185,166,52,99,5.2,5547,12905,,,,,,0.383,,,0.8,1.8,1.6,-0.14,-749,0.036,0.025,0.031,0.2,0.1,-7.4,3.6,2.6,290,0.389,0.401,120,2.2,-0.097,0.7,1.2,0.025,1.5,,,,,,,,,1.2,,-0.639,0.021,
17,CSC,3,2018,1.7,0.9,-13.2,,0.68,0.228,140,101,101,-0.1,6451,12633,,,,,,0.411,,,0.9,1.9,1.6,0.005,-2074,0.067,-0.001,0.01,0.2,0.1,-3.4,1.5,2.4,294,0.47,0.484,140,2.6,-0.078,0.7,0.3,-0.001,-2.3,,,,,,,,,1.1,,0.183,0.006,
