,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CTC,4,2022,-1.2,0.2,-12.3,,-0.188,-0.078,-378.0,389,120.0,0.0,-1533,7871,,,,,,0.406,,,0.7,0.7,0.4,0.246,-801.0,0.155,0.03,,1.0,0.4,-9.6,5.5,2.5,-48,0.002,0.008,-109.0,,-0.003,0.1,,0.03,-30.2,,,,,,,,,1.5,,0.236,0.092,
1,CTC,3,2022,-2.8,0.5,-15.6,,-0.157,-0.065,-207.0,212,105.0,0.7,-1230,7207,,,,,,0.388,,,0.6,0.7,0.4,0.048,-648.0,0.298,0.108,,1.1,0.4,-12.2,5.7,2.6,-48,0.001,0.004,-100.0,,-0.002,0.2,,0.108,-0.5,,,,,,,,,1.6,,0.291,-0.003,
2,CTC,2,2022,-3.6,0.6,-20.3,,-0.15,-0.065,-211.0,159,71.0,-5.5,-1174,7230,,,,,,0.404,,,0.7,0.7,0.4,-2.337,-502.0,,,,1.0,0.4,-15.2,5.2,2.5,-49,0.002,0.005,-123.0,,0.0,0.2,,,1.2,,,,,,,,,1.5,,-1.306,-0.145,
3,CTC,1,2022,12.4,1.3,7.3,,0.11,0.044,-91.0,82,70.0,1.1,878,8454,,,,,,0.424,,,0.7,0.8,0.6,0.003,1643.0,0.164,0.133,0.015,0.9,0.4,4.6,5.2,2.4,-31,0.005,0.01,-79.0,,-0.005,0.5,1.0,0.133,0.1,,,,,,,,,1.4,,0.064,0.002,
4,CTC,4,2021,10.5,1.1,8.6,,0.109,0.047,-98.0,50,40.0,1.0,875,8434,,,,,,0.425,,,0.7,0.8,0.6,-0.055,1545.0,0.095,0.074,,0.9,0.4,4.7,5.2,2.4,-34,0.001,0.002,-88.0,,-0.005,0.5,,0.074,0.0,,,,,,,,,1.4,,-0.378,0.0,
5,CTC,3,2021,8.6,0.9,8.1,,0.161,0.054,-125.0,46,61.0,1.2,926,8438,,,,,,0.432,,,0.8,0.8,0.6,0.031,2485.0,0.119,0.315,0.054,0.9,0.4,4.2,4.3,2.3,-30,0.009,0.009,-141.0,,-0.005,0.7,1.0,0.315,0.2,,,,,,,,,1.3,,0.067,0.004,
6,CTC,2,2021,5.2,0.6,8.4,,0.157,0.055,-126.0,31,44.0,3.9,898,8405,,,,,,0.455,,,0.8,0.8,0.6,11.035,2329.0,0.11,0.182,0.136,0.9,0.4,4.2,4.5,2.2,-34,0.009,0.01,-139.0,,-0.004,0.8,1.0,0.182,0.7,,,,,,,,,1.2,,0.82,0.109,
7,CTC,1,2021,45.5,0.4,11.9,,0.013,0.005,-178.0,63,84.0,1.3,74,7576,,,,,,0.376,,,0.6,0.7,0.6,0.153,1280.0,0.151,0.092,0.021,1.0,0.4,7.6,6.0,2.7,-49,0.003,0.005,-199.0,,0.0,0.5,1.0,0.092,0.2,,,,,,,,,1.7,,-0.02,0.0,
8,CTC,4,2020,57.1,0.5,12.6,,0.01,0.004,-122.0,36,69.0,1.1,64,7576,,,,,,0.435,,,0.8,0.6,0.5,6.008,1306.0,0.085,0.12,0.01,0.9,0.4,7.1,2.8,2.3,-49,0.006,0.011,-154.0,,0.0,0.5,1.0,0.12,0.1,,,,,,,,,1.3,,0.083,1.468,
9,CTC,3,2020,389.4,1.2,17.7,,0.002,0.001,-363.0,97,177.0,1.1,9,3069,,,,,,0.209,,,0.3,0.4,0.3,0.56,1206.0,0.179,0.07,0.005,2.7,0.6,11.7,5.8,4.8,-102,0.006,0.006,-443.0,,-0.003,0.3,1.0,0.07,0.1,,,,,,,,,3.8,,-0.127,0.002,
10,CTC,2,2020,590.8,1.1,12.6,,0.001,0.0,-352.0,90,216.0,1.4,5,3064,,,,,,0.212,,,0.3,0.3,0.3,2.803,1380.0,0.27,0.181,0.003,2.4,0.5,9.6,5.0,4.7,-104,0.014,0.018,-478.0,,-0.007,0.3,1.0,0.181,0.0,,,,,,,,,3.7,,0.355,-0.191,
11,CTC,1,2020,1669.0,0.7,17.8,,0.0,0.0,-321.0,109,176.0,1.0,1,3788,,,,,,0.294,,,0.4,0.4,0.3,1.368,1018.0,0.255,0.1,0.008,2.0,0.6,13.1,4.8,3.4,-76,0.011,0.015,-388.0,,-0.007,0.3,1.0,0.1,0.1,,,,,,,,,2.4,,-0.092,-0.353,
12,CTC,4,2019,5168.3,0.6,14.7,,0.0,0.0,79.0,109,159.0,1.0,0,5858,,,,,,0.38,,,0.6,0.7,0.6,-0.984,1122.0,0.411,0.187,-0.008,1.3,0.5,12.2,3.3,2.6,-38,0.014,0.045,29.0,4.6,-0.008,0.3,1.0,0.187,0.0,,,,,,,,,1.6,,-0.046,-0.001,
13,CTC,3,2019,83.8,0.6,14.6,,0.007,0.003,72.0,106,119.0,1.0,41,5867,,,,,,0.395,,,0.7,0.6,0.5,-0.037,1176.0,0.344,0.139,0.002,1.3,0.5,11.3,4.6,2.5,-47,0.005,0.012,59.0,5.1,-0.005,0.3,1.0,0.139,0.0,,,,,,,,,1.5,,0.285,0.003,
14,CTC,2,2019,87.7,0.6,18.0,,0.007,0.003,72.0,125,120.0,1.0,43,5849,,,,,,0.389,,,0.6,0.6,0.5,-0.087,915.0,0.281,0.072,0.0,1.3,0.5,14.6,4.0,2.6,-46,0.008,0.026,77.0,5.1,-0.006,0.4,1.0,0.072,0.0,,,,,,,,,1.6,,0.293,0.0,
15,CTC,1,2019,75.8,0.6,24.0,,0.008,0.003,69.0,117,114.0,1.1,47,5849,,,,,,0.385,,,0.6,0.6,0.4,0.049,708.0,0.296,0.105,0.005,1.3,0.5,18.9,4.7,2.6,-51,0.011,0.032,71.0,5.3,-0.003,0.4,1.0,0.105,0.0,,,,,,,,,1.6,,0.522,0.001,
16,CTC,4,2018,97.2,0.8,35.9,,0.008,0.003,70.0,114,116.0,,45,5845,,,,,,0.377,,,0.6,0.7,0.5,-2.125,465.0,0.407,0.201,0.027,1.3,0.5,29.3,2.7,2.7,-40,0.074,0.206,68.0,5.2,-0.004,0.4,1.0,0.201,0.1,,,,,,,,,1.7,,-2.762,-0.001,
17,CTC,3,2018,-91.9,0.6,-65.6,,-0.007,-0.003,65.0,112,146.0,0.2,-40,5851,,,,,,0.393,,,0.6,0.6,0.4,-15.42,-264.0,0.215,0.017,0.003,1.3,0.5,-52.1,2.4,2.5,-42,0.039,0.092,31.0,5.7,-0.004,0.4,1.0,0.017,0.2,,,,,,,,,1.5,,0.478,0.001,
18,CTC,2,2018,1505.0,0.7,-97.1,,0.0,0.0,58.0,121,118.0,-0.2,2,5847,,,,,,0.386,,,0.6,0.6,0.4,-1.346,-179.0,0.181,-0.016,0.003,1.3,0.5,-81.6,3.6,2.6,-52,0.008,0.02,62.0,6.3,-0.002,0.4,1.0,-0.016,-0.2,,,,,,,,,1.6,,-0.514,0.001,
19,CTC,1,2018,-483.5,0.7,-48.6,,-0.001,0.0,51.0,99,92.0,0.2,-8,5843,,,,,,0.381,,,0.6,0.6,0.4,-1.162,-367.0,0.246,0.014,0.003,1.3,0.5,-39.9,2.9,2.6,-51,0.009,0.02,58.0,7.1,-0.005,0.5,1.0,0.014,0.2,,,,,,,,,1.6,,2.605,-0.003,
20,CTC,4,2017,68.2,0.6,-175.7,,0.008,0.003,58.0,115,109.0,-0.9,49,5861,,,,,,0.383,,,0.6,0.6,0.4,-0.856,-102.0,0.285,-0.101,-0.032,1.3,0.5,-141.9,1.6,2.6,-39,0.013,0.035,64.0,6.3,-0.004,0.5,1.0,-0.101,0.3,,,,,,,,,1.6,,-1.113,-0.009,
