,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CTW,4,2022,25.6,2.0,8.3,,0.078,0.047,6,108,30,5.3,1190,15566,,,,,,0.609,,,2.3,1.1,0.6,-0.169,4366,0.443,0.18,0.025,0.3,0.2,1.3,0.6,1.6,9,0.082,0.048,84,60.2,-0.108,0.4,0.2,0.18,0.8,,,,,,,,,0.4,,-0.025,0.011,
1,CTW,3,2022,12.6,1.2,8.1,,0.095,0.056,-12,116,34,6.6,1431,15403,,,,,,0.593,,,2.1,1.0,0.6,0.034,4476,0.422,0.204,0.129,0.3,0.2,1.2,0.6,1.7,2,0.097,0.056,70,,-0.076,0.4,0.8,0.204,0.8,,,,,,,,,0.5,,0.039,-0.021,
2,CTW,2,2022,14.4,1.3,4.8,,0.09,0.055,8,125,28,6.0,1384,15739,,,,,,0.624,,,2.4,1.0,0.5,-0.003,4309,0.486,0.187,0.11,0.3,0.2,1.2,0.9,1.6,5,0.05,0.063,105,44.2,-0.102,0.4,0.7,0.187,0.8,,,,,,,,,0.4,,0.002,0.018,
3,CTW,1,2022,19.7,1.8,6.2,,0.092,0.055,13,118,41,7.4,1389,15457,,,,,,0.615,,,2.4,1.1,0.6,-0.007,4302,0.497,0.254,0.178,0.3,0.2,1.2,0.7,1.6,12,0.056,0.05,90,28.9,-0.114,0.4,0.8,0.254,0.9,,,,,,,,,0.4,,0.019,0.028,
4,CTW,4,2021,17.7,1.6,6.8,,0.095,0.057,-3,95,37,7.0,1398,15035,,,,,,0.598,,,2.2,1.0,0.7,-0.06,4224,0.377,0.176,0.102,0.3,0.2,1.2,0.7,1.7,1,0.062,0.047,55,,-0.148,0.4,0.7,0.176,0.8,,,,,,,,,0.5,,-0.01,0.022,
5,CTW,3,2021,8.1,0.8,6.8,,0.104,0.057,16,116,44,5.9,1488,14715,,,,,,0.583,,,2.0,0.9,0.5,-0.048,4265,0.415,0.198,0.138,0.3,0.2,1.1,0.8,1.7,-22,0.063,0.046,88,23.3,-0.177,0.4,0.8,0.198,0.9,,,,,,,,,0.5,,-0.025,-0.029,
6,CTW,2,2021,5.5,0.6,4.7,,0.109,0.055,106,110,36,6.8,1563,15153,,,,,,0.597,,,2.1,1.1,0.7,-0.03,4376,0.507,0.202,0.116,0.3,0.2,1.1,1.0,1.7,8,0.098,0.111,181,3.4,-0.155,0.4,0.7,0.202,0.8,,,,,,,,,0.5,,0.012,0.022,
7,CTW,1,2021,9.2,1.0,3.4,,0.113,0.057,147,103,37,8.2,1611,14832,,,,,,0.59,,,2.1,1.1,0.6,0.032,4323,0.47,0.236,0.184,0.3,0.2,1.0,0.6,1.7,8,0.078,0.146,213,2.5,-0.148,0.4,0.8,0.236,1.0,,,,,,,,,0.5,,0.014,0.03,
8,CTW,4,2020,8.9,1.0,4.3,,0.113,0.057,128,90,32,7.0,1562,14397,,,,,,0.603,,,2.1,0.9,0.6,0.055,4265,0.432,0.208,0.133,0.3,0.2,1.0,0.7,1.7,-7,0.053,0.061,186,2.8,-0.124,0.4,0.8,0.208,0.9,,,,,,,,,0.5,,0.044,0.026,
9,CTW,3,2020,11.0,1.2,8.4,,0.109,0.049,165,113,39,5.2,1480,14034,,,,,,0.521,,,1.4,1.3,1.0,0.142,4086,0.458,0.233,0.148,0.3,0.2,1.1,1.3,1.9,48,0.097,0.051,239,2.2,-0.121,0.3,0.8,0.233,0.8,,,,,,,,,0.7,,0.123,0.044,
10,CTW,2,2020,6.4,0.6,5.1,,0.099,0.042,235,108,39,6.4,1296,13449,,,,,,0.431,,,0.9,2.1,1.8,-0.102,3638,0.456,0.201,0.137,0.3,0.1,1.2,1.4,2.3,170,0.034,0.039,304,1.6,-0.125,0.3,0.8,0.201,0.8,,,,,,,,,1.1,,-0.042,-0.017,
11,CTW,1,2020,6.2,0.7,4.2,,0.108,0.048,264,96,31,10.2,1443,13678,,,,,,0.438,,,1.0,3.4,3.0,0.023,3796,0.478,0.226,0.162,0.3,0.1,1.1,0.7,2.3,235,0.026,0.039,329,1.4,-0.113,0.4,0.7,0.226,1.0,,,,,,,,,1.0,,0.007,0.026,
12,CTW,4,2019,5.8,0.6,,,0.108,0.047,20,91,33,8.1,1411,13332,,,,,,0.429,,,0.9,3.0,2.6,0.054,3772,0.46,0.193,0.12,0.3,0.1,1.1,0.8,2.3,220,0.033,,78,18.6,-0.099,0.4,1.5,0.193,0.9,,,,,,,,,1.1,,0.053,0.025,
13,CTW,3,2019,6.4,0.7,3.8,,0.105,0.043,22,100,44,7.6,1339,13010,,,,,,0.392,,,0.8,2.2,1.9,-0.007,3582,0.456,0.187,0.089,0.3,0.1,1.1,0.8,2.6,219,0.204,0.282,78,16.5,-0.115,0.3,1.6,0.187,0.8,,,,,,,,,1.3,,-0.018,0.017,
14,CTW,2,2019,5.9,0.6,3.1,,0.108,0.046,23,95,45,11.8,1349,12791,,,,,,0.418,,,0.9,2.5,2.2,0.135,3648,0.446,0.23,0.161,0.3,0.1,1.1,0.9,2.4,199,0.04,0.096,73,16.1,-0.125,0.3,1.4,0.23,1.0,,,,,,,,,1.1,,0.072,-0.022,
15,CTW,1,2019,4.0,0.4,4.2,,0.092,0.042,16,106,38,10.8,1189,13076,,,,,,0.444,,,1.0,3.1,2.6,0.069,3402,0.432,0.256,0.16,0.3,0.1,1.2,0.8,2.3,200,0.025,0.041,84,22.6,-0.137,0.3,1.4,0.256,0.9,,,,,,,,,1.0,,0.069,0.026,
16,CTW,4,2018,4.3,0.4,3.2,,0.089,0.04,18,95,33,7.3,1112,12744,,,,,,0.437,,,1.0,2.8,2.4,-0.021,3184,0.38,0.152,0.109,0.3,0.1,1.2,0.9,2.3,186,0.025,0.059,80,20.4,-0.145,0.3,1.5,0.152,1.1,,,,,,,,,1.0,,0.005,0.019,
17,CTW,3,2018,4.2,0.4,3.2,,0.093,0.042,18,96,36,7.4,1136,12505,,,,,,0.434,,,0.9,2.5,2.1,0.034,3167,0.346,0.16,0.102,0.3,0.1,1.0,0.9,2.3,180,0.067,0.155,78,20.1,-0.175,0.3,1.6,0.16,1.0,,,,,,,,,1.1,,-0.023,0.019,
18,CTW,2,2018,4.4,0.4,3.3,,0.091,0.041,18,105,48,11.0,1099,12276,,,,,,0.439,,,1.0,2.4,2.0,0.078,3242,0.45,0.27,0.17,0.3,0.1,0.9,1.2,2.3,165,0.034,0.091,75,20.0,-0.186,0.3,1.4,0.27,0.9,,,,,,,,,1.0,,0.09,-0.029,
