,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DAC,4,2015,-1.1,0.7,-10.0,,-0.463,-0.17,32,83,51.0,-5.5,-6381,10533,,,,,,0.315,,,0.5,0.5,0.3,0.246,-2265.0,0.063,-0.075,-0.098,0.9,0.3,-4.0,6.5,3.2,-10,0.025,0.019,64.0,11.3,0.0,1.1,1.0,-0.075,1.3,,,,,,,,,2.2,,0.681,-0.117,
1,DAC,3,2015,-1.4,0.6,-12.0,,-0.339,-0.129,39,98,43.0,-6.3,-5120,11923,,,,,,0.303,,,0.4,0.6,0.2,0.6,-1347.0,0.041,-0.14,-0.167,0.8,0.3,-6.9,4.4,3.3,-11,0.097,0.158,94.0,9.5,-0.043,1.0,1.0,-0.14,1.2,,,,,,,,,2.3,,-4.649,-0.12,
2,DAC,2,2015,-2.3,0.5,44.7,,-0.204,-0.082,33,78,37.0,-14.1,-3200,13552,,,,,,0.336,,,0.5,0.6,0.2,23.573,369.0,-0.041,-0.21,-0.227,0.7,0.2,22.8,4.3,3.0,-10,0.063,0.116,73.0,11.2,-0.182,1.0,1.0,-0.21,1.1,,,,,,,,,2.0,,-0.887,-0.158,
3,DAC,1,2015,-51.4,0.4,4.5,,-0.008,-0.003,28,102,53.0,-4.7,-130,16096,,,,,,0.379,,,0.6,0.6,0.2,-1.259,3261.0,0.021,-0.104,-0.13,0.5,0.2,2.3,63.4,2.6,-10,0.041,0.091,77.0,12.8,-0.178,1.0,1.0,-0.104,1.2,,,,,,,,,1.6,,-0.194,-0.056,
4,DAC,4,2014,,,3.1,,0.028,0.012,30,110,49.0,0.4,503,17052,,,,,,0.409,,,0.7,0.7,0.2,-0.761,4046.0,0.129,0.007,-0.012,0.5,0.2,2.1,68.5,2.4,-8,0.088,0.245,91.0,12.3,-0.124,1.0,1.0,0.007,-1.8,,,,,,,,,1.4,,-0.123,-0.067,
5,DAC,3,2014,,,2.3,,0.119,0.052,31,99,42.0,3.7,2106,18275,,,,,,0.457,,,0.8,0.7,0.2,1.072,4612.0,0.161,0.056,0.042,0.5,0.2,1.8,20.7,2.2,-7,0.11,0.223,88.0,11.8,-0.07,1.0,1.0,0.056,0.7,,,,,,,,,1.2,,0.277,0.024,
6,DAC,2,2014,,,3.7,,0.057,0.025,28,88,41.0,5.8,1016,17847,,,,,,0.47,,,0.9,0.7,0.3,3.866,3611.0,0.149,0.05,0.039,0.4,0.2,2.2,34.1,2.1,-7,0.298,0.7,75.0,12.8,-0.009,1.0,1.0,0.05,0.8,,,,,,,,,1.1,,0.213,0.03,
7,DAC,1,2014,,,4.6,,0.012,0.005,27,120,45.0,-0.7,208,17321,,,,,,0.443,,,0.8,0.5,0.1,-1.179,2976.0,0.084,-0.018,-0.046,0.4,0.2,3.1,37.0,2.3,-10,0.081,0.171,102.0,13.4,-0.008,0.9,1.0,-0.018,2.6,,,,,,,,,1.3,,0.645,-0.07,
8,DAC,4,2013,,,7.7,,-0.061,-0.026,26,130,53.0,2.9,-1168,18633,,,,,,0.449,,,0.8,0.6,0.2,-0.785,1809.0,0.211,0.05,0.135,0.5,0.2,5.4,43.2,2.2,-9,0.161,0.44,104.0,13.8,-0.014,0.9,1.0,0.05,2.7,,,,,,,,,1.2,,-3.303,0.086,
9,DAC,3,2013,,,-15.0,,-0.273,-0.12,32,114,49.0,-1.9,-5428,17160,,,,,,0.416,,,0.7,0.5,0.1,-0.033,-785.0,0.097,-0.047,-0.077,0.4,0.2,-11.6,4.3,2.4,-11,0.031,0.131,96.0,11.6,-0.009,0.8,1.0,-0.047,1.6,,,,,,,,,1.4,,-0.045,-0.037,
