,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DAE,4,2022,11.3,0.8,3.9,,0.073,0.061,152,126,32.0,,1905,26095,,,,,,0.829,,,4.9,4.3,2.3,-0.341,3833.0,0.423,,,0.0,0.0,0.0,,1.2,27,0.14,0.17,245.0,2.4,0.0,1.4,,,0.9,,,,,,,,,0.2,,-0.046,-0.019,
1,DAE,3,2022,7.7,0.8,3.7,,0.11,0.074,158,88,53.0,,2891,26588,,,,,,0.655,,,1.9,2.3,1.7,-0.062,4017.0,0.281,0.083,0.067,0.0,0.0,0.0,,1.5,28,0.248,0.306,193.0,2.3,0.0,1.1,0.8,0.083,1.0,,,,,,,,,0.5,,0.003,0.017,
2,DAE,2,2022,7.8,0.9,4.2,,0.121,0.085,149,99,70.0,,3083,26154,,,,,,0.696,,,2.3,2.6,1.6,-0.033,4006.0,0.308,0.161,0.065,0.0,0.0,0.0,,1.4,27,0.093,0.127,179.0,2.4,0.0,1.2,0.8,0.161,0.5,,,,,,,,,0.4,,0.976,0.006,
3,DAE,1,2022,7.4,0.9,10.2,,0.129,0.102,154,103,53.0,,3189,26009,,,,,,0.761,,,3.2,3.2,1.8,-0.036,2027.0,0.251,0.035,0.045,0.0,0.0,0.3,,1.3,27,0.08,0.096,204.0,2.4,0.0,1.3,0.8,0.035,1.6,,,,,,,,,0.3,,0.054,0.009,
4,DAE,4,2021,6.6,0.8,10.3,,0.131,0.102,156,86,27.0,,3306,25771,,,,,,0.825,,,4.7,4.2,2.5,0.077,1924.0,0.482,,0.168,0.0,0.0,0.7,,1.2,26,0.19,0.206,215.0,2.3,-0.005,1.2,2.2,,-0.2,,,,,,,,,0.2,,-0.065,-0.011,
5,DAE,3,2021,6.7,0.8,10.8,,0.121,0.083,173,51,40.0,,3069,26062,,,,,,0.689,,,2.2,2.5,2.1,-0.073,2057.0,0.269,0.081,0.08,0.0,0.0,0.2,,1.5,27,0.15,0.15,185.0,2.1,-0.005,1.0,0.8,0.081,1.2,,,,,,,,,0.5,,-0.003,0.045,
6,DAE,2,2021,5.9,0.8,9.4,,0.137,0.095,140,77,79.0,230.1,3310,24932,,,,,,0.707,,,2.4,2.6,2.1,0.01,2063.0,0.244,0.078,0.083,0.0,0.0,0.0,,1.4,25,0.166,0.176,139.0,2.6,-0.005,1.1,0.8,0.078,1.3,,,,,,,,,0.4,,-0.116,0.062,
7,DAE,1,2021,5.5,0.8,6.0,,0.144,0.114,144,91,50.0,,3277,23481,,,,,,0.828,,,4.8,4.1,3.1,0.014,2333.0,0.297,0.017,0.073,0.0,0.0,0.4,,1.2,23,0.256,0.3,185.0,2.5,-0.727,1.2,0.8,0.017,5.5,,,,,,,,,0.2,,-0.086,-0.043,
8,DAE,4,2020,4.2,0.6,4.4,,0.135,0.103,182,88,38.0,-143.8,3230,24526,,,,,,0.729,,,2.7,2.7,2.3,0.05,2552.0,1.005,,0.105,0.1,0.1,0.6,,1.4,24,0.413,0.496,232.0,2.0,-1.108,1.1,0.9,,-0.3,,,,,,,,,0.4,,-0.113,-0.006,
9,DAE,3,2020,4.1,0.5,2.5,,0.127,0.089,186,40,40.0,,3076,24663,,,,,,0.678,,,2.1,2.8,2.5,0.14,2879.0,0.246,0.076,0.09,0.0,0.0,0.1,,1.5,27,0.402,0.613,186.0,2.0,-1.105,1.1,0.9,0.076,1.2,,,,,,,,,0.5,,-0.012,0.059,
10,DAE,2,2020,4.7,0.5,4.2,,0.117,0.081,163,82,62.0,39.0,2698,23292,,,,,,0.676,,,2.1,2.2,1.6,-0.091,2913.0,0.311,0.116,0.101,0.0,0.0,0.0,,1.5,20,0.098,0.158,183.0,2.2,-1.095,1.1,0.8,0.116,1.1,,,,,,,,,0.5,,-0.165,0.05,
11,DAE,1,2020,4.2,0.6,4.5,,0.136,0.11,135,72,22.0,,2968,22185,,,,,,0.759,,,3.1,2.9,1.8,-0.038,3488.0,0.305,0.071,0.072,0.1,0.1,0.3,,1.3,19,0.02,0.031,185.0,2.7,0.0,1.5,0.8,0.071,1.2,,,,,,,,,0.3,,-0.019,-0.056,
12,DAE,4,2019,4.7,0.6,3.0,,0.139,0.116,54,81,11.0,,3086,23496,,,,,,0.814,,,4.4,4.7,3.2,-0.007,3555.0,0.321,-0.069,-0.007,0.0,0.0,0.0,,1.2,28,0.098,0.155,124.0,6.8,0.0,1.6,1.0,-0.069,0.1,,,,,,,,,0.2,,-0.033,-0.008,
13,DAE,3,2019,4.4,0.6,3.7,,0.134,0.096,128,53,37.0,,3108,23691,,,,,,0.728,,,2.7,3.2,2.8,-0.008,3675.0,0.241,0.083,0.071,0.0,0.0,0.0,,1.4,29,0.172,0.233,145.0,2.9,0.0,1.3,1.3,0.083,1.1,,,,,,,,,0.4,,-0.022,0.044,
14,DAE,2,2019,4.2,0.6,4.0,,0.141,0.101,130,80,40.0,,3134,22698,,,,,,0.704,,,2.4,3.0,2.4,-0.015,3759.0,0.284,0.111,0.085,0.0,0.0,0.0,,1.4,28,0.047,0.066,170.0,2.8,0.0,1.4,1.3,0.111,1.0,,,,,,,,,0.4,,-0.018,0.061,
15,DAE,1,2019,4.3,0.6,3.7,,0.152,0.127,87,76,40.0,,3180,21391,,,,,,0.869,,,6.6,7.8,6.2,0.033,3829.0,0.324,0.074,0.085,0.0,0.0,0.0,,1.2,26,0.097,0.128,123.0,4.2,0.0,1.5,1.2,0.074,1.4,,,,,,,,,0.2,,0.031,0.02,
16,DAE,4,2018,4.4,0.6,3.7,,0.15,0.126,69,86,15.0,,3077,20965,,,,,,0.859,,,6.1,6.7,4.8,-0.031,3713.0,0.359,-0.03,0.0,0.0,0.0,0.0,,1.2,25,0.07,0.093,140.0,5.3,0.0,1.6,7.0,-0.03,-0.1,,,,,,,,,0.2,,-0.078,-0.078,
17,DAE,3,2018,4.1,0.6,3.5,,0.143,0.093,162,77,72.0,,3177,22747,,,,,,0.705,,,2.4,3.1,2.4,-0.014,4027.0,0.223,0.087,0.07,0.0,0.0,0.0,,1.4,28,0.053,0.079,167.0,2.3,0.0,1.1,1.3,0.087,1.0,,,,,,,,,0.4,,-0.01,0.047,
18,DAE,2,2018,3.7,0.6,2.8,,0.151,0.106,113,87,34.0,,3223,21728,,,,,,0.723,,,2.6,3.2,2.2,0.025,4068.0,0.316,0.141,0.107,0.0,0.0,0.0,,1.4,26,0.058,0.092,167.0,3.2,0.0,1.5,1.3,0.141,1.0,,,,,,,,,0.4,,0.049,0.069,
19,DAE,1,2018,4.0,0.6,3.6,,0.158,0.122,71,85,45.0,,3143,20331,,,,,,0.795,,,3.9,5.2,3.4,0.007,3877.0,0.28,0.051,0.066,0.0,0.0,0.0,,1.3,26,0.113,0.14,112.0,5.1,0.0,1.8,1.2,0.051,1.5,,,,,,,,,0.3,,-0.014,0.014,
20,DAE,4,2017,4.0,0.6,3.6,,0.153,0.124,59,74,17.0,,3122,20048,,,,,,0.818,,,4.5,6.1,3.8,-0.009,3931.0,0.522,0.073,0.033,0.0,0.0,0.0,,1.2,25,0.142,0.174,116.0,6.2,0.0,1.8,1.3,0.073,0.6,,,,,,,,,0.2,,0.031,-0.07,
21,DAE,3,2017,3.8,0.6,2.7,,0.149,0.093,137,66,60.0,,3149,21566,,,,,,0.592,,,1.4,2.4,2.0,-0.001,3812.0,0.159,0.063,0.051,0.0,0.0,0.0,,1.7,28,0.288,0.376,142.0,2.7,0.0,1.4,1.2,0.063,1.0,,,,,,,,,0.7,,-0.054,0.025,
22,DAE,2,2017,3.8,0.6,3.6,,0.153,0.099,122,96,63.0,,3151,21044,,,,,,0.686,,,2.2,3.5,2.4,0.003,4031.0,0.266,0.12,0.095,0.0,0.0,0.1,,1.5,27,0.111,0.138,155.0,3.0,0.0,1.4,1.2,0.12,1.0,,,,,,,,,0.5,,-0.033,0.085,
23,DAE,1,2017,3.7,0.6,3.8,,0.166,0.126,64,88,41.0,,3141,19390,,,,,,0.742,,,2.9,4.1,2.3,-0.006,4168.0,0.249,0.061,0.06,0.0,0.0,0.0,,1.3,24,0.128,0.135,111.0,5.7,0.0,1.9,1.2,0.061,1.2,,,,,,,,,0.3,,0.008,-0.063,
24,DAE,4,2016,3.5,0.5,3.4,,0.163,0.124,54,75,32.0,,3161,20688,,,,,,0.797,,,3.9,5.2,3.4,0.0,4134.0,0.319,0.025,0.031,0.0,0.0,0.0,,1.3,25,0.288,0.363,97.0,6.8,0.0,1.9,1.3,0.025,1.6,,,,,,,,,0.3,,0.022,0.005,
25,DAE,3,2016,3.8,0.6,3.6,,0.155,0.105,126,71,38.0,98.6,3159,20584,,,,,,0.655,,,1.9,3.4,2.5,-0.008,4047.0,0.206,0.08,0.057,0.0,0.0,0.0,,1.5,28,0.117,0.141,159.0,2.9,0.0,1.5,1.3,0.08,0.9,,,,,,,,,0.5,,0.018,0.026,
26,DAE,2,2016,3.1,0.5,4.2,,0.163,0.102,120,107,60.0,761.6,3185,20062,,,,,,0.609,,,1.6,2.6,1.7,0.057,3976.0,0.235,0.108,0.08,0.0,0.0,0.2,,1.6,26,0.07,0.082,167.0,3.0,0.0,1.4,1.3,0.108,0.9,,,,,,,,,0.6,,0.067,0.089,
27,DAE,1,2016,3.2,0.5,2.7,,0.168,0.116,78,120,44.0,,3012,18417,,,,,,0.77,,,3.3,4.5,2.5,0.0,3726.0,0.252,0.059,0.07,0.0,0.0,0.3,,1.3,22,0.073,0.084,153.0,4.7,0.0,1.6,1.2,0.059,1.4,,,,,,,,,0.3,,-0.03,0.018,
28,DAE,4,2015,3.1,0.5,3.7,,0.171,0.115,60,113,41.0,-6.1,3011,18096,,,,,,0.724,,,2.6,3.5,2.0,0.016,3840.0,0.541,0.007,0.055,0.0,0.0,0.3,,1.4,21,0.25,0.289,132.0,6.1,-0.009,1.6,1.3,0.007,10.8,,,,,,,,,0.4,,-0.025,-0.1,
29,DAE,3,2015,3.0,0.4,2.7,,0.15,0.099,132,79,35.0,1273.9,2964,20112,,,,,,0.696,,,2.3,4.7,3.5,-0.032,3939.0,0.222,0.084,0.063,0.0,0.0,0.0,,1.4,31,0.197,0.269,175.0,2.8,-0.009,1.4,1.3,0.084,1.0,,,,,,,,,0.4,,-0.021,0.057,
30,DAE,2,2015,2.9,0.5,3.0,,0.165,0.097,110,119,51.0,55.4,3063,19019,,,,,,0.64,,,1.8,3.7,2.2,-0.005,4025.0,0.253,0.12,0.09,0.0,0.0,0.4,,1.6,27,0.055,0.066,179.0,3.3,-0.009,1.4,1.3,0.12,1.0,,,,,,,,,0.6,,0.01,0.084,
31,DAE,1,2015,3.1,0.5,4.2,,0.176,0.108,74,126,36.0,11.8,3080,17547,,,,,,0.623,,,1.7,3.9,1.9,0.011,3985.0,0.277,0.072,0.06,0.1,0.1,0.4,,1.6,24,0.032,0.036,165.0,4.9,-0.009,1.5,1.2,0.072,1.0,,,,,,,,,0.6,,0.025,0.019,
32,DAE,4,2014,,,3.7,,0.177,0.113,60,111,20.0,30.6,3047,17227,,,,,,0.627,,,1.7,3.9,1.8,-0.012,3889.0,0.431,0.034,0.023,0.1,0.1,0.3,,1.6,23,0.122,0.124,151.0,6.1,0.0,1.6,1.3,0.034,0.9,,,,,,,,,0.6,,0.031,-0.107,
33,DAE,3,2014,,,5.0,,0.163,0.099,145,82,37.0,56.2,3083,19296,,,,,,0.617,,,1.6,5.4,3.8,-0.097,3771.0,0.212,0.081,0.062,0.0,0.0,0.0,,1.6,31,0.133,0.146,189.0,2.5,0.0,1.3,1.3,0.081,1.0,,,,,,,,,0.6,,-0.062,0.066,
