,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DBD,4,2022,12.9,2.3,11.7,,0.196,0.141,179,163,48,44.6,3258,18110,,,,,,0.715,,,2.5,3.1,2.0,0.142,4119,0.485,0.165,0.17,0.1,0.0,0.3,0.3,1.4,847,0.041,0.018,294,2.0,-0.265,0.9,0.9,0.165,1.2,,,,,,,,,0.4,,0.091,0.032,
1,DBD,3,2022,14.7,2.4,11.8,,0.175,0.127,175,146,46,788.8,2853,17556,,,,,,0.752,,,3.0,3.4,2.4,0.064,3775,0.511,0.181,0.137,0.1,0.0,0.4,0.3,1.3,777,0.027,0.012,275,2.1,-0.381,0.9,0.8,0.181,1.0,,,,,,,,,0.3,,0.072,0.045,
2,DBD,2,2022,15.4,2.5,12.6,,0.171,0.126,146,112,45,1613.7,2681,16804,,,,,,0.742,,,2.9,3.3,2.3,0.018,3520,0.501,0.196,0.177,0.1,0.0,0.4,0.2,1.3,729,0.039,0.017,214,2.5,-0.28,1.0,0.8,0.196,1.1,,,,,,,,,0.3,,-0.168,0.043,
3,DBD,1,2022,18.0,2.9,13.3,,0.177,0.126,136,90,40,950.6,2634,16106,,,,,,0.746,,,2.9,3.3,2.5,0.071,4229,0.479,0.163,0.143,0.1,0.1,0.5,0.3,1.3,666,0.057,0.022,186,2.7,-0.292,1.0,0.8,0.163,1.1,,,,,,,,,0.3,,0.032,0.062,
4,DBD,4,2021,16.2,2.6,15.2,,0.173,0.122,136,91,37,483.1,2460,15166,,,,,,0.731,,,2.7,3.3,2.4,0.094,4098,0.409,0.133,0.121,0.1,0.1,0.4,0.3,1.4,679,0.06,0.02,190,2.7,-0.183,1.0,0.8,0.133,1.2,,,,,,,,,0.4,,0.063,0.012,
5,DBD,3,2021,16.4,2.5,13.8,,0.154,0.11,146,123,42,141.2,2249,14989,,,,,,0.689,,,2.2,2.7,1.9,-0.042,3854,0.348,0.098,0.074,0.1,0.1,0.6,0.7,1.5,659,0.066,0.026,228,2.5,-0.116,1.0,0.8,0.098,1.0,,,,,,,,,0.5,,0.026,0.034,
6,DBD,2,2021,14.2,2.3,13.5,,0.168,0.118,163,156,76,210.3,2348,14499,,,,,,0.729,,,2.7,3.1,2.1,0.1,3757,0.47,0.211,0.18,0.1,0.1,0.6,0.2,1.4,598,0.08,0.031,244,2.2,-0.109,0.8,0.8,0.211,1.1,,,,,,,,,0.4,,0.018,0.058,
7,DBD,1,2021,15.2,2.4,12.2,,0.16,0.103,159,134,83,83.6,2135,13706,,,,,,0.68,,,2.1,2.5,1.9,-0.018,3690,0.409,0.149,0.132,0.1,0.1,0.9,0.6,1.5,552,0.154,0.066,210,2.3,-0.182,0.8,0.8,0.149,1.1,,,,,,,,,0.5,,-0.023,0.035,
8,DBD,4,2020,15.3,2.5,12.5,,0.169,0.104,125,125,86,85.4,2173,13244,,,,,,0.677,,,2.1,2.3,1.7,-0.018,3778,0.372,0.091,0.093,0.1,0.1,0.8,0.3,1.5,483,0.11,0.045,164,2.9,-0.232,0.8,0.8,0.091,1.2,,,,,,,,,0.5,,0.016,-0.065,
9,DBD,3,2020,14.4,2.3,13.2,,0.161,0.111,152,143,58,33.8,2213,14162,,,,,,0.734,,,2.8,3.0,1.8,0.109,3720,0.435,0.147,0.175,0.1,0.1,0.9,0.6,1.4,547,0.038,0.016,237,2.4,-0.765,0.9,0.9,0.147,1.4,,,,,,,,,0.4,,0.005,0.046,
