,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DDN,4,2022,12.6,0.8,10.3,,0.064,0.023,41,17,100,11.3,826,13374,,,,,,0.367,,,0.6,1.3,1.2,0.623,1058,0.088,0.02,0.019,0.0,0.0,0.7,,2.7,121,0.101,0.13,-42,9.0,-0.81,2.2,0.8,0.02,1.2,,,,,,,,,1.7,,0.878,0.03,
1,DDN,3,2022,22.7,0.9,22.7,,0.04,0.013,41,14,110,8.9,509,12982,,,,,,0.385,,,0.6,1.4,1.3,-0.004,563,0.077,0.012,0.015,0.2,0.1,3.7,,2.6,123,0.203,0.218,-55,9.0,-0.629,2.0,0.8,0.012,1.5,,,,,,,,,1.6,,-0.128,0.018,
2,DDN,2,2022,25.1,1.0,20.3,,0.041,0.012,36,19,124,-8.6,511,12755,,,,,,0.354,,,0.5,1.3,1.1,-0.405,646,0.06,,,0.1,0.0,1.7,,2.8,122,0.119,0.126,-69,10.0,-0.428,1.9,,,0.6,,,,,,,,,1.8,,-0.409,-0.002,
3,DDN,1,2022,18.7,1.3,11.6,,0.07,0.023,33,14,81,41.4,859,12781,,,,,,0.371,,,0.6,1.4,1.3,-0.093,1093,0.054,0.011,0.011,0.0,0.0,1.9,,2.7,142,0.249,0.238,-34,11.1,-0.121,2.6,0.8,0.011,1.2,,,,,,,,,1.7,,-0.171,0.021,
4,DDN,4,2021,19.5,1.5,12.9,,0.079,0.025,31,12,86,1.3,947,12523,,,,,,0.369,,,0.6,1.4,1.3,-0.052,1320,0.068,0.001,0.004,0.1,0.0,1.4,,2.7,142,0.113,0.113,-43,11.6,-0.015,2.6,0.8,0.001,7.7,,,,,,,,,1.7,,-0.184,0.006,
5,DDN,3,2021,15.1,1.2,13.7,,0.084,0.023,29,14,97,21.2,998,12448,,,,,,0.296,,,0.4,1.3,1.2,-0.129,1618,0.043,0.012,0.01,0.1,0.0,1.8,,3.4,141,0.062,0.047,-54,12.7,-0.107,2.5,0.8,0.012,1.1,,,,,,,,,2.4,,-0.081,0.019,
6,DDN,2,2021,10.2,1.0,10.3,,0.095,0.021,29,16,139,12.7,1147,12219,,,,,,0.238,,,0.3,1.2,1.1,0.064,1760,0.039,0.009,0.01,0.1,0.0,1.0,,4.2,137,0.119,0.097,-93,12.5,-0.116,2.0,0.8,0.009,1.3,,,,,,,,,3.2,,0.037,0.027,
7,DDN,1,2021,8.9,0.8,10.3,,0.091,0.022,29,13,119,10.8,1078,11897,,,,,,0.296,,,0.4,1.3,1.2,0.061,1698,0.044,0.015,0.014,0.2,0.1,2.2,,3.4,130,0.059,0.061,-77,12.5,0.115,2.1,0.8,0.015,1.1,,,,,,,,,2.4,,0.036,0.028,
8,DDN,3,2012,,,5.0,,0.17,0.017,76,20,74,1.6,834,5087,,,,,,0.101,,,0.1,1.1,0.9,0.051,11234,0.045,0.016,0.007,2.4,0.2,5.2,125.9,9.9,51,0.715,1.268,22,4.8,-0.028,3.0,1.3,0.016,0.5,,,,,,,,,8.9,,-0.113,0.043,
9,DDN,2,2012,,,4.4,,0.169,0.018,73,19,72,1.7,793,4877,,,,,,0.096,,,0.1,1.1,0.9,0.066,12671,0.046,0.02,0.007,2.4,0.2,4.0,100.6,10.4,49,0.383,0.679,21,5.0,-0.014,3.2,1.3,0.02,0.4,,,,,,,,,9.4,,-0.019,-0.037,
