,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DHB,4,2022,1.3,-9.5,1.7,,-1.571,0.228,-297,70,34,1.6,6536,-926,,,,,,-0.033,,,0.0,0.2,0.1,-0.107,11731,0.332,0.264,0.074,-12.8,0.4,1.5,1.2,-30.1,-4858,-0.881,0.093,-261,,0.0,0.8,1.0,0.264,0.3,,,,,,,,,-31.1,,-0.084,-0.252,
1,DHB,3,2022,1.7,-10.1,1.6,,-1.505,0.263,-278,43,33,3.1,7318,-1239,,,,,,-0.047,,,0.0,0.1,0.0,0.13,12808,0.332,0.293,0.199,-8.9,0.4,1.4,0.7,-21.3,-4896,-0.303,0.04,-268,,0.0,0.9,1.0,0.293,0.7,,,,,,,,,-22.3,,0.05,-0.507,
2,DHB,2,2022,1.6,-4.0,2.1,,-1.132,0.229,-318,42,42,3.5,6474,-2515,,,,,,-0.092,,,-0.1,0.2,0.1,0.576,12198,0.49,0.446,0.298,-5.4,0.5,1.6,0.9,-10.9,-5154,-0.215,0.045,-318,,0.0,0.8,1.0,0.446,0.7,,,,,,,,,-11.9,,0.23,-0.408,
3,DHB,1,2022,2.6,-2.5,2.7,,-0.653,0.141,-336,36,41,5.2,4107,-4246,,,,,,-0.151,,,-0.1,0.2,0.1,-2726.117,9915,0.559,0.535,0.447,-4.1,0.6,2.2,0.8,-6.6,-5121,-0.371,0.138,-340,,0.0,0.7,1.0,0.535,0.8,,,,,,,,,-7.6,,0.645,-0.426,
4,DHB,4,2021,-7149.3,-1.5,6.1,,0.0,0.0,-424,59,42,2.2,-1,-7392,,,,,,-0.251,,,-0.2,0.2,0.1,-0.999,6027,0.457,0.407,0.21,-3.1,0.8,4.1,0.9,-4.0,-5633,-0.152,0.079,-407,,0.0,0.5,1.0,0.407,0.5,,,,,,,,,-5.1,,0.739,-0.129,
5,DHB,3,2021,-2.0,-0.6,9.4,,0.348,-0.082,-473,53,47,1.3,-2519,-8487,,,,,,-0.29,,,-0.2,0.1,0.1,-0.423,3466,0.316,0.27,0.097,-2.8,0.8,7.3,0.6,-3.5,-5329,-0.126,0.109,-467,,0.0,0.5,1.0,0.27,0.4,,,,,,,,,-4.5,,0.957,-0.048,
6,DHB,2,2021,-1.1,-0.6,18.2,,0.647,-0.14,-576,45,50,0.3,-4365,-8919,,,,,,-0.307,,,-0.2,0.1,0.0,-0.122,1771,0.155,0.085,,-2.8,0.8,14.6,0.6,-3.3,-5601,-0.058,0.061,-581,,0.0,0.4,,0.085,-2.3,,,,,,,,,-4.3,,0.491,0.069,
7,DHB,1,2021,-1.4,-0.9,25.7,,0.85,-0.157,-514,38,44,-0.2,-4974,-8340,,,,,,-0.276,,,-0.2,0.1,0.1,-0.076,1188,0.023,,,-3.2,0.9,22.4,0.5,-3.6,-4901,-0.103,0.165,-520,,0.001,0.3,,,6.9,,,,,,,,,-4.7,,0.396,0.127,
8,DHB,4,2020,-1.3,-1.0,40.0,,1.142,-0.163,-487,61,46,-0.5,-5383,-7397,,,,,,-0.233,,,-0.2,0.2,0.1,0.131,851,,,,-3.7,0.8,31.9,0.5,-4.3,-4812,-0.112,0.113,-471,,0.0,0.3,,,2.9,,,,,,,,,-5.4,,-0.144,0.232,
9,DHB,3,2020,-1.5,-1.2,34.3,,1.311,-0.142,-471,71,45,-0.6,-4760,-6002,,,,,,-0.185,,,-0.2,0.2,0.1,0.167,995,,,,-4.6,0.8,27.6,0.5,-5.4,-4576,-0.078,0.064,-444,,0.0,0.3,,,2.6,,,,,,,,,-6.5,,-0.111,0.312,
10,DHB,2,2020,-1.8,-1.6,30.5,,1.601,-0.121,-451,55,47,-0.4,-4080,-4573,,,,,,-0.138,,,-0.1,0.2,0.1,0.175,1118,,,,-6.2,0.8,24.5,0.6,-7.2,-4411,-0.148,0.091,-443,,-0.002,0.3,,,3.3,,,,,,,,,-8.4,,-0.129,0.359,
11,DHB,1,2020,-2.1,-2.1,26.3,,2.125,-0.102,-332,42,46,-0.7,-3472,-3364,,,,,,-0.101,,,-0.1,0.2,0.1,0.479,1285,,,,-8.4,0.8,21.4,0.3,-9.9,-3450,-0.223,0.1,-336,,-0.004,0.3,,,2.5,,,,,,,,,-11.3,,-0.273,0.66,
12,DHB,4,2019,-3.1,-3.6,,,2.677,-0.068,29,50,45,0.1,-2348,-2026,,,,,,-0.059,,,-0.1,0.2,0.1,0.36,1768,0.092,0.019,-0.284,-14.5,0.8,15.8,0.2,-16.9,-2628,-0.354,,33,12.7,-0.003,0.3,1.0,0.019,-14.9,,,,,,,,,-19.1,,-0.213,0.606,
