,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DHG,4,2022,13.0,3.0,11.1,,0.245,0.202,249,175,40,652.4,7560,32823,,,,,,0.83,,,4.9,5.2,3.7,0.071,8849.0,0.467,0.195,0.178,0.0,0.0,0.1,,1.2,3407,0.008,0.003,384,1.5,-0.301,1.0,0.9,0.195,1.0,,,,,,,,,0.2,,0.06,0.058,
1,DHG,3,2022,12.1,2.8,11.1,,0.24,0.199,247,166,30,60.6,7057,31016,,,,,,0.852,,,5.8,6.1,4.3,0.071,8344.0,0.498,0.244,0.226,0.0,0.0,0.2,,1.2,3217,0.013,0.004,383,1.5,-0.242,1.0,0.9,0.244,1.0,,,,,,,,,0.2,,0.065,0.069,
2,DHG,2,2022,13.3,3.0,11.2,,0.239,0.178,240,178,36,50.3,6590,29010,,,,,,0.741,,,2.9,3.4,2.5,0.04,7838.0,0.495,0.228,0.21,0.2,0.1,0.6,,1.4,2995,0.014,0.005,382,1.5,-0.173,0.9,0.9,0.228,1.0,,,,,,,,,0.3,,0.029,0.066,
3,DHG,1,2022,17.0,4.0,11.6,,0.226,0.175,254,162,29,114.9,6334,27215,,,,,,0.749,,,3.0,3.5,2.6,0.066,7617.0,0.474,0.26,0.24,0.1,0.0,0.3,,1.3,2756,0.011,0.003,388,1.4,-0.039,0.9,0.9,0.26,1.0,,,,,,,,,0.3,,0.054,-0.061,
4,DHG,4,2021,18.4,3.8,14.4,,0.211,0.171,257,166,36,103.7,5944,28987,,,,,,0.821,,,4.6,4.9,3.5,-0.049,7225.0,0.501,0.177,0.156,0.1,0.0,0.2,,1.2,2970,0.011,0.003,388,1.4,-0.038,0.9,0.9,0.177,1.0,,,,,,,,,0.2,,-0.058,0.047,
5,DHG,3,2021,15.5,3.5,13.8,,0.235,0.183,232,152,24,55.1,6253,27683,,,,,,0.797,,,4.0,4.3,3.2,0.045,7673.0,0.486,0.229,0.213,0.1,0.1,0.4,,1.3,2784,0.017,0.005,360,1.6,-0.083,0.9,0.9,0.229,1.0,,,,,,,,,0.3,,0.037,0.059,
6,DHG,2,2021,15.5,3.5,13.8,,0.237,0.177,218,164,30,56.6,5985,26143,,,,,,0.753,,,3.1,3.4,2.5,0.02,7400.0,0.489,0.238,0.212,0.2,0.1,0.5,,1.3,2564,0.02,0.005,352,1.7,-0.076,0.9,0.9,0.238,1.0,,,,,,,,,0.3,,0.038,-0.093,
7,DHG,1,2021,15.8,3.2,13.5,,0.21,0.172,255,141,30,98.2,5868,28821,,,,,,0.801,,,4.1,4.3,3.3,0.037,7128.0,0.443,0.221,0.201,0.1,0.1,0.3,,1.2,2886,0.015,0.005,365,1.4,-0.072,0.9,0.9,0.221,1.0,,,,,,,,,0.2,,0.039,0.057,
8,DHG,4,2020,17.1,3.6,14.7,,0.213,0.172,248,146,33,78.8,5658,27258,,,,,,0.801,,,4.1,4.3,3.3,0.007,6864.0,0.47,0.207,0.174,0.1,0.0,0.3,,1.2,2664,0.02,0.006,360,1.5,-0.102,0.9,0.9,0.207,0.9,,,,,,,,,0.2,,0.028,0.063,
9,DHG,3,2020,17.5,3.8,16.0,,0.225,0.177,218,158,25,37.2,5620,25645,,,,,,0.765,,,3.3,3.6,2.6,0.071,6679.0,0.459,0.208,0.192,0.2,0.1,0.4,,1.3,2458,0.094,0.023,351,1.7,-0.067,0.9,0.9,0.208,1.0,,,,,,,,,0.3,,0.061,0.052,
