,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DID,4,2022,41.0,0.3,15.4,,0.007,0.003,10,39,92,2.1,73,11697,,,,,,0.47,,,0.9,1.1,0.9,-0.095,596,0.081,0.03,0.007,0.5,0.2,10.0,5.5,2.1,22,0.022,0.086,-43,35.2,-0.158,1.0,0.7,0.03,0.3,,,,,,,,,1.1,,-0.028,-0.001,
1,DID,3,2022,59.9,0.4,16.4,,0.007,0.003,37,65,103,1.0,80,11712,,,,,,0.452,,,0.8,1.1,0.8,0.013,612,0.06,0.018,0.001,0.5,0.2,8.8,3.8,2.2,21,0.018,0.056,-2,10.0,-0.101,0.8,0.8,0.018,0.0,,,,,,,,,1.2,,0.022,0.0,
2,DID,2,2022,61.5,0.4,17.2,,0.007,0.003,37,61,101,0.9,79,11715,,,,,,0.491,,,1.0,1.1,0.8,-0.438,600,0.058,0.019,0.001,0.5,0.3,12.2,3.9,2.0,16,0.012,0.035,-3,9.9,-0.09,0.7,0.7,0.019,0.0,,,,,,,,,1.0,,-0.185,0.103,
3,DID,1,2022,88.5,1.2,14.9,,0.013,0.006,11,67,117,1.3,141,10618,,,,,,0.456,,,0.8,1.0,0.7,0.002,736,0.084,0.034,0.003,0.5,0.2,9.2,5.6,2.2,-1,0.061,0.125,-39,34.0,-0.094,0.7,0.8,0.034,0.1,,,,,,,,,1.2,,0.019,-0.007,
4,DID,4,2021,94.8,1.3,25.1,,0.013,0.007,9,36,78,2.5,141,10695,,,,,,0.492,,,1.0,1.0,0.8,0.005,722,0.121,0.057,0.015,0.5,0.3,9.8,3.8,2.0,-2,0.073,0.064,-33,40.1,-0.073,0.7,0.8,0.057,0.3,,,,,,,,,1.0,,0.131,0.006,
5,DID,3,2021,62.2,0.8,25.4,,0.013,0.006,48,49,94,1.0,141,10633,,,,,,0.463,,,0.9,1.3,1.0,-0.109,639,0.074,0.037,0.001,0.4,0.2,10.1,,2.2,39,0.045,0.046,3,7.5,-0.169,0.7,0.8,0.037,0.0,,,,,,,,,1.2,,-0.067,0.0,
6,DID,2,2021,37.0,0.6,34.3,,0.015,0.007,50,34,97,1.8,158,10630,,,,,,0.458,,,0.8,1.2,1.0,-0.121,684,0.069,0.035,0.012,0.7,0.3,12.3,1.5,2.2,34,0.027,0.022,-12,7.3,-0.455,0.7,0.8,0.035,0.5,,,,,,,,,1.2,,-0.046,0.006,
7,DID,1,2021,54.4,0.9,19.4,,0.017,0.008,39,49,99,1.3,180,10571,,,,,,0.475,,,0.9,1.1,0.9,0.029,718,0.089,0.033,0.003,0.6,0.3,11.0,2.1,2.1,16,0.021,0.039,-12,9.5,-0.442,0.7,0.7,0.033,0.2,,,,,,,,,1.1,,0.005,0.001,
8,DID,4,2020,20.7,0.3,20.1,,0.017,0.009,56,28,56,1.8,175,10560,,,,,,0.5,,,1.0,1.1,1.0,-0.466,714,0.118,0.046,0.017,0.7,0.3,11.1,2.1,2.0,14,0.091,0.16,28,6.6,-0.481,0.8,0.8,0.046,0.5,,,,,,,,,1.0,,-0.382,0.005,
9,DID,3,2020,9.8,0.3,18.4,,0.039,0.017,14,31,83,1.4,327,10510,,,,,,0.461,,,0.9,1.2,1.0,-0.141,1155,0.077,0.035,0.005,0.7,0.3,7.7,1.9,2.2,24,0.026,0.034,-38,25.6,-0.847,0.8,0.7,0.035,0.2,,,,,,,,,1.2,,-0.146,0.001,
