,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DLG,4,2022,-0.7,0.5,-8.5,,-0.514,-0.138,-125,112,136,-5.1,-2996,4354,,,,,,0.221,,,0.3,0.7,0.7,1.185,-1465,0.22,,,2.1,0.5,-7.0,0.6,4.5,-648,0.085,0.183,-149,,-0.004,0.2,,,1.1,,,,,,,,,3.2,,36.824,-0.278,
1,DLG,3,2022,-2.2,0.5,-326.9,,-0.204,-0.058,-84,108,123,0.1,-1371,6029,,,,,,0.272,,,0.4,0.9,0.7,0.082,-39,0.291,0.032,,1.5,0.5,-278.9,0.6,3.7,-381,0.05,0.134,-99,,-0.004,0.2,,0.032,-1.7,,,,,,,,,2.4,,-0.258,-0.009,
2,DLG,2,2022,-3.0,0.6,-241.9,,-0.189,-0.051,-93,114,131,-2.9,-1267,6087,,,,,,0.273,,,0.4,0.8,0.7,-41.708,-52,0.175,,,1.6,0.5,-223.8,0.6,3.7,-471,0.046,0.144,-111,,-0.007,0.2,,,1.3,,,,,,,,,2.4,,-1.042,-0.169,
3,DLG,1,2022,232.5,1.0,12.0,,0.004,0.001,-87,118,137,0.7,31,7321,,,,,,0.312,,,0.5,0.9,0.7,-0.415,1256,0.274,0.154,0.014,1.4,0.4,9.4,0.6,3.2,-338,0.026,0.048,-105,,-0.013,0.2,0.4,0.154,0.2,,,,,,,,,2.0,,0.01,0.003,
4,DLG,4,2021,175.7,1.3,13.9,,0.007,0.002,-71,112,127,-0.1,53,7302,,,,,,0.31,,,0.5,0.9,0.8,-1.047,1243,0.274,,,1.4,0.5,9.6,0.6,3.2,-273,0.035,0.05,-86,,-0.014,0.2,,,1.6,,,,,,,,,2.0,,-0.261,-0.013,
5,DLG,3,2021,-3.6,0.6,11.2,,-0.142,-0.042,-51,82,93,0.1,-1130,7401,,,,,,0.298,,,0.5,0.9,0.8,-0.42,1682,0.19,0.031,0.012,1.4,0.5,7.5,0.7,3.4,-225,0.054,0.063,-61,,-0.018,0.2,,0.031,-1.1,,,,,,,,,2.1,,0.57,0.005,
6,DLG,2,2021,-1.8,0.5,19.7,,-0.233,-0.071,-23,81,92,0.8,-1948,7363,,,,,,0.27,,,0.4,0.9,0.8,-0.302,1072,0.125,0.186,0.027,1.5,0.5,11.9,0.6,3.7,-239,0.054,0.061,-34,,-0.017,0.3,0.8,0.186,0.2,,,,,,,,,2.2,,6.719,0.0,
7,DLG,1,2021,-0.9,0.3,120.1,,-0.317,-0.099,50,93,111,0.6,-2790,7367,,,,,,0.268,,,0.4,0.9,0.7,-0.066,139,0.245,0.139,0.028,1.6,0.5,92.1,0.5,3.7,-371,0.054,0.145,32,7.3,0.017,0.2,0.7,0.139,0.3,,,,,,,,,2.3,,1.381,0.004,
8,DLG,4,2020,-0.5,0.2,296.3,,-0.331,-0.106,107,97,113,0.8,-2986,7335,,,,,,0.269,,,0.4,0.9,0.7,0.733,58,0.156,0.136,,1.6,0.5,220.5,0.5,3.7,-338,0.043,0.115,91,3.4,-0.02,0.2,,0.136,-3.8,,,,,,,,,2.3,,-2.993,-0.144,
9,DLG,3,2020,-0.8,0.2,-535.2,,-0.179,-0.059,106,124,132,-1.3,-1723,8566,,,,,,0.299,,,0.5,0.9,0.7,1.242,-29,0.24,,,1.4,0.5,-447.8,0.5,3.3,-325,0.048,0.303,98,3.4,-0.029,0.2,,,1.5,,,,,,,,,2.0,,-1.037,-0.085,
10,DLG,2,2020,-2.0,0.2,18.0,,-0.077,-0.027,150,115,124,-1.1,-768,9363,,,,,,0.338,,,0.6,1.0,0.8,-4.887,797,0.15,,,1.2,0.4,15.5,0.6,3.0,-23,0.042,0.331,141,2.4,-0.035,0.3,,,1.6,,,,,,,,,1.7,,-0.498,-0.083,
11,DLG,1,2020,7.0,0.1,9.2,,0.019,0.007,181,107,114,0.1,197,10215,,,,,,0.355,,,0.6,1.3,1.2,-0.436,1589,0.208,0.033,,1.1,0.4,7.8,0.6,2.8,942,0.04,0.339,175,2.0,-0.097,0.3,,0.033,-4.1,,,,,,,,,1.5,,-0.046,-0.046,
12,DLG,4,2019,5.4,0.2,9.1,,0.033,0.012,97,94,90,0.8,350,10706,,,,,,0.365,,,0.7,1.6,1.4,0.061,1665,0.188,0.106,0.014,1.0,0.4,7.5,0.5,2.7,1503,0.038,0.298,101,3.8,-0.061,0.3,1.6,0.106,0.2,,,,,,,,,1.5,,0.087,0.001,
13,DLG,3,2019,4.6,0.1,10.4,,0.031,0.011,100,103,84,0.8,330,10701,,,,,,0.359,,,0.7,1.6,1.3,0.52,1531,0.205,0.113,0.069,1.1,0.4,8.4,0.4,2.8,1510,0.025,0.149,119,3.6,-0.093,0.3,1.2,0.113,0.7,,,,,,,,,1.5,,0.06,0.016,
14,DLG,2,2019,7.3,0.1,10.6,,0.021,0.008,97,99,76,0.7,217,10535,,,,,,0.36,,,0.7,1.7,1.4,9.822,1445,0.166,0.084,0.064,1.0,0.4,8.8,0.5,2.8,1848,0.02,0.149,120,3.8,-0.007,0.4,1.3,0.084,1.0,,,,,,,,,1.5,,0.097,0.018,
15,DLG,1,2019,87.2,0.2,11.6,,0.002,0.001,86,95,64,0.7,20,10347,,,,,,0.356,,,0.7,1.6,1.3,-0.809,1318,0.155,0.086,-0.002,1.1,0.4,9.7,0.4,2.8,1564,0.018,0.136,117,4.2,-0.006,0.4,-1.5,0.086,0.0,,,,,,,,,1.5,,-0.019,-0.007,
16,DLG,4,2018,14.4,0.1,11.1,,0.01,0.004,96,94,70,0.7,105,10423,,,,,,0.359,,,0.7,1.7,1.4,0.06,1343,0.117,0.073,0.005,1.1,0.4,9.7,0.4,2.8,1724,0.024,0.181,120,3.8,-0.021,0.3,0.1,0.073,0.0,,,,,,,,,1.5,,0.016,0.0,
17,DLG,3,2018,26.5,0.3,11.4,,0.01,0.004,85,95,68,0.8,99,10422,,,,,,0.37,,,0.7,2.1,1.7,0.019,1322,0.163,0.081,0.015,1.1,0.4,9.8,0.2,2.7,2023,0.024,0.206,112,4.3,-0.027,0.4,1.6,0.081,0.3,,,,,,,,,1.5,,-0.057,0.005,
18,DLG,2,2018,27.2,0.3,11.7,,0.009,0.004,96,86,70,0.4,97,10373,,,,,,0.367,,,0.7,1.9,1.6,-0.483,1402,0.137,0.048,-0.012,1.1,0.4,9.3,0.3,2.7,1919,0.033,0.15,112,3.8,-0.132,0.4,0.4,0.048,-0.1,,,,,,,,,1.5,,-0.046,-0.003,
19,DLG,1,2018,15.9,0.3,10.6,,0.018,0.007,80,74,43,1.0,188,10409,,,,,,0.385,,,0.7,2.0,1.6,-0.187,1470,0.179,0.122,0.039,1.1,0.5,8.8,0.2,2.6,1511,0.037,0.151,111,4.6,-0.097,0.4,1.3,0.122,0.4,,,,,,,,,1.4,,-0.122,0.004,
20,DLG,4,2017,15.3,0.3,10.2,,0.025,0.009,84,73,65,1.0,231,10371,,,,,,0.373,,,0.7,1.9,1.6,-0.034,1674,0.179,0.087,0.003,1.2,0.5,8.7,0.2,2.7,1535,0.112,0.435,92,4.4,-0.117,0.4,5.9,0.087,0.2,,,,,,,,,1.5,,0.001,0.0,
21,DLG,3,2017,16.0,0.4,10.9,,0.026,0.01,83,89,79,0.8,240,10366,,,,,,0.388,,,0.7,1.9,1.6,0.126,1673,0.162,0.096,0.014,1.1,0.5,8.5,0.2,2.6,1456,0.045,0.143,93,4.4,-0.17,0.4,1.4,0.096,0.2,,,,,,,,,1.4,,0.119,0.001,
22,DLG,2,2017,19.4,0.4,11.9,,0.023,0.008,110,90,107,0.4,213,10358,,,,,,0.388,,,0.7,1.8,1.5,-0.302,1495,0.154,0.069,0.032,1.1,0.5,9.5,0.2,2.6,1378,0.037,0.132,93,3.3,-0.168,0.3,1.5,0.069,0.7,,,,,,,,,1.4,,-0.264,0.006,
