,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DLR,4,2022,102.2,-2.3,11.0,,-0.024,0.006,-841,708,417,5.7,83,-3633,,,,,,-0.267,,,-0.2,0.4,0.2,-1.108,1059,0.527,0.429,0.321,-0.8,0.2,3.3,,-3.7,-41,-0.146,0.062,-550,,0.0,0.3,1.0,0.429,0.7,,,,,,,,,-4.7,,0.952,-0.156,
1,DLR,3,2022,-16.6,-3.0,21.5,,0.208,-0.054,-1213,1037,707,2.2,-770,-4302,,,,,,-0.309,,,-0.2,0.4,0.1,-0.275,542,0.58,0.361,0.075,-0.8,0.3,7.3,,-3.2,-46,-0.101,0.051,-883,,0.0,0.2,1.0,0.361,0.2,,,,,,,,,-4.2,,1.206,-0.015,
2,DLR,2,2022,-12.1,-2.9,65.6,,0.293,-0.074,-1436,1115,758,-0.8,-1061,-4366,,,,,,-0.316,,,-0.2,0.4,0.1,0.37,246,0.285,,,-0.9,0.3,16.8,,-3.2,-48,-0.134,0.046,-1078,,0.0,0.2,,,2.9,,,,,,,,,-4.2,,-0.461,0.093,
3,DLR,1,2022,-19.3,-3.8,35.3,,0.229,-0.053,-1400,1190,927,-0.1,-775,-3993,,,,,,-0.287,,,-0.2,0.4,0.1,0.04,457,0.438,,,-1.0,0.3,9.4,,-3.5,-46,-0.181,0.056,-1137,,0.0,0.2,,,23.1,,,,,,,,,-4.5,,0.072,0.217,
4,DLR,4,2021,-13.9,-3.2,38.8,,0.267,-0.049,-1380,1269,1048,0.9,-745,-3281,,,,,,-0.229,,,-0.2,0.4,0.1,-0.123,426,0.584,0.368,,-1.3,0.3,10.8,12.5,-4.4,-43,-0.17,0.044,-1159,,0.0,0.2,,0.368,-0.5,,,,,,,,,-5.4,,1.891,0.059,
5,DLR,3,2021,-8.2,-2.3,125.0,,0.333,-0.055,-1022,633,520,0.1,-849,-3097,,,,,,-0.212,,,-0.2,0.4,0.1,-0.077,147,0.474,0.026,,-1.4,0.3,32.7,8.8,-4.7,-44,-0.205,0.043,-909,,0.0,0.2,,0.026,-20.8,,,,,,,,,-5.7,,0.013,0.079,
6,DLR,2,2021,-12.0,-3.8,85.8,,0.402,-0.058,-763,444,387,0.7,-920,-2869,,,,,,-0.194,,,-0.2,0.4,0.1,-0.228,145,0.504,0.126,,-1.5,0.3,34.8,8.8,-5.2,-43,-0.166,0.055,-706,,0.0,0.3,,0.126,-1.1,,,,,,,,,-6.2,,-4.757,0.031,
7,DLR,1,2021,-6.8,-2.9,-388.0,,0.577,-0.073,-579,293,253,-0.4,-1192,-2783,,,,,,-0.183,,,-0.2,0.4,0.2,-0.118,-39,0.511,,,-1.7,0.3,-136.8,4.9,-5.5,-45,-0.249,0.063,-539,,0.0,0.4,,,5.8,,,,,,,,,-6.5,,-0.797,0.211,
8,DLR,4,2020,-7.7,-4.5,-66.6,,1.03,-0.079,-460,249,212,0.3,-1352,-2297,,,,,,-0.141,,,-0.1,0.4,0.2,-0.138,-191,0.145,0.049,,-2.2,0.3,-28.4,3.5,-7.1,-41,-0.274,0.078,-423,,0.0,0.4,,0.049,-2.9,,,,,,,,,-8.1,,-0.114,0.143,
9,DLR,3,2020,-6.6,-5.2,-69.7,,1.709,-0.087,-390,216,175,0.0,-1567,-2009,,,,,,-0.122,,,-0.1,0.4,0.2,0.105,-216,0.167,0.006,,-2.6,0.3,-26.1,3.7,-8.2,-43,-0.329,0.064,-348,,0.0,0.4,,0.006,-33.1,,,,,,,,,-9.2,,0.44,0.175,
10,DLR,2,2020,-6.4,-5.3,-102.7,,2.049,-0.077,-385,206,163,-0.4,-1419,-1710,,,,,,-0.101,,,-0.1,0.4,0.2,-0.044,-150,0.048,,,-3.4,0.3,-41.4,4.2,-9.9,-42,-0.47,0.077,-342,,0.0,0.4,,,3.5,,,,,,,,,-10.9,,-0.172,0.265,
11,DLR,1,2020,-6.1,-6.7,-87.0,,4.911,-0.082,-414,221,173,-0.9,-1484,-1352,,,,,,-0.077,,,-0.1,0.5,0.2,0.103,-181,0.023,,,-4.3,0.3,-34.8,4.3,-13.0,-42,-0.399,0.052,-365,,0.0,0.4,,,2.1,,,,,,,,,-14.0,,4.442,3.115,
12,DLR,4,2019,-6.8,-28.0,-414.2,,-2.067,-0.064,220,192,180,0.1,-1345,-328,,,,,,-0.018,,,0.0,0.5,0.2,0.038,-33,0.098,0.023,-0.16,-17.7,0.3,-190.1,2.3,-54.5,-35,-2.453,0.089,232,1.7,0.0,0.4,1.0,0.023,-6.8,,,,,,,,,-55.5,,-0.746,-2.879,
13,DLR,3,2019,-9.1,67.4,-116.1,,-1.148,-0.06,204,183,172,0.4,-1296,174,,,,,,0.009,,,0.0,0.6,0.3,0.002,-131,0.189,0.046,-0.091,34.2,0.3,-49.3,2.3,111.6,-32,7.602,0.127,215,1.8,-0.001,0.4,1.0,0.046,-2.0,,,,,,,,,110.6,,-0.521,-0.462,
