,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DMC,4,2022,7.8,1.1,5.5,,0.142,0.116,279,117,79,,5761,42027,,,,,,0.802,,,4.1,4.5,3.5,0.091,7606.0,0.305,0.195,0.163,0.0,0.0,0.0,,1.2,1270,0.033,0.03,318,1.3,-0.094,0.9,0.8,0.195,1.0,,,,,,,,,0.2,,0.08,0.051,
1,DMC,3,2022,8.6,1.1,6.0,,0.136,0.107,260,115,77,,5281,39983,,,,,,0.779,,,3.5,4.0,3.2,0.06,7042.0,0.273,0.143,0.123,0.0,0.0,0.0,,1.3,1199,0.075,0.067,298,1.4,-0.072,0.9,0.8,0.143,1.1,,,,,,,,,0.3,,0.092,0.037,
2,DMC,2,2022,9.6,1.2,6.6,,0.133,0.105,251,98,65,,4984,38568,,,,,,0.769,,,3.3,3.9,3.0,0.037,6451.0,0.301,0.141,0.122,0.0,0.0,0.0,,1.3,1146,0.07,0.06,284,1.5,-0.039,1.0,0.8,0.141,1.1,,,,,,,,,0.3,,0.026,-0.042,
3,DMC,1,2022,11.3,1.4,7.6,,0.122,0.109,270,90,44,,4807,40239,,,,,,0.868,,,6.6,6.6,5.1,0.048,6290.0,0.253,0.1,0.087,0.0,0.0,0.0,,1.2,1199,0.066,0.053,316,1.4,-0.039,1.0,0.8,0.1,1.1,,,,,,,,,0.2,,0.037,0.023,
4,DMC,4,2021,10.9,1.3,10.2,,0.119,0.103,275,99,46,,4587,39336,,,,,,0.842,,,5.3,5.5,4.2,0.061,6068.0,0.276,0.141,0.119,0.0,0.0,0.0,,1.2,1165,0.062,0.039,328,1.3,-0.037,1.0,0.8,0.141,1.1,,,,,,,,,0.2,,0.057,0.041,
5,DMC,3,2021,13.3,1.5,8.9,,0.116,0.095,264,120,52,,4324,37772,,,,,,0.8,,,4.0,4.4,3.1,0.085,5743.0,0.243,0.117,0.1,0.0,0.0,0.0,,1.3,1105,0.049,0.035,332,1.4,-0.038,0.9,0.8,0.117,1.1,,,,,,,,,0.3,,0.086,0.031,
6,DMC,2,2021,12.4,1.3,11.4,,0.11,0.089,265,113,68,,3985,36654,,,,,,0.814,,,4.4,4.6,3.6,-0.143,5287.0,0.286,0.136,0.117,0.0,0.0,0.0,,1.2,1060,0.054,0.032,310,1.4,-0.041,0.9,0.8,0.136,1.1,,,,,,,,,0.2,,-0.117,-0.049,
7,DMC,1,2021,11.3,1.4,7.8,,0.123,0.108,274,91,54,,4647,38561,,,,,,0.915,,,10.7,10.0,8.1,-0.105,5987.0,0.266,0.094,0.082,0.0,0.0,0.0,,1.1,1121,0.038,0.03,311,1.3,-0.052,1.0,0.8,0.094,1.1,,,,,,,,,0.1,,-0.096,0.018,
8,DMC,4,2020,11.0,1.5,7.5,,0.14,0.121,266,84,56,,5190,37897,,,,,,0.903,,,9.3,8.7,7.0,-0.104,6621.0,0.288,0.119,0.102,0.0,0.0,0.0,,1.1,1094,0.082,0.059,293,1.4,-0.076,1.0,0.8,0.119,1.1,,,,,,,,,0.1,,-0.09,0.036,
9,DMC,3,2020,9.5,1.5,7.6,,0.164,0.138,255,93,47,,5793,36596,,,,,,0.838,,,5.2,5.3,4.0,-0.136,7274.0,0.256,0.089,0.082,0.0,0.0,0.0,,1.2,1042,0.093,0.058,300,1.4,-0.11,1.0,0.8,0.089,1.2,,,,,,,,,0.2,,-0.129,0.022,
