,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DNH,4,2022,9.7,2.3,7.1,,0.234,0.172,218,12,31,10.1,3582,15275,,,,,,0.747,,,3.1,4.4,4.3,-0.182,5410,0.375,0.321,0.324,0.3,0.2,0.8,0.1,1.3,1648,0.186,0.082,199,1.7,-0.027,0.3,0.9,0.321,1.2,,,,,,,,,0.3,,-0.036,0.026,
1,DNH,3,2022,9.8,2.9,8.9,,0.302,0.222,165,10,13,24.2,4376,14890,,,,,,0.753,,,3.2,5.3,5.2,0.077,5609,0.62,0.587,0.511,0.3,0.2,0.8,0.0,1.3,1466,0.033,0.011,161,2.2,-0.038,0.4,0.8,0.587,1.0,,,,,,,,,0.3,,0.079,0.057,
2,DNH,2,2022,8.1,2.3,9.4,,0.293,0.205,135,11,20,33.0,4061,14084,,,,,,0.703,,,2.4,2.4,2.3,0.118,5197,0.687,0.659,0.627,0.3,0.2,0.9,0.1,1.4,1075,0.082,0.026,126,2.7,-0.024,0.3,0.8,0.659,1.2,,,,,,,,,0.4,,0.115,-0.065,
3,DNH,1,2022,9.4,2.3,9.5,,0.258,0.184,154,11,15,34.1,3631,15061,,,,,,0.74,,,2.9,5.8,5.7,0.122,4663,0.717,0.696,0.648,0.3,0.2,1.0,0.0,1.4,1571,0.029,0.011,150,2.4,-0.011,0.3,0.8,0.696,1.1,,,,,,,,,0.3,,0.081,-0.014,
4,DNH,4,2021,11.0,2.3,10.4,,0.224,0.158,190,22,25,33.2,3238,15277,,,,,,0.72,,,2.7,4.0,4.0,0.329,4313,0.666,0.639,0.604,0.3,0.2,1.2,0.1,1.4,1634,0.113,0.043,187,1.9,-0.032,0.3,0.8,0.639,1.2,,,,,,,,,0.4,,0.241,0.084,
5,DNH,3,2021,14.3,2.5,12.8,,0.178,0.125,184,23,23,14.2,2437,14097,,,,,,0.715,,,2.6,5.4,5.3,-0.023,3475,0.527,0.499,0.457,0.3,0.3,1.5,0.0,1.4,1308,0.036,0.013,184,2.0,-0.011,0.3,0.8,0.499,1.1,,,,,,,,,0.4,,-0.051,0.037,
6,DNH,2,2021,13.5,2.5,14.2,,0.19,0.128,131,24,19,19.1,2494,13595,,,,,,0.691,,,2.3,3.2,3.1,0.147,3663,0.588,0.554,0.58,0.4,0.3,1.5,0.1,1.4,1041,0.026,0.008,136,2.8,-0.014,0.3,1.0,0.554,1.1,,,,,,,,,0.4,,0.103,0.042,
7,DNH,1,2021,12.6,2.1,,,0.163,0.109,148,24,22,28.2,2175,13049,,,,,,0.682,,,2.2,2.5,2.4,0.388,3320,0.659,0.639,0.53,0.4,0.3,1.7,0.0,1.5,643,0.014,,150,2.5,-0.031,0.2,0.7,0.639,1.1,,,,,,,,,0.5,,0.223,-0.042,
8,DNH,4,2020,17.8,2.0,15.8,,0.112,0.074,248,38,31,10.6,1567,13621,,,,,,0.689,,,2.3,3.3,3.1,-0.026,2715,0.475,0.438,0.383,0.4,0.3,2.2,0.1,1.5,938,0.025,0.009,255,1.5,-0.016,0.2,0.8,0.438,1.1,,,,,,,,,0.4,,-0.061,0.027,
9,DNH,3,2020,14.2,1.7,11.7,,0.118,0.08,129,33,87,15.1,1609,13268,,,,,,0.685,,,2.2,3.2,3.0,-0.247,2891,0.57,0.548,0.415,0.4,0.3,1.7,0.0,1.5,778,0.02,0.009,74,2.8,0.142,0.2,0.8,0.548,0.9,,,,,,,,,0.4,,-0.16,0.043,
