,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DP3,4,2022,8.0,2.1,6.7,,0.278,0.228,149,168,46,7.8,12653,48540,,,,,,0.822,,,4.6,3.4,2.7,0.087,14863,0.642,0.37,0.325,0.0,0.0,0.0,,1.2,220,0.051,0.024,271,2.5,-0.234,1.0,0.8,0.37,1.1,,,,,,,,,0.2,,0.061,0.108,
1,DP3,3,2022,7.7,2.1,6.6,,0.282,0.219,126,178,32,111.5,11645,43802,,,,,,0.776,,,3.5,2.6,2.0,0.03,14012,0.693,0.187,0.151,0.0,0.0,0.1,,1.3,176,0.063,0.029,271,2.9,-0.131,1.0,0.8,0.187,1.0,,,,,,,,,0.3,,0.03,0.045,
2,DP3,2,2022,8.0,2.1,6.5,,0.285,0.213,120,186,38,184.5,11304,41908,,,,,,0.721,,,2.6,2.1,1.7,-0.014,13599,0.728,0.257,0.238,0.0,0.0,0.1,,1.4,158,0.06,0.028,268,3.0,-0.07,1.0,0.8,0.257,1.1,,,,,,,,,0.4,,-0.018,-0.069,
3,DP3,1,2022,9.4,2.4,6.6,,0.262,0.214,166,183,62,182.1,11462,45003,,,,,,0.823,,,4.7,3.4,2.6,0.045,13851,0.712,0.23,0.175,0.0,0.0,0.1,,1.2,196,0.05,0.024,287,2.2,-0.011,0.9,0.8,0.23,1.0,,,,,,,,,0.2,,0.062,0.057,
4,DP3,4,2021,9.8,2.5,7.9,,0.265,0.213,161,192,62,337.2,10965,42587,,,,,,0.822,,,4.6,3.2,2.4,-0.061,13039,0.684,0.365,0.299,0.0,0.0,0.0,,1.2,176,0.068,0.027,291,2.3,-0.004,0.9,0.8,0.365,1.0,,,,,,,,,0.2,,-0.013,0.096,
5,DP3,3,2021,9.5,2.8,8.2,,0.313,0.224,139,194,42,161.0,11680,38858,,,,,,0.776,,,3.5,2.5,1.8,-0.057,13214,0.739,0.207,0.165,0.0,0.0,0.3,,1.3,146,0.08,0.028,291,2.6,-0.002,0.8,0.8,0.207,1.0,,,,,,,,,0.3,,-0.072,0.042,
6,DP3,2,2021,9.0,3.0,8.0,,0.35,0.252,128,186,52,289.0,12389,37304,,,,,,0.779,,,3.5,2.4,1.8,-0.024,14243,0.631,0.358,0.325,0.0,0.0,0.3,,1.3,131,0.057,0.018,263,2.8,0.14,0.9,0.8,0.358,1.1,,,,,,,,,0.3,,-0.036,-0.119,
7,DP3,1,2021,9.6,2.9,7.6,,0.317,0.257,176,176,58,199.8,12689,42363,,,,,,0.807,,,4.2,3.0,2.3,-0.043,14782,0.721,0.227,0.183,0.0,0.0,0.1,,1.2,177,0.07,0.026,294,2.1,-0.003,0.9,0.8,0.227,1.0,,,,,,,,,0.2,,-0.046,0.052,
8,DP3,4,2020,5.9,1.9,8.0,,0.352,0.281,154,166,57,207.4,13261,40283,,,,,,0.785,,,3.6,2.7,2.1,0.418,15494,0.649,0.385,0.362,0.0,0.0,0.1,,1.3,160,0.118,0.04,264,2.4,-0.005,1.0,0.8,0.385,1.2,,,,,,,,,0.3,,0.374,0.124,
9,DP3,3,2020,7.4,1.9,9.3,,0.266,0.195,146,185,57,20.0,9350,35839,,,,,,0.662,,,2.0,1.9,1.5,-0.03,11273,0.754,0.292,0.222,0.2,0.1,0.4,,1.5,143,0.061,0.022,274,2.5,-0.005,0.9,0.8,0.292,1.0,,,,,,,,,0.5,,-0.011,0.067,
10,DP3,2,2020,6.3,1.8,7.7,,0.293,0.211,126,166,52,146.6,9640,33577,,,,,,0.663,,,2.0,2.0,1.5,-0.03,11399,0.661,0.416,0.36,0.2,0.2,0.4,,1.5,140,0.045,0.018,240,2.9,-0.296,1.1,0.8,0.416,1.1,,,,,,,,,0.5,,-0.086,-0.11,
11,DP3,1,2020,5.2,1.4,5.0,,0.277,0.223,159,144,48,121.8,9942,37729,,,,,,0.813,,,4.3,3.6,2.9,0.018,12474,0.697,0.254,0.205,0.0,0.0,0.1,,1.2,193,0.241,0.13,255,2.3,0.342,1.1,0.8,0.254,1.0,,,,,,,,,0.2,,-0.101,0.075,
12,DP3,4,2019,6.5,1.8,4.3,,0.348,0.275,21,142,44,17.4,9770,35089,,,,,,0.813,,,4.3,3.6,2.8,0.117,13872,0.631,0.044,0.047,0.0,0.0,0.1,4.8,1.2,176,0.529,0.281,119,17.1,0.0,1.3,0.9,0.044,1.0,,,,,,,,,0.2,,0.059,0.015,
13,DP3,3,2019,6.5,1.6,5.2,,0.301,0.24,32,133,51,91.7,8745,34555,,,,,,0.832,,,4.9,3.9,2.8,-0.057,13095,0.663,0.239,0.196,0.0,0.0,0.1,6.9,1.2,170,0.416,0.194,114,11.3,-0.006,1.3,1.3,0.239,1.0,,,,,,,,,0.2,,-0.072,0.075,
14,DP3,2,2019,5.8,1.7,4.2,,0.35,0.267,29,137,52,97.0,9272,32146,,,,,,0.791,,,3.8,3.1,2.2,-0.035,14111,0.551,0.479,0.378,0.1,0.0,0.2,10.4,1.3,147,0.401,0.2,114,12.7,-0.006,1.5,1.3,0.479,1.0,,,,,,,,,0.3,,-0.002,-0.054,
15,DP3,1,2019,6.5,1.8,3.9,,0.362,0.269,26,159,41,170.6,9611,33966,,,,,,0.798,,,3.9,3.4,2.4,0.032,14134,0.704,0.25,0.202,0.1,0.0,0.1,4.6,1.3,170,0.447,0.245,145,13.8,-0.546,1.5,1.2,0.25,1.0,,,,,,,,,0.3,,-0.078,0.615,
16,DP3,4,2018,6.9,3.0,5.0,,0.49,0.352,21,133,51,-6.3,9310,21031,,,,,,0.754,,,3.1,2.7,1.6,-0.163,15331,0.617,-0.016,-0.039,0.1,0.0,0.1,1.2,1.3,90,0.245,0.076,103,17.3,-0.194,2.1,1.0,-0.016,2.6,,,,,,,,,0.3,,-0.128,-0.105,
17,DP3,3,2018,5.3,2.5,3.6,,0.557,0.369,29,110,45,86.3,11126,23509,,,,,,0.752,,,3.0,2.8,1.9,0.229,17580,0.638,0.263,0.213,0.1,0.0,0.1,1.7,1.3,110,0.361,0.151,95,12.4,-0.205,1.7,1.3,0.263,1.0,,,,,,,,,0.3,,0.264,0.129,
18,DP3,2,2018,5.7,2.5,6.4,,0.5,0.33,32,120,45,124.6,9053,20818,,,,,,0.719,,,2.6,2.3,1.4,0.705,13913,0.626,0.432,0.35,0.1,0.1,0.2,3.4,1.4,85,0.297,0.097,106,11.3,-0.201,1.7,1.3,0.432,1.0,,,,,,,,,0.4,,0.744,0.088,
19,DP3,1,2018,9.5,2.6,9.4,,0.298,0.196,31,146,39,79.5,5311,19136,,,,,,0.66,,,1.9,2.1,1.2,0.192,7976,0.64,0.185,0.149,0.1,0.1,0.3,1.2,1.5,86,0.353,0.107,138,11.9,-0.001,1.6,1.2,0.185,1.0,,,,,,,,,0.5,,0.145,0.129,
20,DP3,4,2017,12.2,3.2,9.8,,0.277,0.187,28,155,57,30.0,4454,16957,,,,,,0.679,,,2.1,2.2,1.0,0.239,6967,0.576,0.175,0.147,0.1,0.1,0.4,0.5,1.5,69,0.216,0.062,126,13.2,0.0,1.6,1.3,0.175,1.1,,,,,,,,,0.5,,0.18,0.033,
21,DP3,3,2017,11.4,2.5,11.7,,0.231,0.14,33,123,36,24.5,3596,16423,,,,,,0.566,,,1.3,1.6,1.1,0.198,5905,0.562,0.116,0.105,0.1,0.1,0.6,0.9,1.8,63,0.561,0.149,120,11.0,-0.001,1.5,1.3,0.116,1.1,,,,,,,,,0.8,,0.18,0.065,
22,DP3,2,2017,9.1,1.8,11.8,,0.202,0.127,38,129,39,21.3,3001,15419,,,,,,0.596,,,1.5,1.7,1.1,0.068,5002,0.551,0.118,0.084,0.1,0.1,0.8,1.0,1.7,53,0.376,0.116,128,9.6,0.012,1.4,1.3,0.118,0.9,,,,,,,,,0.7,,0.011,-0.065,
23,DP3,1,2017,7.6,1.3,8.4,,0.179,0.119,39,145,48,29.2,2810,16488,,,,,,0.654,,,1.9,1.9,1.2,0.074,4945,0.579,0.169,0.133,0.1,0.1,0.8,1.2,1.5,60,0.307,0.142,136,9.3,-0.007,1.3,1.3,0.169,1.0,,,,,,,,,0.5,,-0.076,0.087,
24,DP3,4,2016,8.0,1.4,7.5,,0.193,0.121,32,165,71,10.4,2616,15164,,,,,,0.669,,,2.0,1.8,0.9,0.084,5351,0.532,0.09,0.057,0.2,0.1,1.1,1.9,1.5,47,0.136,0.077,126,11.5,-0.007,1.3,1.3,0.09,0.8,,,,,,,,,0.5,,0.103,0.032,
