,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DQC,4,2022,37.1,0.6,11.5,,0.015,0.009,187,227,58,1.6,499,33467,,,,,,0.619,,,1.7,2.0,1.1,-0.489,1709.0,0.318,0.023,0.001,0.2,0.1,3.0,3.4,1.6,513,0.022,0.04,356,2.0,-0.017,0.7,0.3,0.023,0.1,,,,,,,,,0.6,,0.196,-0.014,
1,DQC,3,2022,18.7,0.5,13.3,,0.029,0.019,198,228,59,6.0,976,33953,,,,,,0.626,,,1.7,2.0,1.2,0.197,1429.0,0.307,0.027,0.017,0.2,0.1,2.9,2.5,1.6,517,0.014,0.026,366,1.8,-0.091,0.7,0.8,0.027,0.8,,,,,,,,,0.6,,0.166,0.004,
2,DQC,2,2022,26.9,0.6,14.0,,0.024,0.016,225,239,55,3.5,816,33801,,,,,,0.669,,,2.1,2.2,1.2,-0.097,1225.0,0.344,0.029,0.001,0.2,0.1,3.2,2.1,1.5,493,0.035,0.071,409,1.6,-0.087,0.6,0.5,0.029,0.1,,,,,,,,,0.5,,0.326,0.001,
3,DQC,1,2022,48.1,1.3,24.9,,0.027,0.018,248,230,58,3.0,904,33768,,,,,,0.653,,,1.9,2.2,1.3,0.055,924.0,0.334,0.036,0.043,0.2,0.1,4.4,2.4,1.5,502,0.044,0.062,421,1.5,-0.081,0.5,1.0,0.036,1.3,,,,,,,,,0.5,,0.205,-0.008,
4,DQC,4,2021,36.9,0.9,33.4,,0.026,0.017,248,242,73,1.1,857,34042,,,,,,0.653,,,1.9,2.1,1.3,0.216,767.0,0.276,,0.052,0.1,0.1,4.7,1.9,1.5,501,0.06,0.072,417,1.5,-0.084,0.5,0.9,,-8.0,,,,,,,,,0.5,,-0.587,0.014,
5,DQC,3,2021,32.4,0.7,17.6,,0.021,0.013,273,267,81,0.1,704,33574,,,,,,0.659,,,2.0,2.3,1.3,-0.053,1858.0,0.325,0.001,0.001,0.1,0.1,2.2,1.4,1.5,527,0.04,0.036,459,1.3,-0.594,0.5,0.3,0.001,2.2,,,,,,,,,0.5,,3.04,0.0,
6,DQC,2,2021,26.9,0.6,53.9,,0.022,0.014,229,206,65,-1.8,744,33570,,,,,,0.671,,,2.1,2.3,1.5,0.022,460.0,0.343,,0.016,0.1,0.1,9.0,1.4,1.5,519,0.084,0.098,370,1.6,-0.441,0.6,0.8,,-0.9,,,,,,,,,0.5,,-0.039,-0.003,
7,DQC,1,2021,32.6,0.7,30.6,,0.021,0.014,234,183,77,1.1,727,33674,,,,,,0.68,,,2.2,2.4,1.6,0.289,479.0,0.29,0.01,0.04,0.1,0.1,6.2,1.4,1.5,522,0.15,0.272,341,1.6,-0.439,0.7,0.9,0.01,4.4,,,,,,,,,0.5,,0.538,0.015,
8,DQC,4,2020,30.8,0.5,56.8,,0.017,0.01,232,187,69,20.5,564,33191,,,,,,0.649,,,1.9,2.2,1.4,0.579,311.0,0.243,,0.031,0.1,0.1,10.4,1.2,1.5,498,0.122,0.19,349,1.6,-0.496,0.6,0.8,,-1.0,,,,,,,,,0.5,,-1.225,0.01,
9,DQC,3,2020,45.3,0.5,-10.0,,0.011,0.006,273,221,60,4.6,357,32865,,,,,,0.58,,,1.4,2.1,1.4,-0.418,-1384.0,0.233,0.017,0.005,0.2,0.1,-2.9,1.3,1.7,629,0.171,0.337,434,1.3,0.356,0.6,0.4,0.017,0.8,,,,,,,,,0.7,,22.735,-0.002,
