,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DRI,4,2022,9.2,1.0,3.5,,0.091,0.064,25,94,3,18.9,818,7727,,,,,,0.738,,,2.9,1.5,0.8,0.271,2686,0.449,0.305,0.184,0.2,0.2,1.1,0.7,1.4,54,0.117,0.121,116,14.4,-0.042,0.5,0.9,0.305,0.7,,,,,,,,,0.3,,-0.179,0.064,
1,DRI,3,2022,13.4,1.2,2.5,,0.075,0.052,30,86,3,10.9,644,7260,,,,,,0.726,,,2.7,2.4,1.4,-0.304,3272,0.326,0.214,,0.3,0.2,1.0,0.1,1.4,75,0.07,0.078,113,12.1,-0.035,0.6,,0.214,-0.1,,,,,,,,,0.4,,-0.097,-0.061,
2,DRI,2,2022,12.7,1.5,2.4,,0.101,0.067,19,103,17,18.3,925,7728,,,,,,0.681,,,2.2,1.6,0.8,-0.168,3624,0.466,0.364,0.151,0.3,0.2,1.0,0.3,1.5,68,0.112,0.125,105,19.3,-0.022,0.6,0.7,0.364,0.6,,,,,,,,,0.5,,-0.049,-0.165,
3,DRI,1,2022,15.9,1.9,3.6,,0.111,0.079,4,53,8,10.5,1111,9252,,,,,,0.756,,,3.2,1.8,1.0,0.06,3809,0.341,0.253,0.156,0.3,0.2,0.9,0.3,1.3,58,0.089,0.068,49,103.4,-0.007,0.6,0.8,0.253,0.8,,,,,,,,,0.3,,-0.002,-0.104,
4,DRI,4,2021,15.8,1.6,5.2,,0.1,0.066,-20,82,3,15.4,1049,10331,,,,,,0.686,,,2.2,1.1,0.6,-0.212,3817,0.497,0.397,0.079,0.4,0.3,1.2,0.8,1.5,17,0.112,0.064,59,,-0.005,0.5,0.5,0.397,0.4,,,,,,,,,0.4,,0.042,0.031,
5,DRI,3,2021,9.0,1.2,4.9,,0.131,0.086,-19,88,8,9.8,1331,10022,,,,,,0.685,,,2.2,1.1,0.4,0.034,3663,0.4,0.31,0.1,0.4,0.3,1.3,0.5,1.5,17,0.047,0.034,62,,-0.011,0.5,0.7,0.31,0.5,,,,,,,,,0.4,,0.147,-0.053,
6,DRI,2,2021,7.9,1.0,5.7,,0.124,0.077,-38,98,21,7.1,1287,10584,,,,,,0.653,,,1.9,1.0,0.5,0.813,3194,0.416,0.322,0.235,0.4,0.3,1.6,0.6,1.5,-7,0.093,0.067,38,,-0.016,0.4,0.8,0.322,0.9,,,,,,,,,0.5,,0.249,-0.014,
7,DRI,1,2021,11.6,0.8,5.3,,0.065,0.042,-47,63,13,4.8,710,10730,,,,,,0.678,,,2.2,0.7,0.4,0.976,2557,0.338,0.255,0.131,0.4,0.3,2.1,0.6,1.5,-46,0.043,0.05,2,,-0.024,0.4,0.8,0.255,0.7,,,,,,,,,0.5,,0.217,0.014,
8,DRI,4,2020,20.2,0.7,6.4,,0.033,0.02,-77,73,3,7.5,359,10578,,,,,,0.635,,,1.8,0.7,0.4,0.909,2101,0.464,0.337,0.248,0.5,0.3,2.7,0.9,1.6,-82,0.041,0.047,-7,,-0.021,0.3,0.8,0.337,0.9,,,,,,,,,0.6,,0.154,0.034,
9,DRI,3,2020,20.5,0.4,7.9,,0.018,0.011,-63,59,7,4.8,188,10233,,,,,,0.627,,,1.7,0.6,0.2,0.479,1821,0.31,0.212,0.08,0.5,0.3,3.4,0.5,1.6,-73,0.026,0.03,-12,,-0.035,0.4,1.0,0.212,0.4,,,,,,,,,0.6,,-0.066,0.009,
