,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DSG,4,2022,-10.3,4.0,17.9,,-0.326,-0.093,-285,163,517,3.3,-447,1143,,,,,,0.255,,,0.3,0.5,0.3,-0.184,271,0.217,0.055,,0.6,0.1,2.1,0.9,3.9,-48,0.208,0.052,-639,,-0.021,0.4,,0.055,-0.6,,,,,,,,,2.9,,0.652,-0.029,
1,DSG,3,2022,-9.3,4.3,33.8,,-0.376,-0.107,-334,218,523,-4.9,-547,1176,,,,,,0.235,,,0.3,0.5,0.3,0.019,164,0.02,,,0.5,0.1,3.4,0.8,4.2,-49,0.326,0.072,-640,,-0.045,0.3,,,1.9,,,,,,,,,3.2,,-0.049,-0.116,
2,DSG,2,2022,-11.4,4.6,30.6,,-0.289,-0.098,-273,294,856,-6.1,-537,1330,,,,,,0.262,,,0.4,0.5,0.2,-0.115,172,0.102,,,0.5,0.1,3.4,0.8,3.8,-47,0.225,0.061,-835,,-0.034,0.3,,,2.2,,,,,,,,,2.8,,0.795,-0.104,
3,DSG,1,2022,-11.7,4.8,60.3,,-0.297,-0.112,-286,289,703,-2.7,-607,1485,,,,,,0.295,,,0.4,0.5,0.2,-0.051,96,0.122,,,0.4,0.1,5.5,2.3,3.4,-52,0.051,0.014,-700,,-0.04,0.3,,,3.2,,,,,,,,,2.4,,0.437,-0.072,
4,DSG,4,2021,-12.1,4.8,88.1,,-0.217,-0.1,-305,284,783,-3.7,-639,1600,,,,,,0.312,,,0.5,0.5,0.2,-0.031,67,0.116,,,0.3,0.1,7.6,1.6,3.2,-51,0.053,0.015,-803,,-0.018,0.3,,,2.4,,,,,,,,,2.2,,-1.864,-0.077,
5,DSG,3,2021,-8.7,3.3,-92.7,,-0.213,-0.102,-233,272,734,-6.4,-659,1735,,,,,,0.333,,,0.5,0.5,0.2,0.128,-77,0.03,,,0.3,0.1,-6.2,1.1,3.0,-47,0.054,0.014,-695,,-0.041,0.3,,,2.0,,,,,,,,,2.0,,-0.36,-0.271,
6,DSG,2,2021,-10.9,2.7,-60.6,,-0.169,-0.083,-161,312,500,-12.5,-584,2381,,,,,,0.406,,,0.7,0.7,0.2,0.289,-121,,,,0.2,0.1,-4.2,1.0,2.5,-30,0.022,0.008,-350,,-0.022,0.3,,,1.5,,,,,,,,,1.5,,0.031,-0.086,
7,DSG,1,2021,-14.6,2.5,-55.4,,-0.125,-0.065,-152,305,482,-4.7,-453,2606,,,,,,0.446,,,0.8,0.7,0.2,0.137,-117,0.037,,,0.2,0.1,-3.1,0.8,2.2,-26,0.004,0.002,-329,,-0.066,0.3,,,2.2,,,,,,,,,1.2,,-0.37,-0.395,
8,DSG,4,2020,-10.5,1.0,-44.7,,-0.089,-0.048,-86,308,480,-10.0,-398,4308,,,,,,0.563,,,1.3,0.7,0.2,0.043,-186,,,,0.1,0.1,-3.4,,1.8,-32,0.014,0.007,-258,,-0.093,0.2,,,1.1,,,,,,,,,0.8,,0.981,-0.035,
9,DSG,3,2020,-33.7,2.9,-44.7,,-0.082,-0.047,78,306,446,-3.9,-382,4462,,,,,,0.574,,,1.3,0.8,0.3,0.157,-94,0.045,,,0.1,0.1,-5.9,0.2,1.7,-16,0.016,0.019,-62,4.7,-0.25,0.2,,,1.2,,,,,,,,,0.7,,1.799,-0.015,
10,DSG,2,2020,-66.5,4.9,-224.1,,-0.07,-0.039,103,331,503,-9.0,-330,4531,,,,,,0.546,,,1.2,0.8,0.4,0.116,-34,,,,0.1,0.1,-17.1,0.5,1.8,-17,0.101,0.061,-69,3.5,-0.407,0.2,,,1.1,,,,,,,,,0.8,,-1.621,-0.02,
11,DSG,1,2020,-74.2,4.8,407.1,,-0.062,-0.036,88,323,516,-1.9,-296,4625,,,,,,0.57,,,1.3,0.8,0.3,0.193,54,0.023,,,0.1,0.0,8.1,0.5,1.8,-20,0.047,0.01,-105,4.2,-0.372,0.2,,,1.2,,,,,,,,,0.8,,-0.698,-0.017,
