,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DTD,4,2022,5.9,0.8,2.1,,0.142,0.047,152,116,98,17.3,2175,17005,,,,,,0.36,,,0.9,2.2,1.8,0.004,9018,0.244,0.188,0.11,0.1,0.0,0.3,5.1,2.8,346,0.099,0.169,171,2.4,-0.412,0.3,0.6,0.188,1.0,,,,,,,,,1.2,,-0.193,0.115,
1,DTD,3,2022,8.6,1.2,2.2,,0.152,0.049,102,125,134,95.7,2166,15248,,,,,,0.358,,,0.9,1.4,1.0,-0.151,11172,0.465,0.397,0.193,0.1,0.0,0.3,6.4,2.8,134,0.15,0.231,93,3.6,-0.227,0.3,0.5,0.397,1.0,,,,,,,,,1.1,,-0.136,0.048,
2,DTD,2,2022,6.9,1.2,2.0,,0.19,0.055,55,84,132,60.9,2551,14552,,,,,,0.344,,,0.8,1.2,0.9,-0.054,12926,0.425,0.374,0.193,0.1,0.1,0.3,9.2,2.9,67,0.11,0.164,8,6.6,-0.182,0.3,0.5,0.374,1.0,,,,,,,,,1.2,,-0.013,0.07,
3,DTD,1,2022,13.0,2.6,2.7,,0.216,0.059,21,88,128,8.2,2698,13601,,,,,,0.307,,,0.7,1.0,0.8,-0.104,13096,0.185,0.122,0.093,0.1,0.1,0.2,9.4,3.3,18,0.038,0.04,-19,17.3,-0.035,0.3,0.7,0.122,1.1,,,,,,,,,1.4,,-0.137,-0.003,
4,DTD,4,2021,13.4,2.9,2.9,,0.244,0.06,52,91,127,19.7,3010,13642,,,,,,0.298,,,0.7,1.4,1.1,0.06,15182,0.389,0.308,0.156,0.2,0.1,0.2,10.5,3.4,139,0.063,0.052,17,7.0,-0.268,0.3,0.5,0.308,1.0,,,,,,,,,1.5,,-0.043,0.024,
5,DTD,3,2021,11.6,2.5,3.9,,0.235,0.068,91,81,108,107.6,2839,13327,,,,,,0.285,,,0.6,1.4,1.2,0.08,15860,0.365,0.3,0.169,0.1,0.1,0.2,2.9,3.5,169,0.031,0.018,63,4.0,-0.693,0.4,0.5,0.3,1.1,,,,,,,,,1.6,,-0.304,0.084,
6,DTD,2,2021,11.1,2.4,3.0,,0.238,0.059,41,81,152,104.1,2628,12290,,,,,,0.247,,,0.5,1.3,1.1,-0.14,22771,0.568,0.485,0.245,0.1,0.0,0.2,2.4,4.1,132,0.244,0.114,-31,9.0,-0.714,0.4,0.5,0.485,1.0,,,,,,,,,1.8,,0.052,0.082,
7,DTD,1,2021,10.8,2.9,2.1,,0.304,0.08,-17,70,106,40.3,3057,11355,,,,,,0.242,,,0.5,1.1,0.9,0.112,21654,0.378,0.285,0.16,0.1,0.0,0.2,,4.1,56,0.034,0.025,-54,,-1.194,0.5,0.5,0.285,1.0,,,,,,,,,1.9,,0.109,0.021,
8,DTD,4,2020,9.1,2.3,2.1,,0.285,0.057,74,70,122,9.3,2750,11123,,,,,,0.199,,,0.4,1.1,1.0,0.037,19518,0.142,0.088,0.06,0.1,0.0,0.2,,5.0,58,0.067,0.05,21,5.0,-0.853,0.4,0.6,0.088,1.0,,,,,,,,,2.6,,-0.039,0.013,
9,DTD,3,2020,6.0,1.5,1.7,,0.278,0.07,96,75,111,84.8,2653,10977,,,,,,0.295,,,0.7,1.4,1.2,0.463,20302,0.389,0.278,0.13,0.1,0.0,0.2,4.0,3.4,181,0.172,0.16,60,3.8,-0.58,0.4,0.5,0.278,1.0,,,,,,,,,1.4,,2.006,0.111,
