,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DTK,4,2022,7.7,0.8,4.0,,0.101,0.045,-51,13,73,-0.7,1167,11895,,,,,,0.487,,,1.0,0.8,0.7,-0.139,4433,0.012,,0.04,0.8,0.4,2.3,1.2,2.1,-1220,0.032,0.042,-111,,-0.018,0.6,1.1,,-1.3,,,,,,,,,1.0,,0.01,0.012,
1,DTK,3,2022,8.1,0.9,4.2,,0.12,0.052,-67,11,66,3.6,1356,11750,,,,,,0.478,,,0.9,0.6,0.5,0.051,4391,0.17,0.141,0.081,0.8,0.4,2.3,0.9,2.1,-1982,0.023,0.028,-122,,-0.035,0.7,0.9,0.141,0.6,,,,,,,,,1.1,,0.0,0.023,
2,DTK,2,2022,9.8,1.1,4.2,,0.116,0.048,-62,10,66,3.6,1290,11490,,,,,,0.45,,,0.8,0.7,0.6,-0.116,4392,0.145,0.114,0.049,0.8,0.4,2.5,0.8,2.2,-1907,0.014,0.018,-119,,-0.04,0.7,0.9,0.114,0.5,,,,,,,,,1.2,,-0.096,-0.037,
3,DTK,1,2022,9.9,1.2,4.8,,0.127,0.051,-61,8,75,5.5,1459,11932,,,,,,0.433,,,0.8,0.7,0.7,0.207,4857,0.171,0.15,0.118,0.9,0.4,2.5,1.0,2.3,-1932,0.025,0.024,-128,,-0.052,0.7,0.9,0.15,0.9,,,,,,,,,1.3,,0.052,0.06,
4,DTK,4,2021,12.9,1.4,5.4,,0.11,0.043,-60,10,77,3.2,1209,11252,,,,,,0.411,,,0.7,0.7,0.6,0.17,4619,0.105,0.077,0.06,1.0,0.4,2.7,0.7,2.4,-1805,0.019,0.016,-127,,-0.048,0.7,1.2,0.077,0.6,,,,,,,,,1.4,,-0.021,0.031,
5,DTK,3,2021,12.2,1.2,5.8,,0.096,0.037,-81,10,76,1.6,1033,10908,,,,,,0.399,,,0.7,0.6,0.5,0.092,4718,0.083,0.059,0.048,1.1,0.4,2.7,0.6,2.5,-2447,0.013,0.009,-146,,-0.032,0.7,0.9,0.059,0.9,,,,,,,,,1.5,,0.019,0.018,
6,DTK,2,2021,11.9,1.1,5.4,,0.089,0.032,-76,8,74,3.5,945,10715,,,,,,0.375,,,0.6,0.6,0.6,0.104,4629,0.116,0.093,0.071,1.2,0.4,2.9,0.6,2.7,-2419,0.027,0.023,-142,,-0.026,0.6,0.9,0.093,0.8,,,,,,,,,1.7,,0.073,-0.031,
7,DTK,1,2021,12.4,1.0,5.8,,0.078,0.028,-72,8,81,3.1,856,11060,,,,,,0.38,,,0.6,0.6,0.6,0.128,4313,0.124,0.105,0.072,1.2,0.5,3.4,0.6,2.6,-2516,0.014,0.013,-145,,-0.012,0.6,0.8,0.105,0.8,,,,,,,,,1.6,,-0.066,0.028,
8,DTK,4,2020,16.8,1.2,5.3,,0.071,0.025,-82,8,80,4.6,759,10764,,,,,,0.366,,,0.6,0.6,0.5,0.022,4618,0.175,0.14,0.032,1.2,0.5,3.2,0.5,2.7,-2522,0.062,0.059,-154,,-0.007,0.6,0.9,0.14,0.2,,,,,,,,,1.7,,-0.068,0.015,
9,DTK,3,2020,9.1,0.6,5.1,,0.07,0.024,-89,8,75,1.4,742,10606,,,,,,0.363,,,0.6,0.5,0.4,0.157,4952,0.087,0.062,0.026,1.2,0.5,2.9,0.5,2.8,-3129,0.044,0.038,-155,,-0.015,0.6,0.8,0.062,0.5,,,,,,,,,1.7,,-0.002,0.01,
