,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DTP,4,2022,11.8,2.3,10.9,,0.223,0.154,119,192,25,15.1,7186,36368,,,,,,0.658,,,1.9,2.2,1.3,0.016,9760,0.527,0.159,0.131,0.3,0.2,0.9,1.3,1.5,293,0.04,0.017,287,3.1,-0.351,1.1,0.9,0.159,0.9,,,,,,,,,0.5,,0.032,0.068,
1,DTP,3,2022,6.9,1.4,12.0,,0.235,0.156,150,214,49,38.1,7075,34059,,,,,,0.656,,,1.9,2.7,1.7,0.474,9461,0.556,0.3,0.264,0.3,0.2,1.0,1.2,1.5,371,0.046,0.017,315,2.4,-0.149,1.0,0.9,0.3,1.0,,,,,,,,,0.5,,0.426,0.127,
2,DTP,2,2022,13.9,2.2,8.7,,0.176,0.119,131,209,40,9.7,4801,30222,,,,,,0.688,,,2.2,2.3,1.4,-0.201,6633,0.477,0.088,0.072,0.2,0.1,1.0,3.3,1.5,255,0.143,0.088,300,2.8,-0.137,0.9,0.9,0.088,0.9,,,,,,,,,0.5,,-0.191,-0.021,
3,DTP,1,2022,11.6,2.3,8.1,,0.221,0.159,138,205,41,5.1,6009,30867,,,,,,0.772,,,3.4,3.2,1.8,-0.13,8196,0.497,0.075,0.048,0.2,0.1,0.9,2.4,1.3,273,0.066,0.037,302,2.6,-0.136,0.9,0.9,0.075,0.8,,,,,,,,,0.3,,-0.243,0.102,
4,DTP,4,2021,11.2,2.8,9.4,,0.274,0.195,120,191,20,19.8,6910,28004,,,,,,0.736,,,2.8,2.7,1.4,0.033,10820,0.602,0.221,0.191,0.2,0.2,0.8,2.8,1.4,230,0.025,0.01,291,3.0,-0.086,1.0,0.9,0.221,1.0,,,,,,,,,0.4,,0.032,0.076,
5,DTP,3,2021,8.8,2.3,10.4,,0.287,0.191,110,191,31,14.4,6688,26029,,,,,,0.671,,,2.0,2.2,1.2,0.007,10483,0.547,0.235,0.196,0.3,0.2,0.9,2.4,1.5,206,0.024,0.008,270,3.3,-0.073,1.0,0.9,0.235,0.9,,,,,,,,,0.5,,0.007,0.073,
6,DTP,2,2021,7.5,2.0,9.3,,0.306,0.195,90,174,35,16.8,6638,24249,,,,,,0.665,,,2.0,2.1,1.2,0.235,10406,0.512,0.253,0.217,0.3,0.2,1.0,2.4,1.5,173,0.04,0.015,230,4.0,-0.074,1.0,0.9,0.253,0.9,,,,,,,,,0.5,,0.221,0.036,
7,DTP,1,2021,15.6,3.6,8.9,,0.251,0.158,100,160,54,11.1,5373,23416,,,,,,0.662,,,2.0,2.1,1.3,0.306,8521,0.526,0.203,0.171,0.3,0.2,1.2,1.8,1.5,163,0.05,0.023,206,3.6,-0.04,0.9,0.9,0.203,0.9,,,,,,,,,0.5,,0.305,0.042,
8,DTP,4,2020,9.0,1.6,14.6,,0.205,0.129,141,188,48,14.0,4114,22470,,,,,,0.681,,,2.1,2.1,1.4,0.888,6527,0.554,0.225,0.194,0.3,0.2,1.6,1.6,1.5,148,0.037,0.013,281,2.6,-0.031,0.7,0.9,0.225,0.9,,,,,,,,,0.5,,0.843,0.092,
9,DTP,3,2020,11.8,1.2,16.3,,0.119,0.071,161,289,92,10.4,2178,20568,,,,,,0.659,,,1.9,2.0,1.2,2.268,3542,0.501,0.234,0.194,0.4,0.2,3.2,1.6,1.5,129,0.052,0.029,359,2.3,-0.013,0.4,0.9,0.234,0.9,,,,,,,,,0.5,,2.178,0.078,
10,DTP,2,2020,26.2,0.9,39.1,,0.04,0.022,241,639,156,4.3,666,19075,,,,,,0.603,,,1.5,1.6,0.9,,1115,0.48,0.144,0.115,0.4,0.3,10.4,1.8,1.7,100,0.062,0.046,724,1.5,-0.009,0.2,1.0,0.144,0.8,,,,,,,,,0.7,,,-0.02,
