,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DVN,4,2022,46.2,1.5,32.0,,0.032,0.015,58,81,119,1.6,365,10952,,,,,,0.449,,,0.9,1.3,0.9,-0.125,650,0.098,0.021,0.02,0.4,0.2,7.3,27.0,2.2,823,0.03,0.021,21,6.3,-0.048,1.0,0.7,0.021,1.4,,,,,,,,,1.1,,0.098,0.01,
1,DVN,3,2022,42.6,1.6,35.3,,0.037,0.016,59,94,137,3.1,417,10842,,,,,,0.429,,,0.8,1.2,0.9,-0.157,592,0.1,0.028,0.018,0.4,0.2,8.3,24.2,2.3,781,0.082,0.056,16,6.2,-0.057,0.8,0.7,0.028,1.0,,,,,,,,,1.2,,0.059,0.01,
2,DVN,2,2022,35.9,1.7,37.7,,0.044,0.02,58,106,156,1.8,494,10735,,,,,,0.435,,,0.9,1.2,0.9,-0.429,559,0.091,0.021,,0.4,0.2,8.8,27.6,2.3,653,0.035,0.025,8,6.3,-0.039,0.8,,0.021,0.0,,,,,,,,,1.2,,0.08,-0.067,
3,DVN,1,2022,28.1,2.1,45.4,,0.075,0.034,66,110,143,1.3,867,11504,,,,,,0.455,,,0.9,1.3,0.9,-0.011,518,0.106,0.016,0.037,0.4,0.2,10.4,29.4,2.2,781,0.095,0.062,33,5.5,-0.024,0.8,0.8,0.016,2.9,,,,,,,,,1.1,,0.122,-0.034,
4,DVN,4,2021,27.2,2.0,55.7,,0.075,0.035,73,110,157,1.5,877,11908,,,,,,0.482,,,1.0,1.3,1.0,-0.087,462,0.1,0.019,0.042,0.4,0.2,11.4,30.4,2.1,949,0.065,0.04,26,5.0,-0.019,0.7,0.8,0.019,2.5,,,,,,,,,1.0,,-0.105,0.007,
5,DVN,3,2021,24.6,2.0,54.4,,0.083,0.038,62,105,130,1.5,961,11829,,,,,,0.466,,,1.0,1.3,0.9,0.069,515,0.1,0.019,0.042,0.5,0.2,10.6,31.4,2.1,828,0.085,0.047,36,5.9,-0.013,0.8,0.8,0.019,2.5,,,,,,,,,1.0,,0.053,0.012,
6,DVN,2,2021,20.3,1.6,63.6,,0.079,0.035,53,111,126,1.8,899,11685,,,,,,0.455,,,0.9,1.3,0.8,0.014,490,0.095,0.022,0.06,0.4,0.2,10.8,27.1,2.2,804,0.028,0.014,38,6.9,-0.034,0.8,0.9,0.022,3.2,,,,,,,,,1.1,,-0.058,-0.008,
7,DVN,1,2021,19.2,1.4,52.8,,0.077,0.036,58,105,119,0.8,886,11778,,,,,,0.469,,,1.0,1.3,0.8,0.096,519,0.097,0.011,0.041,0.4,0.2,10.5,28.2,2.1,850,0.032,0.019,44,6.3,-0.078,0.9,0.8,0.011,4.3,,,,,,,,,1.0,,-0.173,0.019,
8,DVN,4,2020,20.9,1.5,36.1,,0.072,0.033,52,100,116,1.9,808,11559,,,,,,0.452,,,0.9,1.3,0.8,0.121,628,0.107,0.022,0.042,0.4,0.2,8.5,21.9,2.2,818,0.029,0.021,36,7.0,-0.052,0.9,0.8,0.022,2.4,,,,,,,,,1.1,,0.103,0.018,
9,DVN,3,2020,18.0,1.1,38.6,,0.065,0.03,52,91,108,1.6,721,11350,,,,,,0.458,,,0.9,1.3,0.8,-0.083,570,0.092,0.021,0.023,0.4,0.2,9.6,21.5,2.2,818,0.026,0.019,36,7.0,-0.083,0.9,0.8,0.021,1.5,,,,,,,,,1.1,,0.05,0.014,
10,DVN,2,2020,12.5,0.9,34.8,,0.072,0.032,41,94,103,1.3,786,11198,,,,,,0.447,,,0.9,1.2,0.8,0.122,542,0.1,0.023,0.062,0.4,0.2,10.4,23.8,2.2,675,0.064,0.056,32,8.8,-0.081,1.0,0.9,0.023,2.9,,,,,,,,,1.1,,0.014,-0.008,
11,DVN,1,2020,12.4,0.8,35.5,,0.064,0.029,43,90,98,1.6,701,11283,,,,,,0.462,,,1.0,1.3,0.8,-0.167,535,0.089,0.023,0.018,0.4,0.2,10.9,21.5,2.2,729,0.03,0.027,35,8.5,-0.047,1.0,0.7,0.023,1.1,,,,,,,,,1.0,,0.06,0.026,
12,DVN,4,2019,12.1,0.9,32.7,,0.078,0.035,94,93,103,1.0,841,10998,,,,,,0.462,,,1.0,1.3,0.8,0.044,505,0.095,0.012,0.028,0.5,0.2,11.1,18.2,2.2,704,0.043,0.047,85,3.9,-0.094,1.0,1.3,0.012,2.8,,,,,,,,,1.0,,-0.184,0.012,
13,DVN,3,2019,15.0,1.1,33.0,,0.076,0.033,100,93,106,1.0,806,10863,,,,,,0.457,,,0.9,1.3,0.9,-0.07,618,0.085,0.015,0.032,0.5,0.2,10.4,30.4,2.2,723,0.043,0.035,87,3.7,-0.094,1.0,1.2,0.015,2.5,,,,,,,,,1.1,,-0.104,0.018,
14,DVN,2,2019,17.6,1.4,26.1,,0.083,0.035,102,106,124,1.2,866,10672,,,,,,0.451,,,0.9,1.2,0.8,-0.064,689,0.082,0.019,0.037,0.5,0.3,9.4,34.2,2.2,579,0.038,0.036,85,3.6,-0.098,1.0,1.2,0.019,2.3,,,,,,,,,1.1,,0.055,-0.008,
