,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,EFI,1,2016,14.2,0.5,-132.6,,0.039,0.038,133,20.0,17,,570,15037,,,,,,0.988,,,85.9,48.4,47.7,-0.014,-45,0.01,-0.098,0.119,0.0,0.0,0.0,,1.0,89,0.048,0.089,137.0,2.7,0.0,0.1,1.3,-0.098,-1.6,,,,,,,,,0.0,,-0.183,0.003,
1,EFI,4,2015,14.5,0.6,-89.1,,0.039,0.039,112,22.0,11,,578,14998,,,,,,0.985,,,64.2,36.2,35.7,0.121,-55,0.191,-0.075,0.844,0.0,0.0,0.0,,1.0,89,0.076,0.15,122.0,3.3,0.0,0.1,1.1,-0.075,-12.3,,,,,,,,,0.0,,-0.202,0.014,
2,EFI,3,2015,17.0,0.6,-78.4,,0.035,0.035,148,21.0,13,,516,14792,,,,,,0.991,,,114.7,63.4,62.3,-0.008,-69,0.124,0.0,0.204,0.0,0.0,0.0,,1.0,86,0.102,0.184,157.0,2.5,0.0,0.1,1.3,0.0,5604.9,,,,,,,,,0.0,,0.73,0.004,
3,EFI,2,2015,15.9,0.6,-141.1,,0.036,0.036,120,,16,,520,14731,,,,,,0.992,,,124.4,68.2,68.2,0.036,-40,0.067,-0.016,0.546,0.0,0.0,0.0,,1.0,85,0.091,0.161,,3.1,5.592,0.1,1.2,-0.016,-42.5,,,,,,,,,0.0,,1.688,0.016,
4,EFI,1,2015,14.9,0.5,-389.9,,0.035,0.035,157,,19,,502,14501,,,,,,0.976,,,40.6,18.9,18.9,-0.13,-15,-0.034,-0.176,0.184,0.0,0.0,0.0,,1.0,69,0.099,0.168,,2.3,0.0,0.1,1.0,-0.176,-1.1,,,,,,,,,0.0,,-1.488,0.003,
5,EFI,4,2014,,,180.5,,0.041,0.04,123,,17,,577,14464,,,,,,0.991,,,114.2,52.6,52.6,0.092,30,0.116,-0.151,0.654,0.0,0.0,0.4,,1.0,70,0.247,0.42,,3.0,0.0,0.1,1.1,-0.151,-4.7,,,,,,,,,0.0,,-0.605,0.009,
6,EFI,3,2014,,,28.8,,0.037,0.037,100,,17,,529,14329,,,,,,0.992,,,116.8,52.8,52.8,-0.113,77,0.275,0.13,0.234,0.0,0.0,0.0,,1.0,68,0.279,0.615,,3.7,0.0,0.1,1.3,0.13,2.3,,,,,,,,,0.0,,-0.269,0.005,
7,EFI,2,2014,,,27.6,,0.042,0.041,102,,19,,596,14265,,,,,,0.99,,,96.6,43.3,43.3,0.157,106,0.217,0.086,0.803,0.0,0.0,0.0,,1.0,67,0.264,0.57,,3.6,-3.031,0.1,1.2,0.086,10.9,,,,,,,,,0.0,,-0.217,0.011,
8,EFI,1,2014,,,28.8,,0.036,0.036,177,,21,186.8,515,14115,,,,,,0.99,,,95.2,42.0,42.0,-0.098,135,0.177,0.041,0.453,0.0,0.0,0.0,,1.0,65,0.213,0.376,,2.1,192.509,0.1,1.2,0.041,12.9,,,,,,,,,0.0,,-0.277,0.004,
9,EFI,4,2013,,,14.4,,0.04,0.04,141,,22,,571,14064,,,,,,0.985,,,64.9,28.6,28.6,-0.16,186,0.327,0.069,0.447,0.0,0.0,0.1,,1.0,64,0.228,0.452,,2.6,-56.742,0.1,1.2,0.069,7.5,,,,,,,,,0.0,,3.383,0.009,
