,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,EIN,4,2022,-37.3,0.2,-26.1,,-0.007,-0.002,3456,628,96,,-70,10787,,,,,,0.373,,,0.6,1.3,1.3,1.258,-251,,,,0.4,0.1,-20.9,1.5,2.7,259,0.0,0.001,3988,0.1,0.0,0.0,,,0.9,,,,,,,,,1.7,,-0.125,-0.007,
1,EIN,3,2022,-156.7,0.5,-23.3,,-0.003,-0.001,4424,774,114,,-31,10868,,,,,,0.375,,,0.6,1.3,1.3,0.688,-287,,,0.015,0.4,0.1,-19.8,1.5,2.7,263,0.001,0.002,5084,0.1,0.0,0.0,1.0,,0.0,,,,,,,,,1.7,,0.03,0.002,
2,EIN,2,2022,-326.1,0.6,-26.8,,-0.002,-0.001,7336,1225,170,-2.6,-18,10850,,,,,,0.373,,,0.6,1.3,1.3,-2.068,-278,,,,0.4,0.1,-22.5,1.5,2.7,261,0.002,0.006,8391,0.0,0.0,0.0,,,0.3,,,,,,,,,1.7,,-0.034,-0.001,
3,EIN,1,2022,766.8,1.2,-42.8,,0.002,0.001,12322,1671,243,-0.7,17,10860,,,,,,0.345,,,0.5,1.3,1.3,-0.527,-288,0.022,,0.077,0.5,0.2,-28.9,2.5,2.9,293,0.001,0.001,13750,0.0,0.0,0.0,1.0,,-0.1,,,,,,,,,1.9,,-0.065,0.001,
4,EIN,4,2021,426.6,1.4,-43.5,,0.003,0.001,9236,1488,248,-0.4,36,10845,,,,,,0.272,,,0.4,1.2,1.2,-0.935,-308,,,0.118,0.6,0.2,-34.7,3.0,3.7,261,0.011,0.019,10476,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,2.7,,0.848,-0.007,
5,EIN,3,2021,28.2,1.5,-116.5,,0.053,0.019,2534,574,57,-0.2,563,10919,,,,,,0.322,,,0.5,1.3,1.2,0.005,-167,,,5.47,0.7,0.2,-47.7,3.3,3.1,266,0.003,0.002,3051,0.1,0.0,0.0,1.0,,-0.3,,,,,,,,,2.1,,-0.331,0.006,
6,EIN,2,2021,24.3,1.3,,,0.053,0.02,1955,420,334,-0.4,560,10851,,,,,,0.327,,,0.5,1.3,1.2,-0.071,-249,,,,0.8,0.3,-32.6,3.9,3.1,264,0.002,,2041,0.2,0.0,0.0,,,-0.4,,,,,,,,,2.1,,1.805,-0.001,
7,EIN,1,2021,30.3,1.7,-342.1,,0.068,0.023,562,147,16,-0.3,603,10859,,,,,,0.314,,,0.5,1.3,1.2,0.1,-89,,,0.239,1.0,0.3,-123.2,5.2,3.2,264,0.001,0.0,693,0.6,-0.004,0.1,1.0,,-0.4,,,,,,,,,2.2,,-0.002,-0.013,
8,EIN,4,2020,15.4,0.8,-196.4,,0.06,0.019,442,139,25,0.3,549,11001,,,,,,0.292,,,0.4,1.2,1.1,1.508,-89,0.264,0.106,0.881,1.3,0.4,-146.6,,3.4,190,0.005,0.008,557,0.8,-0.004,0.1,0.8,0.106,10.4,,,,,,,,,2.4,,-1.38,0.064,
9,EIN,3,2020,17.1,0.4,137.3,,0.025,0.01,347,120,8,-0.8,218,10335,,,,,,0.414,,,0.7,1.3,1.3,-0.246,234,,,0.058,0.8,0.3,38.3,,2.4,227,0.005,0.003,459,1.1,-0.004,0.2,1.0,,-0.1,,,,,,,,,1.4,,-0.379,0.004,
