,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,FID,4,2022,621.7,0.2,11.8,,0.0,0.0,203.0,1.0,22.0,,2,10049,,,,,,0.999,,,1607.1,146.9,146.9,-1.176,129,0.026,0.009,0.004,0.0,0.0,0.0,,1.0,23,0.003,0.017,182.0,1.8,0.0,0.2,0.8,0.009,0.6,,,,,,,,,0.0,,0.166,0.0,
1,FID,3,2022,-205.4,0.3,16.0,,-0.001,-0.001,212.0,4.0,543.0,,-14,10047,,,,,,0.922,,,11.8,2.0,2.0,-1.44,111,0.023,,,0.0,0.0,0.0,,1.1,22,0.007,0.041,-327.0,1.7,0.0,0.1,,,1.0,,,,,,,,,0.1,,-0.052,0.0,
2,FID,2,2022,96.5,0.3,20.3,,0.003,0.003,71.0,1.0,144.0,,33,10049,,,,,,0.922,,,11.8,2.0,2.0,-0.546,117,0.025,0.008,0.007,0.0,0.0,0.0,,1.1,22,0.008,0.035,-71.0,5.1,0.0,0.3,0.9,0.008,1.0,,,,,,,,,0.1,,0.02,0.001,
3,FID,1,2022,98.6,0.7,28.7,,0.007,0.007,48.0,1.0,31.0,,72,10042,,,,,,0.998,,,443.3,38.0,37.5,-0.112,115,0.041,,,0.0,0.0,0.0,,1.0,21,0.009,0.026,18.0,7.6,0.0,0.4,,,1.0,,,,,,,,,0.0,,-0.086,0.0,
4,FID,4,2021,111.9,0.9,34.6,,0.008,0.008,33.0,1.0,18.0,,82,10046,,,,,,0.982,,,53.9,5.4,5.3,-0.193,125,1.0,,,0.0,0.0,0.0,,1.0,20,0.011,0.025,16.0,11.1,0.0,0.6,,,1.0,,,,,,,,,0.0,,0.066,0.048,
5,FID,3,2021,53.0,0.6,54.7,,0.011,0.01,15.0,1.0,59.0,,101,9586,,,,,,0.821,,,4.6,1.2,1.1,-4.092,118,0.02,0.002,0.023,0.0,0.0,0.0,,1.2,8,0.007,0.011,-43.0,25.0,0.0,0.6,1.0,0.002,11.9,,,,,,,,,0.2,,0.575,0.0,
6,FID,2,2021,-112.3,0.4,,,-0.003,-0.003,20.0,1.0,151.0,,-32,9583,,,,,,0.87,,,6.7,1.2,1.2,-0.793,75,0.021,0.002,0.022,0.0,0.0,0.0,,1.1,7,0.005,,-130.0,18.3,0.0,0.4,1.0,0.002,9.6,,,,,,,,,0.1,,0.811,0.005,
7,FID,1,2021,-22.6,0.4,,,-0.017,-0.016,20.0,1.0,53.0,,-159,9536,,,,,,0.935,,,14.4,1.4,1.4,-0.03,41,0.028,0.004,0.003,0.0,0.0,0.0,,1.1,6,0.006,,-32.0,17.9,0.0,0.4,0.8,0.004,1.0,,,,,,,,,0.1,,15.061,-0.008,
8,FID,4,2020,-9.1,0.2,3058.6,,-0.017,-0.015,28.0,1.0,104.0,,-163,9614,,,,,,0.964,,,26.9,1.6,1.6,0.084,3,0.01,0.004,0.005,0.0,0.0,0.0,,1.0,5,0.002,0.003,-75.0,13.0,0.0,0.3,1.1,0.004,1.0,,,,,,,,,0.0,,-0.907,0.0,
9,FID,3,2020,-7.3,0.1,68.5,,-0.016,-0.015,70.0,1.0,4.0,,-151,9609,,,,,,1.0,,,2025.0,45.3,43.2,1.306,28,,,,0.0,0.0,0.0,,1.0,5,0.011,0.058,67.0,5.2,-0.762,0.3,,,14.5,,,,,,,,,0.0,,-0.095,-0.001,
10,FID,2,2020,-16.8,0.1,,,-0.007,-0.006,71.0,1.0,141.0,,-65,9616,,,,,,0.808,,,4.2,1.1,1.1,-9.878,30,0.008,0.002,,0.0,0.0,0.0,,1.2,5,0.002,,-69.0,5.1,-0.762,0.3,,0.002,-20.0,,,,,,,,,0.2,,0.586,-0.008,
11,FID,1,2020,135.4,0.1,,,0.001,0.001,149.0,1.0,76.0,,7,9695,,,,,,0.948,,,18.2,1.4,1.4,40.362,19,0.008,0.001,0.0,0.0,0.0,0.0,,1.1,5,0.003,,73.0,2.5,-0.761,0.1,0.7,0.001,0.7,,,,,,,,,0.1,,0.667,0.0,
12,FID,4,2019,5600.1,0.1,85.4,,0.0,0.0,252.0,1.0,426.0,,0,9695,,,,,,0.811,,,4.3,1.1,1.1,-1.007,12,0.046,0.039,0.024,0.0,0.0,0.0,,1.2,7,0.002,0.022,-173.0,1.5,-0.761,0.1,1.1,0.039,0.7,,,,,,,,,0.2,,-1.382,0.002,
13,FID,3,2019,-47.3,0.1,,,-0.003,-0.002,,,,,-25,9678,,,,,,0.899,,,8.9,1.9,1.9,-0.091,-30,,,,0.0,0.0,0.0,,1.1,24,0.001,,,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,0.1,,-0.074,0.0,
14,FID,2,2019,-50.1,0.1,,,-0.003,-0.003,1672.0,12.0,1216.0,,-27,9681,,,,,,0.899,,,8.9,1.9,1.9,0.738,-33,,,,0.0,0.0,0.0,,1.1,24,0.001,,468.0,0.2,0.0,0.0,1.0,,1.0,,,,,,,,,0.1,,0.741,-0.001,
