,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,FIR,4,2022,20.7,3.0,15.1,,0.184,0.107,517,614,0,2.4,2012,13767,,,,,,0.552,,,1.2,2.5,1.8,-0.099,4678,0.661,0.517,0.268,0.5,0.3,1.4,2.4,1.8,725,0.015,0.005,1130,0.7,-1.279,0.4,0.8,0.517,0.6,,,,,,,,,0.8,,-0.04,0.014,
1,FIR,3,2022,17.7,2.9,14.4,,0.211,0.123,471,651,2,4.4,2233,13583,,,,,,0.556,,,1.3,2.5,1.7,0.087,4872,0.565,0.43,0.268,0.5,0.3,1.2,2.2,1.8,715,0.068,0.022,1120,0.8,-1.852,0.4,0.8,0.43,0.8,,,,,,,,,0.8,,0.145,0.044,
2,FIR,2,2022,17.1,2.7,15.8,,0.204,0.12,512,694,1,9.9,2054,13016,,,,,,0.585,,,1.4,2.6,2.0,0.166,4255,0.605,0.442,0.313,0.5,0.3,1.4,2.9,1.7,657,0.015,0.005,1205,0.7,-1.378,0.4,0.8,0.442,0.9,,,,,,,,,0.7,,-0.114,0.508,
3,FIR,1,2022,16.9,3.4,16.9,,0.227,0.131,362,822,21,,1762,8632,,,,,,0.523,,,1.1,2.0,1.2,0.56,4803,0.777,0.45,0.321,0.4,0.2,0.9,4.6,1.9,377,0.022,0.005,1163,1.0,-0.124,0.4,0.8,0.45,0.9,,,,,,,,,0.9,,0.373,0.07,
4,FIR,4,2021,20.3,2.8,16.5,,0.151,0.098,418,456,7,20.4,1129,8065,,,,,,0.633,,,1.7,2.3,2.0,0.522,3497,0.752,0.484,0.363,0.2,0.1,0.7,,1.6,314,0.039,0.011,867,0.9,-0.085,0.4,0.8,0.484,0.9,,,,,,,,,0.6,,0.232,0.066,
5,FIR,3,2021,35.5,3.5,20.4,,0.103,0.067,474,548,33,15.1,742,7566,,,,,,0.64,,,1.8,2.2,1.8,0.358,2840,0.719,0.486,0.381,0.2,0.1,0.9,,1.6,278,0.017,0.005,989,0.8,-0.245,0.3,0.9,0.486,0.8,,,,,,,,,0.6,,0.251,0.054,
6,FIR,2,2021,42.8,3.3,20.3,,0.079,0.049,483,628,8,24.8,546,7178,,,,,,0.599,,,1.5,2.0,1.6,0.116,2270,0.51,0.306,0.219,0.3,0.2,1.3,,1.7,257,0.249,0.087,1102,0.8,-1.856,0.3,0.8,0.306,0.9,,,,,,,,,0.7,,0.14,0.045,
7,FIR,1,2021,36.1,2.6,21.0,,0.074,0.049,542,1213,279,8.4,489,6870,,,,,,0.661,,,2.0,2.1,1.5,-0.419,1992,0.669,0.25,,0.1,0.1,0.8,3129.8,1.5,214,0.007,0.003,1476,0.7,-0.541,0.3,,0.25,-0.3,,,,,,,,,0.5,,-0.232,-0.174,
8,FIR,4,2020,21.8,2.2,16.2,,0.107,0.072,516,1331,291,12.9,842,8322,,,,,,0.674,,,2.1,2.2,1.6,-0.231,2595,0.673,0.242,0.16,0.1,0.1,0.5,277.6,1.5,220,0.039,0.018,1556,0.7,-0.539,0.3,0.8,0.242,0.8,,,,,,,,,0.5,,-0.324,0.016,
9,FIR,3,2020,14.6,2.0,10.9,,0.143,0.098,486,943,39,11.3,1095,8189,,,,,,0.665,,,2.0,2.3,1.5,-0.151,3839,0.693,0.333,0.266,0.1,0.1,0.3,153.0,1.5,232,0.033,0.018,1390,0.8,-0.872,0.4,1.1,0.333,0.7,,,,,,,,,0.5,,-0.146,0.029,
10,FIR,2,2020,12.0,2.0,9.1,,0.176,0.115,433,916,32,22.0,1291,7957,,,,,,0.64,,,1.8,2.1,1.4,-0.127,4495,0.859,0.433,0.355,0.1,0.1,0.3,114.2,1.6,221,0.036,0.02,1317,0.8,-0.005,0.4,0.8,0.433,1.0,,,,,,,,,0.6,,-0.147,0.038,
11,FIR,1,2020,10.2,2.0,7.0,,0.213,0.131,331,665,10,22.4,1478,7669,,,,,,0.665,,,2.0,2.2,1.4,-0.551,5269,0.757,0.326,0.22,0.1,0.1,0.3,76.8,1.5,211,0.013,0.008,985,1.1,-0.007,0.4,0.7,0.326,1.0,,,,,,,,,0.5,,-0.425,-0.38,
12,FIR,4,2019,6.7,1.8,5.1,,0.307,0.151,50,488,387,144.6,3294,12363,,,,,,0.684,,,2.2,2.3,1.3,-0.036,9158,0.445,0.345,0.271,0.1,0.0,0.2,27.4,1.5,203,0.16,0.088,151,7.3,-0.623,0.5,1.3,0.345,1.0,,,,,,,,,0.5,,0.004,0.054,
13,FIR,3,2019,6.0,1.7,5.5,,0.34,0.188,71,209,15,578.0,3419,11729,,,,,,0.704,,,2.4,2.8,1.4,-0.009,9124,0.631,0.512,0.404,0.0,0.0,0.1,0.8,1.4,236,0.007,0.004,265,5.1,-1.274,0.7,1.2,0.512,1.0,,,,,,,,,0.4,,0.017,0.064,
14,FIR,2,2019,5.4,1.7,4.5,,0.37,0.201,42,214,23,196.0,3449,11025,,,,,,0.67,,,2.1,2.5,1.2,-0.148,8974,0.513,0.382,0.282,0.0,0.0,0.1,0.6,1.5,217,0.091,0.05,233,8.7,-1.145,0.7,1.3,0.382,1.0,,,,,,,,,0.5,,0.551,0.074,
15,FIR,1,2019,5.2,2.1,6.9,,0.491,0.257,47,245,6,63.2,4047,10264,,,,,,0.567,,,1.3,1.9,0.9,0.245,5787,0.556,0.443,0.329,0.1,0.0,0.1,17.9,1.8,195,0.096,0.051,286,7.8,-1.42,0.7,1.3,0.443,1.0,,,,,,,,,0.8,,0.657,0.131,
16,FIR,4,2018,5.4,2.0,13.4,,0.435,0.185,67,250,110,37.9,3250,9072,,,,,,0.356,,,0.6,1.4,1.0,0.128,3492,0.306,0.199,0.189,0.1,0.0,0.5,23.0,2.8,193,0.009,0.004,207,5.5,-0.312,0.5,1.3,0.199,1.2,,,,,,,,,1.8,,0.213,0.085,
