,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,FOC,4,2022,7.9,2.7,6.2,,0.364,0.263,291,4,26,,13431,38896,,,,,,0.746,,,3.0,3.7,3.7,-0.074,15134,0.591,0.274,0.26,0.0,0.0,0.0,,1.3,650,0.231,0.085,269,1.3,-0.09,0.8,0.8,0.274,1.2,,,,,,,,,0.3,,-0.09,0.044,
1,FOC,3,2022,8.1,3.2,5.7,,0.419,0.309,280,2,35,,14500,37253,,,,,,0.754,,,3.1,3.9,3.9,0.098,16630,0.574,0.352,0.312,0.0,0.0,0.0,,1.3,628,0.314,0.111,247,1.3,-1.169,0.9,0.8,0.352,1.1,,,,,,,,,0.3,,0.07,0.108,
2,FOC,2,2022,9.3,3.7,6.9,,0.418,0.307,286,5,30,,13206,33626,,,,,,0.759,,,3.2,3.9,3.9,0.045,15542,0.588,0.4,0.357,0.0,0.0,0.0,,1.3,566,0.261,0.076,261,1.3,-1.347,0.9,0.8,0.4,1.1,,,,,,,,,0.3,,0.01,-0.11,
3,FOC,1,2022,10.6,3.5,6.9,,0.301,0.233,414,7,36,,12639,37763,,,,,,0.746,,,3.0,3.8,3.7,0.058,15386,0.673,0.412,0.361,0.0,0.0,0.0,,1.3,640,0.351,0.111,384,0.9,-1.229,0.6,0.8,0.412,1.1,,,,,,,,,0.3,,0.081,0.085,
4,FOC,4,2021,9.3,3.2,8.6,,0.302,0.215,404,6,47,,11949,34807,,,,,,0.696,,,2.3,3.1,3.1,-0.01,14236,0.724,0.432,0.377,0.0,0.0,0.0,,1.4,584,0.435,0.11,364,0.9,-1.121,0.6,0.8,0.432,1.1,,,,,,,,,0.4,,0.007,0.09,
5,FOC,3,2021,9.3,3.5,7.5,,0.329,0.238,353,2,41,,12065,31948,,,,,,0.718,,,2.6,3.4,3.4,-0.002,14135,0.683,0.427,0.329,0.0,0.0,0.0,,1.4,541,0.53,0.138,314,1.0,-0.294,0.7,0.8,0.427,1.0,,,,,,,,,0.4,,0.041,0.079,
6,FOC,2,2021,8.3,3.4,6.7,,0.353,0.253,323,1,27,,12095,29614,,,,,,0.71,,,2.5,3.3,3.3,0.067,13573,0.722,0.491,0.386,0.0,0.0,0.0,,1.4,498,0.891,0.226,297,1.1,-0.033,0.7,0.8,0.491,1.0,,,,,,,,,0.4,,0.05,-0.361,
7,FOC,1,2021,10.6,2.6,6.6,,0.261,0.203,441,1,24,,11340,46318,,,,,,0.803,,,4.2,4.9,4.9,0.022,12925,0.61,0.342,0.343,0.0,0.0,0.0,,1.2,805,0.611,0.271,419,0.8,-0.04,0.6,0.8,0.342,1.3,,,,,,,,,0.2,,0.001,0.048,
8,FOC,4,2020,7.8,2.0,7.5,,0.268,0.19,430,1,44,,11096,44211,,,,,,0.721,,,2.6,3.5,3.5,-0.041,12917,0.675,0.357,0.326,0.0,0.0,0.0,,1.4,762,0.7,0.27,387,0.8,-0.249,0.6,0.8,0.357,1.1,,,,,,,,,0.4,,0.032,0.069,
9,FOC,3,2020,8.1,2.3,6.8,,0.301,0.215,437,1,23,,11568,41375,,,,,,0.726,,,2.7,3.5,3.5,-0.072,12512,0.6,0.319,0.306,0.0,0.0,0.0,,1.4,709,0.683,0.27,416,0.8,-0.225,0.5,0.8,0.319,1.2,,,,,,,,,0.4,,-0.112,0.061,
10,FOC,2,2020,7.8,2.5,6.3,,0.314,0.23,440,2,20,,12469,39011,,,,,,0.722,,,2.7,3.4,3.4,-0.098,14089,0.671,0.35,0.395,0.0,0.0,0.0,,1.4,663,0.658,0.244,422,0.8,-0.187,0.6,0.8,0.35,1.4,,,,,,,,,0.4,,-0.222,-0.036,
11,FOC,1,2020,4.8,1.7,6.7,,0.332,0.245,434,2,18,,13823,40470,,,,,,0.749,,,3.1,3.8,3.8,-0.017,18108,0.653,0.402,0.362,0.0,0.0,0.0,,1.3,688,0.56,0.189,417,0.8,-0.401,0.6,0.8,0.402,1.1,,,,,,,,,0.3,,-0.028,0.053,
12,FOC,4,2019,6.1,2.2,5.6,,0.338,0.244,40,2,21,,14064,38449,,,,,,0.692,,,2.3,3.1,3.1,0.002,18633,0.748,0.427,0.472,0.0,0.0,0.0,,1.4,651,0.606,0.237,21,9.2,-0.226,0.6,1.2,0.427,1.3,,,,,,,,,0.4,,-0.017,0.083,
13,FOC,3,2019,6.2,2.5,5.8,,0.371,0.265,42,2,17,,14036,35505,,,,,,0.699,,,2.4,3.2,3.2,-0.022,18954,0.752,0.458,0.384,0.0,0.0,0.0,,1.4,595,0.425,0.151,27,8.7,-0.202,0.6,1.4,0.458,1.2,,,,,,,,,0.4,,0.015,-0.121,
14,FOC,2,2019,5.7,2.0,6.1,,0.362,0.259,41,2,18,,14354,40403,,,,,,0.74,,,2.9,3.7,3.7,0.018,18677,0.729,0.477,0.458,0.0,0.0,0.0,,1.4,684,0.344,0.136,25,8.9,-0.677,0.6,1.2,0.477,1.2,,,,,,,,,0.3,,-0.002,-0.059,
15,FOC,1,2019,6.3,2.1,6.0,,0.361,0.253,33,2,18,,14096,42918,,,,,,0.728,,,2.7,3.5,3.5,0.001,18722,0.706,0.422,0.363,0.0,0.0,0.0,,1.4,731,0.305,0.129,18,11.0,-0.462,0.5,1.3,0.422,1.1,,,,,,,,,0.4,,0.004,-0.039,
16,FOC,4,2018,5.6,1.8,6.0,,0.363,0.252,37,2,20,,14083,44664,,,,,,0.746,,,3.0,3.8,3.8,-0.06,18645,0.802,0.467,0.533,0.0,0.0,0.0,,1.3,760,0.429,0.191,19,9.9,-0.727,0.5,1.2,0.467,1.3,,,,,,,,,0.3,,-0.099,0.112,
17,FOC,3,2018,,,6.0,,0.434,0.287,39,2,24,,14983,40158,,,,,,0.726,,,2.7,3.5,3.5,0.004,20687,0.776,0.488,0.48,0.0,0.0,0.0,,1.4,675,0.364,0.134,18,9.3,-1.131,0.5,1.2,0.488,1.2,,,,,,,,,0.4,,-0.012,0.033,
18,FOC,2,2018,,,,,0.454,0.291,39,2,21,,14921,38861,,,,,,0.688,,,2.3,3.1,3.0,0.051,20931,0.794,0.57,0.509,0.0,0.0,0.0,,1.5,654,0.572,,20,9.3,-0.76,0.6,1.2,0.57,1.1,,,,,,,,,0.4,,0.052,0.103,
19,FOC,1,2018,,,,,0.462,0.294,33,2,24,,14201,35224,,,,,,0.669,,,2.1,2.9,2.9,0.045,19889,0.742,0.433,0.38,0.0,0.0,0.0,,1.5,585,0.636,,11,11.0,-0.663,0.6,1.2,0.433,1.1,,,,,,,,,0.5,,-0.004,0.068,
20,FOC,4,2017,,,,,0.472,0.287,39,1,24,,13584,32975,,,,,,0.635,,,1.8,2.6,2.6,0.222,19975,0.863,0.668,0.7,0.0,0.0,0.0,,1.6,543,0.478,,17,9.3,-0.39,0.6,1.1,0.668,1.2,,,,,,,,,0.6,,0.236,0.144,
21,FOC,3,2017,,,,,0.424,0.249,44,2,26,,11114,28813,,,,,,0.588,,,1.5,2.3,2.3,0.06,16163,0.833,0.504,0.464,0.0,0.0,0.0,,1.7,468,0.756,,19,8.3,-0.042,0.6,1.2,0.504,1.2,,,,,,,,,0.7,,0.043,0.074,
22,FOC,2,2017,,,,,0.421,0.253,47,2,23,,10486,26822,,,,,,0.582,,,1.4,2.2,2.2,0.027,15499,0.817,0.475,0.424,0.0,0.0,0.0,,1.7,429,1.043,,25,7.8,-0.02,0.7,1.3,0.475,1.1,,,,,,,,,0.7,,0.014,0.024,
23,FOC,1,2017,,,,,0.439,0.262,47,1,31,,10208,26192,,,,,,0.594,,,1.5,2.3,2.3,-0.047,15289,0.775,0.448,0.278,0.0,0.0,0.0,,1.7,416,1.087,,17,7.7,-0.035,0.7,1.8,0.448,1.1,,,,,,,,,0.7,,0.072,0.066,
24,FOC,4,2016,,,,,0.46,0.277,49,1,37,,10716,24560,,,,,,0.574,,,1.4,2.2,2.2,0.108,14266,0.842,0.294,0.382,0.0,0.0,0.0,,1.7,383,1.245,,14,7.5,-0.031,0.7,1.4,0.294,1.8,,,,,,,,,0.7,,0.009,0.043,
25,FOC,3,2016,,,,,0.436,0.28,55,2,38,,9673,23554,,,,,,0.588,,,1.6,2.3,2.3,0.083,14145,0.838,0.484,0.423,0.0,0.0,0.0,,1.7,368,0.828,,19,6.6,-0.036,0.7,1.2,0.484,1.1,,,,,,,,,0.6,,0.064,0.026,
26,FOC,2,2016,,,,,0.43,0.286,58,2,34,,8933,22947,,,,,,0.622,,,1.8,2.5,2.5,0.103,13289,0.818,0.463,0.394,0.0,0.0,0.0,,1.6,358,0.523,,25,6.3,-0.031,0.7,1.2,0.463,1.1,,,,,,,,,0.6,,0.081,0.129,
27,FOC,1,2016,,,,,0.436,0.287,62,3,70,,8099,20330,,,,,,0.602,,,1.7,2.3,2.3,0.146,12291,0.755,0.361,0.419,0.0,0.0,0.0,,1.7,297,0.861,,-5,5.9,-0.241,0.8,1.3,0.361,1.5,,,,,,,,,0.6,,0.088,-0.079,
28,FOC,4,2015,,,,,0.35,0.231,70,2,45,,7070,22071,,,,,,0.636,,,1.9,2.5,2.5,0.403,11301,0.759,0.39,0.348,0.0,0.0,0.0,,1.6,328,1.001,,27,5.2,-0.215,0.8,1.2,0.39,1.1,,,,,,,,,0.5,,0.452,0.107,
29,FOC,3,2015,,,,,0.263,0.184,55,2,19,,5038,19946,,,,,,0.688,,,2.8,3.3,3.3,0.237,7783,0.786,0.452,0.375,0.0,0.0,0.0,,1.5,307,0.956,,39,6.6,-0.489,1.0,1.3,0.452,1.1,,,,,,,,,0.4,,0.251,0.121,
30,FOC,2,2015,,,,,0.233,0.171,38,2,10,,4074,17793,,,,,,0.694,,,3.0,3.3,3.3,-0.007,6220,0.802,0.45,0.355,0.0,0.0,0.0,,1.4,263,0.88,,30,9.5,-0.412,1.4,1.3,0.45,1.1,,,,,,,,,0.3,,0.03,0.113,
31,FOC,1,2015,,,,,0.262,0.181,32,1,26,,4104,15988,,,,,,0.706,,,3.4,3.5,3.5,0.076,6038,0.307,0.132,0.143,0.0,0.0,0.0,,1.4,229,0.825,,7,11.6,-0.633,1.8,1.2,0.132,1.3,,,,,,,,,0.3,,0.007,-0.089,
32,FOC,4,2014,,,,,0.238,0.161,30,1,14,,3815,17550,,,,,,0.663,,,2.5,3.5,3.5,-0.107,5994,0.167,-0.036,-0.003,0.0,0.0,0.0,,1.5,278,0.784,,17,12.3,-0.552,2.2,-17.4,-0.036,-1.6,,,,,,,,,0.4,,-0.204,0.052,
33,FOC,3,2014,,,,,0.261,0.18,31,1,8,,4271,16682,,,,,,0.644,,,2.3,2.8,2.7,-0.155,7528,0.358,0.108,0.104,0.0,0.0,0.0,,1.6,217,0.685,,24,11.9,-0.171,2.4,1.1,0.108,1.1,,,,,,,,,0.4,,-0.206,0.087,
34,FOC,2,2014,,,,,0.341,0.239,24,4,8,,5056,15348,,,,,,0.694,,,3.4,3.0,3.0,-0.054,9475,0.38,0.162,0.142,0.0,0.0,0.0,,1.4,178,0.592,,20,15.0,-0.234,2.9,1.3,0.162,1.1,,,,,,,,,0.3,,-0.086,0.141,
35,FOC,1,2014,,,,,0.358,0.241,23,4,13,,5345,13446,,,,,,0.589,,,2.0,2.4,2.3,-0.083,10370,0.192,0.052,0.046,0.0,0.0,0.0,,1.7,161,0.662,,14,16.1,-0.064,2.8,1.2,0.052,1.1,,,,,,,,,0.5,,-0.092,0.067,
36,FOC,4,2013,,,,,0.42,0.28,21,3,10,,5827,12603,,,,,,0.604,,,2.2,2.1,2.0,-0.124,11421,0.273,0.039,0.028,0.0,0.0,0.0,,1.7,119,0.56,,14,17.1,-0.063,2.7,1.5,0.039,1.1,,,,,,,,,0.4,,-0.075,-0.106,
37,FOC,3,2013,,,,,0.426,0.302,23,5,5,,6652,14101,,,,,,0.653,,,2.9,3.1,3.0,-0.048,12352,0.366,0.189,0.133,0.0,0.0,0.0,,1.5,200,0.424,,23,15.6,-0.581,3.1,1.3,0.189,0.9,,,,,,,,,0.3,,-0.03,0.189,
38,FOC,2,2013,,,,,0.482,0.335,21,6,5,,6985,11856,,,,,,0.584,,,2.4,2.6,2.5,-0.024,12733,0.372,0.186,0.147,0.0,0.0,0.0,,1.7,166,0.341,,21,17.5,-0.523,3.7,1.3,0.186,1.0,,,,,,,,,0.4,,-0.146,-0.155,
39,FOC,1,2013,,,,,0.5,0.291,13,5,21,,7160,14023,,,,,,0.654,,,3.3,3.3,3.1,-0.13,14908,0.316,0.131,0.103,0.0,0.0,0.0,,1.5,196,0.437,,-3,27.7,-0.355,3.7,1.3,0.131,1.1,,,,,,,,,0.3,,-0.137,0.1,
40,FOC,4,2012,,,,,0.664,0.42,10,2,5,,8227,12742,,,,,,0.614,,,2.6,2.6,2.5,-0.25,17282,0.177,0.05,0.047,0.0,0.0,0.0,,1.6,160,0.458,,8,36.0,-0.483,5.0,1.2,0.05,1.1,,,,,,,,,0.4,,-0.171,-0.13,
41,FOC,3,2012,,,,,0.757,0.511,13,4,2,,10973,14640,,,,,,0.653,,,3.1,3.2,3.0,-0.05,20857,0.239,0.133,0.102,0.0,0.0,0.0,,1.5,206,0.422,,16,27.3,-0.355,4.1,1.3,0.133,1.0,,,,,,,,,0.3,,-0.151,-0.029,
42,FOC,2,2012,,,,,0.853,0.599,12,4,1,,11548,15085,,,,,,0.703,,,3.0,3.0,2.8,-0.013,24553,0.175,0.1,0.081,0.0,0.0,0.0,,1.4,189,0.36,,15,30.7,-0.953,4.6,1.4,0.1,1.1,,,,,,,,,0.3,,-0.17,0.178,
43,FOC,1,2012,,,,,0.994,0.552,11,5,27,,11699,12809,,,,,,0.462,,,0.9,1.5,1.4,-0.012,29576,0.262,0.154,0.115,0.0,0.0,0.0,,2.2,130,0.315,,-12,33.2,-0.965,3.5,1.4,0.154,1.0,,,,,,,,,1.1,,0.057,0.224,
44,FOC,4,2011,,,,,1.237,0.752,10,4,8,,11841,10462,,,,,,0.568,,,1.4,1.6,1.6,0.175,27986,0.342,0.229,0.252,0.0,0.0,0.0,,1.8,89,0.572,,6,37.1,-0.849,3.9,1.0,0.229,1.1,,,,,,,,,0.7,,0.123,-0.175,
