,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,FRT,4,2022,21.8,4.2,23.1,,0.213,0.037,13,82,31,2.1,3294,16951,,,,,,0.192,,,0.2,1.1,0.3,-0.381,5715,0.157,0.019,0.011,2.6,0.5,10.1,,5.2,1007,0.364,0.088,64,28.4,-0.436,2.8,0.8,0.019,0.7,,,,,,,,,4.1,,-0.297,0.047,
1,FRT,3,2022,13.8,4.5,16.6,,0.389,0.069,11,59,24,2.0,5326,16193,,,,,,0.193,,,0.2,1.1,0.4,0.062,8130,0.155,0.016,0.011,2.5,0.5,6.3,,5.2,1065,0.21,0.046,47,32.3,-0.525,3.3,0.8,0.016,0.9,,,,,,,,,4.1,,0.105,0.046,
2,FRT,2,2022,18.2,5.9,20.1,,0.382,0.067,13,59,21,1.5,5013,15480,,,,,,0.183,,,0.2,1.1,0.5,0.029,7360,0.152,0.012,0.008,2.8,0.5,7.1,,5.5,1137,0.239,0.046,52,27.5,-0.514,3.1,0.8,0.012,0.8,,,,,,,,,4.4,,-0.137,0.004,
3,FRT,1,2022,20.5,6.5,20.2,,0.376,0.063,15,64,24,4.5,4873,15419,,,,,,0.169,,,0.2,1.1,0.6,0.301,8532,0.158,0.027,0.021,3.2,0.6,8.0,,5.9,1217,0.497,0.105,55,24.8,-0.188,2.8,0.8,0.027,1.0,,,,,,,,,4.8,,0.351,0.099,
4,FRT,4,2021,17.8,4.7,34.5,,0.309,0.055,16,64,29,9.9,3745,14030,,,,,,0.155,,,0.2,1.1,0.6,2.884,6314,0.149,0.047,0.04,3.6,0.6,8.6,,6.5,1115,0.658,0.089,50,23.5,-0.02,2.8,0.8,0.047,1.1,,,,,,,,,5.4,,3.56,0.253,
5,FRT,3,2021,32.8,2.8,112.0,,0.09,0.017,16,57,24,1.2,964,11200,,,,,,0.156,,,0.2,1.1,0.7,0.716,1385,0.139,0.009,0.01,3.8,0.6,34.4,,6.4,806,0.26,0.047,50,22.2,-0.051,2.7,0.8,0.009,1.4,,,,,,,,,5.3,,0.883,0.041,
6,FRT,2,2021,32.0,1.7,147.4,,0.052,0.011,19,62,18,0.6,561,10759,,,,,,0.165,,,0.2,1.1,0.7,2.547,735,0.139,0.005,0.007,3.9,0.7,65.7,,6.1,861,0.474,0.148,63,18.8,-0.06,2.6,0.8,0.005,1.8,,,,,,,,,5.0,,0.422,0.024,
7,FRT,1,2021,127.7,1.9,174.5,,0.015,0.003,21,76,24,1.6,158,10505,,,,,,0.164,,,0.2,1.1,0.7,-0.241,517,0.126,0.007,0.007,3.8,0.6,105.1,,6.1,847,0.486,0.206,73,17.3,-0.056,2.2,0.8,0.007,1.2,,,,,,,,,5.0,,-0.481,0.025,
8,FRT,4,2020,101.9,2.1,50.9,,0.02,0.004,21,75,41,0.5,208,10244,,,,,,0.225,,,0.3,1.2,0.8,-19.79,997,0.137,0.002,0.001,2.0,0.5,39.3,,4.4,800,0.573,0.329,55,17.6,-0.069,2.4,0.5,0.002,1.4,,,,,,,,,3.4,,0.269,0.0,
9,FRT,3,2020,-1435.6,1.6,61.3,,-0.001,0.0,21,61,22,-0.2,-11,10244,,,,,,0.255,,,0.3,1.2,0.7,-1.018,785,0.139,,,2.0,0.5,44.0,,3.9,809,0.412,0.259,60,17.2,-0.056,2.8,,,1.8,,,,,,,,,2.9,,-0.649,-0.061,
10,FRT,2,2020,23.1,1.3,22.3,,0.057,0.014,20,59,15,0.1,607,10913,,,,,,0.274,,,0.4,1.3,0.6,-0.614,2236,0.145,0.001,,2.0,0.5,16.7,,3.7,884,0.454,0.352,64,18.1,-0.064,3.2,,0.001,-6.1,,,,,,,,,2.6,,-0.438,-0.014,
11,FRT,1,2020,4.5,0.6,15.7,,0.149,0.035,19,68,19,1.6,1575,11062,,,,,,0.217,,,0.3,1.2,0.6,-0.419,3981,0.138,0.017,0.009,2.9,0.6,10.3,,4.6,914,0.694,0.544,69,18.8,-0.074,3.1,0.8,0.017,0.7,,,,,,,,,3.6,,-0.09,-0.311,
12,FRT,4,2019,7.4,1.3,11.3,,0.178,0.036,6,74,24,-0.2,2710,16050,,,,,,0.192,,,0.2,1.2,0.5,-0.396,4377,0.121,-0.002,-0.005,2.9,0.6,10.3,,5.2,869,0.717,0.551,56,62.5,-0.081,2.8,0.7,-0.002,1.6,,,,,,,,,4.1,,-0.337,-0.03,
13,FRT,3,2019,9.7,2.6,7.0,,0.304,0.071,9,51,20,2.8,4491,16539,,,,,,0.225,,,0.3,1.2,0.7,-0.021,6605,0.125,0.022,0.017,2.3,0.5,5.2,,4.4,932,0.869,0.797,40,42.4,-0.073,3.3,1.2,0.022,0.9,,,,,,,,,3.4,,-0.078,0.059,
14,FRT,2,2019,11.6,3.4,10.4,,0.333,0.077,11,54,19,4.3,4589,15613,,,,,,0.233,,,0.3,1.2,0.7,0.041,7163,0.136,0.033,0.024,2.3,0.6,5.2,,4.3,881,0.865,0.337,46,33.2,0.896,3.4,1.2,0.033,0.9,,,,,,,,,3.2,,-0.181,0.029,
