,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,G36,4,2022,29.5,0.7,63.1,,0.022,0.005,29,226,272,-0.4,235,10612,,,,,,0.219,,,0.3,1.1,0.8,-0.13,300,0.056,,0.046,1.2,0.3,40.4,0.3,4.6,225,0.252,0.391,-16,12.5,-0.108,0.3,1.0,,-3.0,,,,,,,,,3.5,,-0.495,0.031,
1,G36,3,2022,28.2,0.7,33.0,,0.027,0.006,38,265,253,0.7,270,10294,,,,,,0.216,,,0.3,1.0,0.7,0.372,593,0.088,0.044,,1.3,0.3,20.9,0.4,4.6,86,0.178,0.245,49,9.6,-0.107,0.2,,0.044,-0.2,,,,,,,,,3.5,,0.054,-0.003,
2,G36,2,2022,43.6,0.8,34.1,,0.019,0.004,49,297,284,0.9,197,10328,,,,,,0.209,,,0.3,1.0,0.7,12.972,563,0.127,0.074,0.015,1.4,0.3,23.1,0.5,4.8,80,0.116,0.214,61,7.5,-0.106,0.2,1.0,0.074,0.2,,,,,,,,,3.7,,0.277,0.004,
3,G36,1,2022,1447.2,2.0,49.3,,0.001,0.0,19,297,301,0.5,14,10291,,,,,,0.211,,,0.3,1.0,0.7,-0.938,441,0.386,0.136,,1.3,0.3,28.7,0.7,4.7,-126,0.16,0.182,15,19.2,0.0,0.2,,0.136,-0.9,,,,,,,,,3.7,,-0.489,-0.009,
4,G36,4,2021,98.9,2.2,28.9,,0.021,0.005,41,266,395,0.7,227,10387,,,,,,0.21,,,0.3,1.0,0.7,-0.475,862,0.063,0.035,0.064,1.1,0.2,13.3,0.5,4.8,-13,0.318,0.274,-88,8.9,0.0,0.2,1.0,0.035,1.9,,,,,,,,,3.7,,-0.518,0.033,
5,G36,3,2021,27.6,1.2,16.0,,0.043,0.009,40,251,346,0.4,432,10051,,,,,,0.209,,,0.3,1.1,0.8,-0.575,1788,0.103,0.051,,1.1,0.2,6.3,0.6,4.8,158,0.174,0.099,-55,9.1,0.0,0.3,,0.051,-1.0,,,,,,,,,3.7,,-0.354,-0.01,
6,G36,2,2021,9.9,1.0,8.8,,0.103,0.021,32,236,333,0.6,1018,10152,,,,,,0.212,,,0.3,1.1,0.8,-0.185,2770,0.138,0.076,,1.1,0.2,4.0,0.5,4.7,205,0.158,0.122,-66,11.5,0.0,0.4,,0.076,-0.9,,,,,,,,,3.6,,-0.15,-0.017,
7,G36,1,2021,9.8,1.2,5.9,,0.125,0.024,26,218,344,1.8,1249,10330,,,,,,0.219,,,0.3,1.1,0.8,0.105,3257,0.295,0.209,0.072,1.1,0.2,3.4,0.5,4.6,235,0.243,0.284,-100,13.9,0.0,0.4,0.7,0.209,0.5,,,,,,,,,3.5,,0.061,-0.041,
8,G36,4,2020,13.2,1.4,6.3,,0.111,0.021,14,207,358,3.1,1130,10767,,,,,,0.217,,,0.3,1.1,0.8,0.38,3071,0.144,0.114,0.066,1.0,0.2,3.6,0.4,4.6,273,0.269,0.303,-137,25.3,0.0,0.4,0.7,0.114,0.8,,,,,,,,,3.5,,0.135,0.055,
9,G36,3,2020,6.1,0.5,8.0,,0.081,0.015,12,227,289,4.0,819,10209,,,,,,0.198,,,0.3,1.1,0.7,1.274,2704,0.245,0.199,0.102,1.0,0.2,4.0,0.4,5.0,163,0.234,0.208,-50,30.1,-0.001,0.4,0.7,0.199,0.7,,,,,,,,,3.9,,0.404,0.051,
10,G36,2,2020,14.8,0.5,9.4,,0.037,0.007,12,237,272,1.2,360,9718,,,,,,0.195,,,0.2,1.0,0.6,0.666,1926,0.1,0.041,0.011,1.0,0.2,5.5,0.3,5.1,97,0.17,0.2,-23,30.0,-0.003,0.4,0.6,0.041,0.4,,,,,,,,,4.0,,0.212,0.008,
11,G36,1,2020,11.3,0.3,8.2,,0.022,0.004,22,361,253,1.0,216,9641,,,,,,0.173,,,0.2,1.0,0.6,-0.172,1590,0.201,0.148,0.008,1.0,0.2,6.8,0.2,5.8,98,0.176,0.441,130,16.4,-0.019,0.3,0.9,0.148,0.1,,,,,,,,,4.7,,-0.031,0.005,
12,G36,4,2019,17.2,0.5,8.0,,0.027,0.004,225,320,334,1.7,261,9588,,,,,,0.166,,,0.2,1.0,0.6,-0.58,1641,0.113,0.088,0.031,1.0,0.2,6.8,0.2,6.0,-94,0.269,0.568,211,1.6,-0.019,0.3,1.4,0.088,0.5,,,,,,,,,4.9,,-0.099,-0.05,
13,G36,3,2019,6.9,0.4,6.8,,0.063,0.01,137,248,254,1.0,621,10089,,,,,,0.178,,,0.2,1.0,0.6,-0.221,1821,0.092,0.057,0.005,0.9,0.2,6.2,0.2,5.6,-16,0.25,0.64,131,2.7,-0.018,0.4,1.4,0.057,0.1,,,,,,,,,4.5,,0.014,0.008,
14,G36,2,2019,5.6,0.4,8.2,,0.08,0.014,106,227,230,0.5,797,10013,,,,,,0.186,,,0.2,1.0,0.6,-0.098,1796,0.108,0.044,-0.022,0.9,0.2,6.7,0.2,5.4,46,0.065,0.155,103,3.4,-0.015,0.5,0.8,0.044,-0.4,,,,,,,,,4.2,,-0.065,-0.011,
15,G36,1,2019,5.7,0.5,8.2,,0.089,0.016,104,191,202,1.2,884,10126,,,,,,0.185,,,0.2,1.0,0.6,0.043,1920,0.173,0.112,0.024,1.0,0.2,7.1,0.2,5.4,102,0.126,0.252,93,3.5,-0.014,0.5,1.2,0.112,0.3,,,,,,,,,4.3,,0.007,0.005,
16,G36,4,2018,5.5,0.5,8.1,,0.086,0.014,130,188,245,2.9,848,10080,,,,,,0.168,,,0.2,1.1,0.7,0.385,1907,0.07,0.058,0.041,1.0,0.2,7.1,0.3,6.0,265,0.282,0.544,73,2.8,-0.014,0.5,1.3,0.058,0.9,,,,,,,,,4.8,,-0.016,0.061,
17,G36,3,2018,7.0,0.5,7.6,,0.065,0.009,92,229,219,0.8,612,9498,,,,,,0.153,,,0.2,1.0,0.6,0.351,1938,0.067,0.041,0.027,1.2,0.2,7.5,0.3,6.5,124,0.26,0.55,102,4.0,-0.014,0.5,1.3,0.041,0.9,,,,,,,,,5.4,,-0.276,-0.032,
18,G36,2,2018,9.7,0.4,6.7,,0.063,0.007,89,249,213,0.9,453,9810,,,,,,0.163,,,0.2,1.1,0.6,-0.18,2678,0.088,0.047,0.005,1.3,0.2,8.7,0.4,6.1,297,0.175,0.47,125,4.1,-0.014,0.5,1.8,0.047,0.2,,,,,,,,,5.0,,-0.054,0.002,
19,G36,1,2018,7.4,0.4,9.3,,0.077,0.009,86,208,171,1.0,552,9792,,,,,,0.166,,,0.2,1.1,0.6,-0.043,2832,0.122,0.071,0.007,1.5,0.2,8.7,0.5,6.0,351,0.163,0.347,124,4.2,0.0,0.6,1.1,0.071,0.1,,,,,,,,,4.9,,0.066,0.004,
