,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,GAB,4,2022,-1091.0,18.2,-7262.5,,-0.017,-0.01,132,34,15,-2.4,-180,10787,,,,,,0.668,,,2.0,2.1,1.8,3.35,-28,0.158,,,0.1,0.1,-115.6,0.9,1.5,76,0.009,0.0,152,2.8,-0.002,0.7,,,1.0,,,,,,,,,0.5,,-1.142,-0.009,
1,GAB,3,2022,-4746.3,18.1,1029.3,,-0.004,-0.002,73,20,51,-3.0,-41,10880,,,,,,0.669,,,2.0,1.8,1.6,-1.722,199,0.047,,,0.1,0.1,12.4,19.7,1.5,65,0.008,0.0,43,5.0,-0.004,1.1,,,1.0,,,,,,,,,0.5,,-0.369,-0.008,
2,GAB,2,2022,3428.0,17.9,649.7,,0.005,0.004,49,13,23,2.9,57,10966,,,,,,0.673,,,2.1,1.8,1.5,1.124,316,0.05,0.024,0.01,0.1,0.1,5.2,,1.5,60,0.011,0.001,39,7.4,-0.004,1.7,0.8,0.024,0.6,,,,,,,,,0.5,,0.548,0.006,
3,GAB,1,2022,7280.5,18.0,1022.8,,0.002,0.002,49,11,22,-0.1,26,10896,,,,,,0.662,,,2.0,1.7,1.5,-0.778,204,0.019,,,0.4,0.3,16.8,,1.5,57,0.018,0.001,38,7.4,0.007,1.7,,,6.5,,,,,,,,,0.5,,-0.232,-0.006,
4,GAB,4,2021,1620.8,17.9,811.9,,0.011,0.007,47,11,21,1.1,121,10964,,,,,,0.563,,,1.3,1.5,1.3,0.008,266,0.03,0.015,0.005,0.4,0.3,12.7,92.5,1.8,57,0.009,0.001,37,7.8,-0.002,1.6,0.8,0.015,0.4,,,,,,,,,0.8,,0.426,0.004,
5,GAB,3,2021,1623.3,17.9,1149.9,,0.011,0.006,50,12,114,0.6,120,10919,,,,,,0.549,,,1.2,1.4,1.3,-0.018,186,0.02,0.003,0.002,0.3,0.2,13.9,63.0,1.8,55,0.011,0.001,-52,7.3,0.001,1.2,0.5,0.003,1.0,,,,,,,,,0.8,,0.001,0.001,
6,GAB,2,2021,1591.2,17.9,1062.7,,0.011,0.008,43,9,24,1.3,122,10905,,,,,,0.679,,,2.1,1.7,1.6,0.288,186,0.038,0.009,0.006,0.2,0.1,9.7,32.7,1.5,53,0.015,0.001,29,8.5,0.001,2.1,0.8,0.009,1.0,,,,,,,,,0.5,,0.622,0.004,
7,GAB,1,2021,2008.9,17.6,1704.4,,0.009,0.006,51,10,30,0.9,95,10866,,,,,,0.704,,,2.4,1.8,1.7,-0.021,115,0.04,0.007,0.004,0.2,0.1,15.2,7.4,1.4,53,0.039,0.002,30,7.2,-0.009,1.8,0.8,0.007,0.7,,,,,,,,,0.4,,-0.24,-0.001,
8,GAB,4,2020,2024.4,18.1,1281.8,,0.009,0.007,55,13,24,1.5,97,10876,,,,,,0.724,,,2.6,1.9,1.7,-0.744,151,0.058,0.009,0.007,0.1,0.1,10.2,5.1,1.4,51,0.005,0.0,44,6.6,0.0,1.7,0.8,0.009,0.9,,,,,,,,,0.4,,-0.67,0.004,
9,GAB,3,2020,422.3,14.8,430.9,,0.036,0.021,63,22,107,0.6,379,10832,,,,,,0.469,,,0.9,1.3,1.2,-0.518,457,0.021,0.002,0.001,0.1,0.1,3.6,2.3,2.1,52,0.002,0.0,-23,5.8,-0.002,1.1,0.8,0.002,0.8,,,,,,,,,1.1,,-0.377,0.001,
10,GAB,2,2020,192.9,14.1,263.3,,0.075,0.059,111,37,28,-0.3,788,10816,,,,,,0.801,,,4.0,2.7,2.3,-0.214,734,0.106,,0.007,0.1,0.1,2.6,2.7,1.2,57,0.004,0.0,120,3.3,-0.019,0.8,0.7,,-1.4,,,,,,,,,0.2,,-0.343,0.001,
